mode,size,nthreads,k,time
i,1,16,10000,0.631205
w,1,16,10000,0.068045
i,1,16,10000,0.630539
w,1,16,10000,0.084015
i,1,16,10000,0.634732
w,1,16,10000,0.085695
i,1,16,10000,0.636342
w,1,16,10000,0.083118
i,1,16,10000,0.636168
w,1,16,10000,0.083901
i,2,16,10000,0.316133
w,2,16,10000,0.071839
i,2,16,10000,0.315933
w,2,16,10000,0.069656
i,2,16,10000,0.318308
w,2,16,10000,0.070940
i,2,16,10000,0.315350
w,2,16,10000,0.070061
i,2,16,10000,0.314380
w,2,16,10000,0.069634
i,4,16,10000,0.156141
w,4,16,10000,0.068535
i,4,16,10000,0.165172
w,4,16,10000,0.072645
i,4,16,10000,0.165609
w,4,16,10000,0.077661
i,4,16,10000,0.167027
w,4,16,10000,0.072118
i,4,16,10000,0.158304
w,4,16,10000,0.076029
i,8,16,10000,0.078996
w,8,16,10000,0.079704
i,8,16,10000,0.078482
w,8,16,10000,0.078962
i,8,16,10000,0.078666
w,8,16,10000,0.074384
i,8,16,10000,0.086295
w,8,16,10000,0.281745
i,8,16,10000,0.079763
w,8,16,10000,0.075335
i,10,16,10000,0.063966
w,10,16,10000,2.403752
i,10,16,10000,0.062683
w,10,16,10000,2.002912
i,10,16,10000,0.063041
w,10,16,10000,2.373823
i,10,16,10000,0.063511
w,10,16,10000,2.214444
i,10,16,10000,0.063773
w,10,16,10000,2.339657
i,12,16,10000,0.053442
w,12,16,10000,1.838890
i,12,16,10000,0.053781
w,12,16,10000,2.244071
i,12,16,10000,0.052310
w,12,16,10000,1.815285
i,12,16,10000,0.052435
w,12,16,10000,1.602415
i,12,16,10000,0.052185
w,12,16,10000,2.037897
i,14,16,10000,0.045022
w,14,16,10000,2.397392
i,14,16,10000,0.046120
w,14,16,10000,1.952805
i,14,16,10000,0.045174
w,14,16,10000,2.527265
i,14,16,10000,0.046972
w,14,16,10000,2.293384
i,14,16,10000,0.047349
w,14,16,10000,2.050316
i,16,16,10000,0.057863
w,16,16,10000,2.058682
i,16,16,10000,0.048489
w,16,16,10000,2.824519
i,16,16,10000,0.060284
w,16,16,10000,1.945607
i,16,16,10000,0.060528
w,16,16,10000,1.646162
i,16,16,10000,0.040390
w,16,16,10000,1.751537
i,1,16,20000,2.519159
w,1,16,20000,0.231003
i,1,16,20000,2.522184
w,1,16,20000,0.294585
i,1,16,20000,2.519191
w,1,16,20000,0.299225
i,1,16,20000,2.523016
w,1,16,20000,0.298101
i,1,16,20000,2.530080
w,1,16,20000,0.295522
i,2,16,20000,1.260649
w,2,16,20000,0.281522
i,2,16,20000,1.264054
w,2,16,20000,0.284441
i,2,16,20000,1.260039
w,2,16,20000,0.292068
i,2,16,20000,1.261408
w,2,16,20000,0.286277
i,2,16,20000,1.261016
w,2,16,20000,0.292507
i,4,16,20000,0.633319
w,4,16,20000,0.302491
i,4,16,20000,0.629971
w,4,16,20000,0.294765
i,4,16,20000,0.628247
w,4,16,20000,0.301077
i,4,16,20000,0.630618
w,4,16,20000,0.297952
i,4,16,20000,0.630430
w,4,16,20000,0.319232
i,8,16,20000,0.313182
w,8,16,20000,0.321986
i,8,16,20000,0.315853
w,8,16,20000,0.309503
i,8,16,20000,0.322625
w,8,16,20000,0.393598
i,8,16,20000,0.317491
w,8,16,20000,0.357021
i,8,16,20000,0.316707
w,8,16,20000,0.306656
i,10,16,20000,0.250449
w,10,16,20000,7.295237
i,10,16,20000,0.252367
w,10,16,20000,11.429836
i,10,16,20000,0.258184
w,10,16,20000,6.587927
i,10,16,20000,0.251922
w,10,16,20000,7.731669
i,10,16,20000,0.253412
w,10,16,20000,7.120126
i,12,16,20000,0.208441
w,12,16,20000,6.831595
i,12,16,20000,0.210267
w,12,16,20000,5.371421
i,12,16,20000,0.210180
w,12,16,20000,5.373277
i,12,16,20000,0.209072
w,12,16,20000,5.425580
i,12,16,20000,0.210085
w,12,16,20000,5.475469
i,14,16,20000,0.179264
w,14,16,20000,4.995595
i,14,16,20000,0.183532
w,14,16,20000,4.750516
i,14,16,20000,0.179686
w,14,16,20000,4.794592
i,14,16,20000,0.180994
w,14,16,20000,6.224275
i,14,16,20000,0.181552
w,14,16,20000,5.577516
i,16,16,20000,0.163383
w,16,16,20000,4.864152
i,16,16,20000,0.168435
w,16,16,20000,4.329578
i,16,16,20000,0.167977
w,16,16,20000,4.822038
i,16,16,20000,0.174985
w,16,16,20000,4.365224
i,16,16,20000,0.163324
w,16,16,20000,4.537866
