mode,size,nthreads,k,time
i,4,1,10000,0.177346
w,4,1,10000,1.299957
i,4,1,10000,0.169257
w,4,1,10000,1.206206
i,4,1,10000,0.165460
w,4,1,10000,1.318811
i,4,1,10000,0.175018
w,4,1,10000,1.367919
i,4,1,10000,0.178028
w,4,1,10000,1.558283
i,4,2,10000,0.169368
w,4,2,10000,1.390635
i,4,2,10000,0.178709
w,4,2,10000,1.206983
i,4,2,10000,0.177466
w,4,2,10000,1.298564
i,4,2,10000,0.176509
w,4,2,10000,5.853110
i,4,2,10000,0.169682
w,4,2,10000,1.316861
i,4,4,10000,0.176402
w,4,4,10000,1.122695
i,4,4,10000,0.169385
w,4,4,10000,1.313439
i,4,4,10000,0.180125
w,4,4,10000,1.387872
i,4,4,10000,0.175318
w,4,4,10000,1.334380
i,4,4,10000,0.179810
w,4,4,10000,1.662013
i,4,8,10000,0.172819
w,4,8,10000,1.221025
i,4,8,10000,0.180526
w,4,8,10000,1.695877
i,4,8,10000,0.181726
w,4,8,10000,1.369845
i,4,8,10000,0.181380
w,4,8,10000,1.160285
i,4,8,10000,0.172215
w,4,8,10000,1.318297
i,4,16,10000,0.181398
w,4,16,10000,1.413197
i,4,16,10000,0.178818
w,4,16,10000,1.418131
i,4,16,10000,0.180189
w,4,16,10000,1.307746
i,4,16,10000,0.184162
w,4,16,10000,1.364473
i,4,16,10000,0.178808
w,4,16,10000,1.231266
i,4,22,10000,0.173272
w,4,22,10000,1.335018
i,4,22,10000,0.171100
w,4,22,10000,1.267169
i,4,22,10000,0.169110
w,4,22,10000,1.267777
i,4,22,10000,0.179416
w,4,22,10000,1.486529
i,4,22,10000,0.189490
w,4,22,10000,1.710203
i,4,28,10000,0.178151
w,4,28,10000,1.628730
i,4,28,10000,0.166093
w,4,28,10000,6.382424
i,4,28,10000,0.180107
w,4,28,10000,1.824272
i,4,28,10000,0.180117
w,4,28,10000,1.355431
i,4,28,10000,0.181683
w,4,28,10000,1.720775
i,4,32,10000,0.183122
w,4,32,10000,1.482060
i,4,32,10000,0.180093
w,4,32,10000,1.061327
i,4,32,10000,0.164040
w,4,32,10000,1.329960
i,4,32,10000,0.172954
w,4,32,10000,1.252066
i,4,32,10000,0.168107
w,4,32,10000,1.821939
i,4,38,10000,0.168772
w,4,38,10000,1.236128
i,4,38,10000,0.168785
w,4,38,10000,1.280830
i,4,38,10000,0.180472
w,4,38,10000,1.375995
i,4,38,10000,0.173440
w,4,38,10000,1.382248
i,4,38,10000,0.188940
w,4,38,10000,1.306867
i,4,42,10000,0.182603
w,4,42,10000,1.201768
i,4,42,10000,0.170410
w,4,42,10000,1.141555
i,4,42,10000,0.173382
w,4,42,10000,1.497138
i,4,42,10000,0.173497
w,4,42,10000,1.427329
i,4,42,10000,0.169682
w,4,42,10000,1.298033
i,4,48,10000,0.177384
w,4,48,10000,1.554094
i,4,48,10000,0.180814
w,4,48,10000,1.303280
i,4,48,10000,0.168328
w,4,48,10000,1.651833
i,4,48,10000,0.176439
w,4,48,10000,1.242824
i,4,48,10000,0.172276
w,4,48,10000,1.481530
i,4,52,10000,0.181319
w,4,52,10000,1.146528
i,4,52,10000,0.180817
w,4,52,10000,1.348715
i,4,52,10000,0.175719
w,4,52,10000,1.355222
i,4,52,10000,0.168536
w,4,52,10000,1.540409
i,4,52,10000,0.177490
w,4,52,10000,1.876152
i,4,58,10000,0.169411
w,4,58,10000,1.881907
i,4,58,10000,0.172183
w,4,58,10000,4.902544
i,4,58,10000,0.174641
w,4,58,10000,1.521399
i,4,58,10000,0.170407
w,4,58,10000,1.174667
i,4,58,10000,0.174493
w,4,58,10000,1.363985
i,4,64,10000,0.166290
w,4,64,10000,1.107451
i,4,64,10000,0.179745
w,4,64,10000,1.234200
i,4,64,10000,0.168197
w,4,64,10000,1.544151
i,4,64,10000,0.185174
w,4,64,10000,1.153899
i,4,64,10000,0.190912
w,4,64,10000,1.239367
i,4,1,20000,0.647017
w,4,1,20000,5.622382
i,4,1,20000,0.651022
w,4,1,20000,4.386217
i,4,1,20000,0.643590
w,4,1,20000,4.337778
i,4,1,20000,0.651665
w,4,1,20000,4.431719
i,4,1,20000,0.644628
w,4,1,20000,4.006565
i,4,2,20000,0.648428
w,4,2,20000,4.347409
i,4,2,20000,0.650453
w,4,2,20000,3.982451
i,4,2,20000,0.651771
w,4,2,20000,4.005556
i,4,2,20000,0.648047
w,4,2,20000,4.234738
i,4,2,20000,0.649840
w,4,2,20000,4.334544
i,4,4,20000,0.657595
w,4,4,20000,4.303947
i,4,4,20000,0.648417
w,4,4,20000,4.148597
i,4,4,20000,0.648159
w,4,4,20000,4.177810
i,4,4,20000,0.652121
w,4,4,20000,4.601869
i,4,4,20000,0.644240
w,4,4,20000,5.048843
i,4,8,20000,0.648473
w,4,8,20000,4.930594
i,4,8,20000,0.641923
w,4,8,20000,4.388746
i,4,8,20000,0.648800
w,4,8,20000,4.456577
i,4,8,20000,0.641860
w,4,8,20000,4.327818
i,4,8,20000,0.648356
w,4,8,20000,4.292570
i,4,16,20000,0.645446
w,4,16,20000,4.888327
i,4,16,20000,0.642407
w,4,16,20000,4.841116
i,4,16,20000,0.652765
w,4,16,20000,4.682755
i,4,16,20000,0.645620
w,4,16,20000,4.205286
i,4,16,20000,0.644093
w,4,16,20000,5.443635
i,4,22,20000,0.649210
w,4,22,20000,5.307804
i,4,22,20000,0.641135
w,4,22,20000,4.709180
i,4,22,20000,0.645275
w,4,22,20000,4.742821
i,4,22,20000,0.647730
w,4,22,20000,4.914604
i,4,22,20000,0.638677
w,4,22,20000,4.319292
i,4,28,20000,0.642732
w,4,28,20000,4.360147
i,4,28,20000,0.641484
w,4,28,20000,6.174942
i,4,28,20000,0.645874
w,4,28,20000,4.504879
i,4,28,20000,0.636525
w,4,28,20000,4.692582
i,4,28,20000,0.640682
w,4,28,20000,4.887797
i,4,32,20000,0.649317
w,4,32,20000,4.990234
i,4,32,20000,0.642545
w,4,32,20000,4.959412
i,4,32,20000,0.657010
w,4,32,20000,4.333627
i,4,32,20000,0.648605
w,4,32,20000,4.736488
i,4,32,20000,0.641244
w,4,32,20000,7.281954
i,4,38,20000,0.649786
w,4,38,20000,4.085969
i,4,38,20000,0.650384
w,4,38,20000,4.789489
i,4,38,20000,0.654224
w,4,38,20000,4.400723
i,4,38,20000,0.646814
w,4,38,20000,4.708539
i,4,38,20000,0.644203
w,4,38,20000,7.049063
i,4,42,20000,0.652974
w,4,42,20000,8.582551
i,4,42,20000,0.643672
w,4,42,20000,4.736133
i,4,42,20000,0.643649
w,4,42,20000,4.827644
i,4,42,20000,0.649704
w,4,42,20000,4.268785
i,4,42,20000,0.646835
w,4,42,20000,4.553382
i,4,48,20000,0.651473
