mode,size,nthreads,k,time
re,4,1,10000,0.658902
r,4,1,10000,149.546545
re,4,1,10000,0.240226
r,4,1,10000,149.651861
re,4,1,10000,0.166023
r,4,1,10000,149.611507
re,4,4,10000,0.172304
r,4,4,10000,149.645091
re,4,4,10000,0.153604
r,4,4,10000,149.690642
re,4,4,10000,0.128875
r,4,4,10000,149.281999
re,4,8,10000,0.122840
r,4,8,10000,149.761558
re,4,8,10000,0.269393
r,4,8,10000,149.705525
re,4,8,10000,0.094771
r,4,8,10000,149.495781
re,4,12,10000,0.164197
r,4,12,10000,149.670216
re,4,12,10000,0.291029
r,4,12,10000,149.797756
re,4,12,10000,0.106370
r,4,12,10000,149.664547
re,4,16,10000,0.262867
r,4,16,10000,149.558616
re,4,16,10000,0.152657
r,4,16,10000,149.501512
re,4,16,10000,0.135110
r,4,16,10000,149.589301
re,4,20,10000,0.109845
r,4,20,10000,148.959589
re,4,20,10000,0.107097
r,4,20,10000,149.655233
re,4,20,10000,0.115399
r,4,20,10000,149.663721
re,4,24,10000,0.116521
r,4,24,10000,149.568780
re,4,24,10000,0.105102
r,4,24,10000,149.250135
re,4,24,10000,0.177407
r,4,24,10000,149.535225
re,4,28,10000,0.094781
r,4,28,10000,149.573372
re,4,28,10000,0.100339
r,4,28,10000,149.606817
re,4,28,10000,0.121267
r,4,28,10000,149.619463
re,4,32,10000,0.185487
r,4,32,10000,149.604801
re,4,32,10000,0.104864
r,4,32,10000,149.338838
re,4,32,10000,0.139150
r,4,32,10000,149.588191
re,4,36,10000,0.164347
r,4,36,10000,149.564664
re,4,36,10000,0.160209
r,4,36,10000,149.614918
re,4,36,10000,0.109344
r,4,36,10000,149.617230
re,4,40,10000,0.113083
r,4,40,10000,149.585463
re,4,40,10000,0.201684
r,4,40,10000,149.653099
re,4,40,10000,0.127876
r,4,40,10000,149.646706
re,4,44,10000,0.118136
r,4,44,10000,149.546252
re,4,44,10000,0.308887
r,4,44,10000,149.468538
re,4,44,10000,0.115311
r,4,44,10000,149.548321
re,4,48,10000,0.127321
r,4,48,10000,149.231301
re,4,48,10000,0.100353
r,4,48,10000,149.531040
re,4,48,10000,0.170840
r,4,48,10000,149.643581
re,4,52,10000,0.131234
r,4,52,10000,149.594471
re,4,52,10000,0.120864
r,4,52,10000,149.530481
re,4,52,10000,0.099959
r,4,52,10000,149.140322
re,4,56,10000,0.106700
r,4,56,10000,149.726496
re,4,56,10000,0.103474
r,4,56,10000,149.520663
re,4,56,10000,0.096829
r,4,56,10000,149.591666
re,4,60,10000,0.095903
r,4,60,10000,149.544351
re,4,60,10000,0.113110
r,4,60,10000,149.649464
re,4,60,10000,0.152959
