mode,size,nthreads,k,time
re,10,16,10000,0.293877
r,10,16,10000,153.702738
re,10,16,10000,0.218059
r,10,16,10000,153.984016
re,10,16,10000,0.151616
r,10,16,10000,153.599723
re,10,16,10000,0.178396
r,10,16,10000,153.736809
re,10,16,10000,0.152738
r,10,16,10000,153.812296
re,12,16,10000,0.232375
r,12,16,10000,153.916800
re,12,16,10000,0.136699
r,12,16,10000,153.733782
re,12,16,10000,0.141938
r,12,16,10000,153.847338
re,12,16,10000,0.168692
r,12,16,10000,153.939326
re,12,16,10000,0.153504
r,12,16,10000,153.962172
re,14,16,10000,0.161127
r,14,16,10000,153.917615
re,14,16,10000,0.191062
r,14,16,10000,153.544836
re,14,16,10000,0.303299
r,14,16,10000,153.940262
re,14,16,10000,0.180331
r,14,16,10000,153.905208
re,14,16,10000,0.162926
r,14,16,10000,153.919214
re,16,16,10000,0.140524
r,16,16,10000,153.864308
re,16,16,10000,0.195853
r,16,16,10000,153.864910
re,16,16,10000,0.125641
r,16,16,10000,153.941690
re,16,16,10000,0.141012
r,16,16,10000,153.874464
re,16,16,10000,0.162204
r,16,16,10000,153.863506
