mode,size,nthreads,k,time
re,1,16,10000,0.134546
r,1,16,10000,15.232491
re,1,16,10000,0.085923
r,1,16,10000,15.234116
re,1,16,10000,0.032140
r,1,16,10000,15.224710
re,1,16,10000,0.039267
r,1,16,10000,15.217604
re,1,16,10000,0.065915
r,1,16,10000,15.200197
re,2,16,10000,0.042523
r,2,16,10000,5.657825
re,2,16,10000,0.030693
r,2,16,10000,5.709546
re,2,16,10000,0.030255
r,2,16,10000,5.886270
re,2,16,10000,0.030383
r,2,16,10000,5.734250
re,2,16,10000,0.031755
r,2,16,10000,5.724359
re,3,16,10000,0.027089
r,3,16,10000,3.920439
re,3,16,10000,0.023770
r,3,16,10000,3.919625
re,3,16,10000,0.024762
r,3,16,10000,3.927268
re,3,16,10000,0.029826
r,3,16,10000,3.917421
re,3,16,10000,0.024328
r,3,16,10000,3.930716
re,4,16,10000,0.020978
r,4,16,10000,3.095957
re,4,16,10000,0.021563
r,4,16,10000,3.102836
re,4,16,10000,0.028347
r,4,16,10000,3.090895
re,4,16,10000,0.020434
r,4,16,10000,3.089392
re,4,16,10000,0.025302
r,4,16,10000,3.097735
re,5,16,10000,0.019674
r,5,16,10000,2.464532
re,5,16,10000,0.019556
r,5,16,10000,2.489049
re,5,16,10000,0.020724
r,5,16,10000,2.490545
re,5,16,10000,0.026532
r,5,16,10000,2.500605
re,5,16,10000,0.021111
r,5,16,10000,2.450127
re,6,16,10000,0.023080
r,6,16,10000,2.001202
re,6,16,10000,0.021054
r,6,16,10000,2.006937
re,6,16,10000,0.021266
r,6,16,10000,2.083880
re,6,16,10000,0.021519
r,6,16,10000,2.003864
re,6,16,10000,0.027504
r,6,16,10000,2.004462
re,7,16,10000,0.021104
r,7,16,10000,1.729115
re,7,16,10000,0.021577
r,7,16,10000,1.720911
re,7,16,10000,0.022246
r,7,16,10000,1.726361
re,7,16,10000,0.028436
r,7,16,10000,1.722837
re,7,16,10000,0.021090
r,7,16,10000,1.787371
re,8,16,10000,0.034057
r,8,16,10000,1.599908
re,8,16,10000,0.020526
r,8,16,10000,1.553036
re,8,16,10000,0.021993
r,8,16,10000,1.563152
re,8,16,10000,0.021014
r,8,16,10000,1.565557
re,8,16,10000,0.026366
r,8,16,10000,1.572093
re,10,16,10000,0.069429
r,10,16,10000,1.308269
re,10,16,10000,0.071449
r,10,16,10000,1.315009
re,10,16,10000,0.054499
r,10,16,10000,1.316035
re,10,16,10000,0.067662
r,10,16,10000,1.339213
re,10,16,10000,0.071244
r,10,16,10000,1.317131
re,12,16,10000,0.088138
r,12,16,10000,1.064185
re,12,16,10000,0.236968
r,12,16,10000,1.100605
re,12,16,10000,0.074343
r,12,16,10000,1.107785
re,12,16,10000,0.082929
r,12,16,10000,1.110816
re,12,16,10000,0.066245
r,12,16,10000,1.097653
re,14,16,10000,0.066557
r,14,16,10000,0.947163
re,14,16,10000,0.210815
r,14,16,10000,0.958446
re,14,16,10000,0.069489
r,14,16,10000,0.921273
re,14,16,10000,0.074632
r,14,16,10000,0.994356
re,14,16,10000,0.103868
r,14,16,10000,0.965907
re,16,16,10000,0.057333
r,16,16,10000,1.007399
re,16,16,10000,0.063640
r,16,16,10000,0.856688
re,16,16,10000,0.064025
r,16,16,10000,1.006958
re,16,16,10000,0.089465
r,16,16,10000,0.839412
re,16,16,10000,0.048588
r,16,16,10000,0.822112
re,18,16,10000,0.092588
r,18,16,10000,0.761600
re,18,16,10000,0.190044
r,18,16,10000,0.944493
re,18,16,10000,0.084701
r,18,16,10000,0.785126
re,18,16,10000,0.199740
r,18,16,10000,0.755767
re,18,16,10000,0.101417
r,18,16,10000,1.374948
re,20,16,10000,0.089943
r,20,16,10000,0.726404
re,20,16,10000,0.077038
r,20,16,10000,0.717021
re,20,16,10000,0.124879
r,20,16,10000,0.718606
re,20,16,10000,0.088901
r,20,16,10000,0.880318
re,20,16,10000,0.100504
r,20,16,10000,0.722311
re,22,16,10000,0.111430
r,22,16,10000,1.444479
re,22,16,10000,0.096246
r,22,16,10000,0.649908
re,22,16,10000,0.121481
r,22,16,10000,0.676873
re,22,16,10000,0.076987
r,22,16,10000,0.633098
re,22,16,10000,0.069672
r,22,16,10000,1.389713
re,24,16,10000,0.244776
r,24,16,10000,0.605213
re,24,16,10000,0.193301
r,24,16,10000,0.613165
re,24,16,10000,0.091631
r,24,16,10000,0.827093
re,24,16,10000,0.251972
r,24,16,10000,0.587848
re,24,16,10000,0.072145
r,24,16,10000,0.583710
re,26,16,10000,0.073177
r,26,16,10000,0.763355
re,26,16,10000,0.165597
r,26,16,10000,0.578172
re,26,16,10000,0.068939
r,26,16,10000,0.779740
re,26,16,10000,0.087368
r,26,16,10000,0.584543
re,26,16,10000,0.143044
r,26,16,10000,0.568541
re,28,16,10000,0.078250
r,28,16,10000,1.100366
re,28,16,10000,0.089573
r,28,16,10000,0.555318
re,28,16,10000,0.105312
r,28,16,10000,0.577743
re,28,16,10000,0.079321
r,28,16,10000,0.747844
re,28,16,10000,0.318576
r,28,16,10000,0.527236
re,30,16,10000,0.110862
r,30,16,10000,0.540324
re,30,16,10000,0.076880
r,30,16,10000,1.040215
re,30,16,10000,0.113960
r,30,16,10000,0.530456
re,30,16,10000,0.102948
r,30,16,10000,0.531823
re,30,16,10000,0.091905
r,30,16,10000,1.025192
re,32,16,10000,0.064695
r,32,16,10000,0.497890
re,32,16,10000,0.058794
r,32,16,10000,0.567412
re,32,16,10000,0.060760
r,32,16,10000,0.505105
re,32,16,10000,0.146869
r,32,16,10000,0.502607
re,32,16,10000,0.052930
r,32,16,10000,0.519219
re,1,16,20000,0.589118
r,1,16,20000,60.688131
re,1,16,20000,0.469449
r,1,16,20000,60.753580
re,1,16,20000,0.392917
r,1,16,20000,60.764539
re,1,16,20000,0.425147
r,1,16,20000,60.644232
re,1,16,20000,0.407742
r,1,16,20000,60.566806
re,2,16,20000,0.274978
r,2,16,20000,22.578006
re,2,16,20000,0.101934
r,2,16,20000,22.677812
re,2,16,20000,0.104757
r,2,16,20000,22.571820
re,2,16,20000,0.159944
r,2,16,20000,22.617476
re,2,16,20000,0.109781
r,2,16,20000,22.712241
re,3,16,20000,0.071794
r,3,16,20000,15.612075
re,3,16,20000,0.074293
r,3,16,20000,15.659011
re,3,16,20000,0.073806
r,3,16,20000,15.692753
re,3,16,20000,0.074380
r,3,16,20000,15.683005
re,3,16,20000,0.074228
r,3,16,20000,15.720744
re,4,16,20000,0.060687
r,4,16,20000,12.419455
re,4,16,20000,0.060874
r,4,16,20000,12.439953
re,4,16,20000,0.060819
r,4,16,20000,12.262689
re,4,16,20000,0.079856
r,4,16,20000,12.392461
re,4,16,20000,0.061759
r,4,16,20000,12.315041
re,5,16,20000,0.054985
r,5,16,20000,9.867785
re,5,16,20000,0.055243
r,5,16,20000,9.883527
re,5,16,20000,0.056513
r,5,16,20000,9.851773
re,5,16,20000,0.055683
r,5,16,20000,9.850369
re,5,16,20000,0.055806
r,5,16,20000,9.844631
re,6,16,20000,0.050190
r,6,16,20000,8.207453
re,6,16,20000,0.050819
