mode,size,nthreads,k,time
re,1,16,5000,0.035719
r,1,16,5000,2.773903
re,1,16,5000,0.005009
r,1,16,5000,2.775947
re,1,16,5000,0.004881
r,1,16,5000,2.786968
re,1,16,5000,0.004953
r,1,16,5000,2.777314
re,1,16,5000,0.005705
r,1,16,5000,2.775751
re,2,16,7071,0.231130
r,2,16,7071,2.696632
re,2,16,7071,0.098868
r,2,16,7071,2.706271
re,2,16,7071,0.011719
r,2,16,7071,2.687197
re,2,16,7071,0.020268
r,2,16,7071,2.687656
re,2,16,7071,0.250330
r,2,16,7071,2.720417
re,3,16,8660,0.212599
r,3,16,8660,2.923090
re,3,16,8660,0.070143
r,3,16,8660,2.933440
re,3,16,8660,0.114263
r,3,16,8660,2.927641
re,3,16,8660,0.019846
r,3,16,8660,2.942107
re,3,16,8660,0.019228
r,3,16,8660,2.937347
re,4,16,10000,0.099073
r,4,16,10000,3.113559
re,4,16,10000,0.021335
r,4,16,10000,3.112214
re,4,16,10000,0.044992
r,4,16,10000,3.081628
re,4,16,10000,0.033402
r,4,16,10000,3.085824
re,4,16,10000,0.047220
r,4,16,10000,3.101074
re,5,16,11180,0.449818
r,5,16,11180,3.126947
re,5,16,11180,0.145564
r,5,16,11180,3.031195
re,5,16,11180,0.109767
r,5,16,11180,3.033044
re,5,16,11180,0.034713
r,5,16,11180,3.087216
re,5,16,11180,0.042827
r,5,16,11180,3.026998
re,6,16,12247,0.363306
r,6,16,12247,3.056905
re,6,16,12247,0.045684
r,6,16,12247,3.077090
re,6,16,12247,0.050754
r,6,16,12247,3.076075
re,6,16,12247,0.037798
r,6,16,12247,3.073846
re,6,16,12247,0.252355
r,6,16,12247,3.054168
re,7,16,13228,0.345142
r,7,16,13228,3.089599
re,7,16,13228,0.102890
r,7,16,13228,3.053900
re,7,16,13228,0.036990
r,7,16,13228,3.048045
re,7,16,13228,0.039884
r,7,16,13228,3.085728
re,7,16,13228,0.029840
r,7,16,13228,3.044831
re,8,16,14142,0.375117
r,8,16,14142,4.027682
re,8,16,14142,0.102895
r,8,16,14142,3.770446
re,8,16,14142,0.118767
r,8,16,14142,3.991438
re,8,16,14142,0.040508
r,8,16,14142,4.211575
re,8,16,14142,0.047967
r,8,16,14142,3.550377
