mode,size,nthreads,k,time
re,4,1,10000,0.219595
r,4,1,10000,44.929930
re,4,1,10000,0.108311
r,4,1,10000,45.147020
re,4,1,10000,0.124898
r,4,1,10000,45.157874
re,4,1,10000,0.103836
r,4,1,10000,45.140134
re,4,1,10000,0.084900
r,4,1,10000,46.341265
re,4,2,10000,0.112675
r,4,2,10000,22.766259
re,4,2,10000,0.087291
r,4,2,10000,22.830339
re,4,2,10000,0.074836
r,4,2,10000,22.695004
re,4,2,10000,0.056690
r,4,2,10000,23.537384
re,4,2,10000,0.125804
r,4,2,10000,22.646298
re,4,4,10000,0.049977
r,4,4,10000,11.656255
re,4,4,10000,0.121361
r,4,4,10000,11.398606
re,4,4,10000,0.069920
r,4,4,10000,11.366360
re,4,4,10000,0.065111
r,4,4,10000,11.702426
re,4,4,10000,0.061151
r,4,4,10000,11.523364
re,4,8,10000,0.129749
r,4,8,10000,5.835263
re,4,8,10000,0.068096
r,4,8,10000,5.826507
re,4,8,10000,0.059237
r,4,8,10000,5.787268
re,4,8,10000,0.059121
r,4,8,10000,5.807580
re,4,8,10000,0.084038
r,4,8,10000,6.143250
re,4,16,10000,0.066238
r,4,16,10000,2.962552
re,4,16,10000,0.066774
r,4,16,10000,2.920330
re,4,16,10000,0.056668
r,4,16,10000,2.928369
re,4,16,10000,0.069905
r,4,16,10000,2.914499
re,4,16,10000,0.048567
r,4,16,10000,3.107166
re,4,20,10000,0.061944
r,4,20,10000,2.340513
re,4,20,10000,0.051120
r,4,20,10000,2.577976
re,4,20,10000,0.055877
r,4,20,10000,2.341514
re,4,20,10000,0.068375
r,4,20,10000,2.519306
re,4,20,10000,0.053761
r,4,20,10000,2.493296
re,4,24,10000,0.257041
r,4,24,10000,1.987413
re,4,24,10000,0.064765
r,4,24,10000,1.993570
re,4,24,10000,0.053206
r,4,24,10000,2.106284
re,4,24,10000,0.156003
r,4,24,10000,1.974471
re,4,24,10000,0.057903
r,4,24,10000,1.961199
re,4,28,10000,0.056911
r,4,28,10000,1.734346
re,4,28,10000,0.114614
r,4,28,10000,1.740752
re,4,28,10000,0.071447
r,4,28,10000,1.792631
re,4,28,10000,0.057761
r,4,28,10000,1.775477
re,4,28,10000,0.217147
r,4,28,10000,1.828319
re,4,32,10000,0.068029
r,4,32,10000,1.615479
re,4,32,10000,0.050322
r,4,32,10000,1.596794
re,4,32,10000,0.067860
r,4,32,10000,1.534576
re,4,32,10000,0.099215
r,4,32,10000,1.589086
re,4,32,10000,0.078175
r,4,32,10000,1.635141
re,4,36,10000,0.067991
r,4,36,10000,1.475643
re,4,36,10000,0.047159
r,4,36,10000,1.409337
re,4,36,10000,0.088481
r,4,36,10000,1.463788
re,4,36,10000,0.045095
r,4,36,10000,1.464120
re,4,36,10000,0.055996
r,4,36,10000,1.475857
re,4,40,10000,0.055309
r,4,40,10000,1.348690
re,4,40,10000,0.055808
r,4,40,10000,1.314221
re,4,40,10000,0.048035
r,4,40,10000,1.349087
re,4,40,10000,0.055087
r,4,40,10000,1.319740
re,4,40,10000,0.051322
r,4,40,10000,1.335534
re,4,44,10000,0.135507
r,4,44,10000,1.240769
re,4,44,10000,0.051996
r,4,44,10000,1.235167
re,4,44,10000,0.053309
r,4,44,10000,1.245143
re,4,44,10000,0.101868
r,4,44,10000,1.166933
re,4,44,10000,0.054437
r,4,44,10000,1.208346
re,4,48,10000,0.071867
r,4,48,10000,1.132512
re,4,48,10000,0.095924
r,4,48,10000,1.144153
re,4,48,10000,0.054352
r,4,48,10000,1.136551
re,4,48,10000,0.061607
r,4,48,10000,1.162634
re,4,48,10000,0.057325
r,4,48,10000,1.124643
re,4,52,10000,0.231508
r,4,52,10000,1.039535
re,4,52,10000,0.061127
r,4,52,10000,1.077834
re,4,52,10000,0.054321
r,4,52,10000,1.072536
re,4,52,10000,0.041818
r,4,52,10000,1.098580
re,4,52,10000,0.083871
r,4,52,10000,1.079756
re,4,56,10000,0.060296
r,4,56,10000,1.013780
re,4,56,10000,0.090792
r,4,56,10000,0.996373
re,4,56,10000,0.044396
r,4,56,10000,1.011941
re,4,56,10000,0.095807
r,4,56,10000,1.027780
re,4,56,10000,0.042954
r,4,56,10000,0.992016
re,4,60,10000,0.355422
r,4,60,10000,0.985061
re,4,60,10000,0.070422
r,4,60,10000,0.940522
re,4,60,10000,0.157603
r,4,60,10000,0.958387
re,4,60,10000,0.055098
r,4,60,10000,0.929009
re,4,60,10000,0.042439
r,4,60,10000,0.925022
re,4,64,10000,0.094649
r,4,64,10000,0.951786
re,4,64,10000,0.052215
r,4,64,10000,0.886201
re,4,64,10000,0.047909
r,4,64,10000,0.886536
re,4,64,10000,0.109340
r,4,64,10000,0.910057
re,4,64,10000,0.044050
r,4,64,10000,0.907845
re,4,1,20000,0.551984
r,4,1,20000,181.202611
re,4,1,20000,0.526305
r,4,1,20000,180.946283
re,4,1,20000,0.538383
r,4,1,20000,180.908426
re,4,1,20000,1.097991
r,4,1,20000,181.272138
re,4,1,20000,0.435182
r,4,1,20000,181.533211
re,4,2,20000,0.447380
r,4,2,20000,90.812677
re,4,2,20000,0.304084
r,4,2,20000,90.800517
re,4,2,20000,0.341583
r,4,2,20000,91.869766
re,4,2,20000,0.367340
r,4,2,20000,90.811277
re,4,2,20000,0.303184
r,4,2,20000,91.095957
re,4,4,20000,0.283493
r,4,4,20000,45.900008
re,4,4,20000,0.341385
r,4,4,20000,45.420452
re,4,4,20000,0.366896
r,4,4,20000,47.356767
re,4,4,20000,0.303178
r,4,4,20000,48.774996
re,4,4,20000,0.295441
r,4,4,20000,48.725006
re,4,8,20000,0.239321
r,4,8,20000,22.875934
re,4,8,20000,0.247853
r,4,8,20000,22.996052
re,4,8,20000,0.112707
r,4,8,20000,22.849290
re,4,8,20000,0.160160
r,4,8,20000,24.475114
re,4,8,20000,0.120294
r,4,8,20000,24.433093
re,4,16,20000,0.117496
r,4,16,20000,11.859652
re,4,16,20000,0.108552
r,4,16,20000,11.530490
re,4,16,20000,0.100132
r,4,16,20000,12.047670
re,4,16,20000,0.117011
r,4,16,20000,11.812446
re,4,16,20000,0.104992
r,4,16,20000,12.097545
re,4,20,20000,0.164046
r,4,20,20000,9.550591
re,4,20,20000,0.094948
r,4,20,20000,9.584775
re,4,20,20000,0.159797
r,4,20,20000,9.364286
re,4,20,20000,0.130852
r,4,20,20000,9.820526
re,4,20,20000,0.102634
r,4,20,20000,9.644683
