mode,size,nthreads,k,time
re,4,1,10000,0.322753
r,4,1,10000,42.493155
re,4,1,10000,0.129962
re,4,1,10000,0.121703
r,4,1,10000,42.517567
re,4,1,10000,0.157456
r,4,1,10000,42.492229
re,4,1,10000,0.143456
r,4,1,10000,42.532661
re,4,1,10000,0.142988
r,4,1,10000,42.480472
re,4,16,10000,0.118948
r,4,16,10000,2.747005
re,4,16,10000,0.113156
r,4,16,10000,2.696373
re,4,16,10000,0.143690
r,4,16,10000,2.766598
re,4,16,10000,0.098674
r,4,16,10000,2.733024
re,4,32,10000,0.094473
r,4,32,10000,1.481444
re,4,32,10000,0.130348
r,4,32,10000,1.514903
re,4,32,10000,0.082102
r,4,32,10000,1.480779
re,4,32,10000,0.117952
r,4,32,10000,1.473137
re,4,48,10000,0.175593
r,4,48,10000,1.046814
re,4,48,10000,0.088176
r,4,48,10000,1.027065
re,4,48,10000,0.076281
r,4,48,10000,1.037899
re,4,48,10000,0.117314
r,4,48,10000,1.050939
re,4,64,10000,0.093039
r,4,64,10000,0.835059
re,4,64,10000,0.092253
r,4,64,10000,0.826953
re,4,64,10000,0.098160
r,4,64,10000,0.838764
re,4,64,10000,0.231123
r,4,64,10000,0.903265
re,4,80,10000,0.178865
r,4,80,10000,1.317416
re,4,80,10000,0.122021
r,4,80,10000,1.302566
re,4,80,10000,0.085646
r,4,80,10000,1.292697
re,4,80,10000,0.230853
r,4,80,10000,1.302710
re,4,96,10000,0.129210
r,4,96,10000,1.132284
re,4,96,10000,0.237820
r,4,96,10000,1.131926
re,4,96,10000,0.199866
r,4,96,10000,1.112070
re,4,96,10000,0.090064
r,4,96,10000,1.094685
re,4,112,10000,0.071327
r,4,112,10000,0.973582
re,4,112,10000,0.217609
r,4,112,10000,1.007534
re,4,112,10000,0.102774
r,4,112,10000,0.966584
re,4,112,10000,0.200306
r,4,112,10000,0.979449
re,4,128,10000,0.096427
r,4,128,10000,0.892364
re,4,128,10000,0.300563
r,4,128,10000,0.893949
re,4,128,10000,0.103196
r,4,128,10000,0.891528
re,4,128,10000,0.075311
r,4,128,10000,0.895321
re,4,144,10000,0.044252
r,4,144,10000,1.130498
re,4,144,10000,0.086163
r,4,144,10000,1.149671
re,4,144,10000,0.101826
r,4,144,10000,1.127402
re,4,144,10000,0.060679
r,4,144,10000,1.150061
re,4,160,10000,0.042853
r,4,160,10000,1.003607
re,4,160,10000,0.184089
r,4,160,10000,1.028803
re,4,160,10000,0.092591
r,4,160,10000,1.007761
re,4,160,10000,0.135223
r,4,160,10000,1.044563
re,4,176,10000,0.047161
r,4,176,10000,0.963887
re,4,176,10000,0.047212
r,4,176,10000,0.952055
re,4,176,10000,0.116917
r,4,176,10000,0.955016
re,4,176,10000,0.055274
r,4,176,10000,0.956753
re,4,192,10000,0.051598
r,4,192,10000,0.922079
re,4,192,10000,0.050505
r,4,192,10000,0.932413
re,4,192,10000,0.111397
r,4,192,10000,0.949638
re,4,192,10000,0.053319
r,4,192,10000,0.928712
re,4,208,10000,0.083420
r,4,208,10000,1.106543
re,4,208,10000,0.064450
r,4,208,10000,1.134221
re,4,208,10000,0.245677
r,4,208,10000,1.106236
re,4,208,10000,0.086705
r,4,208,10000,1.096052
re,4,224,10000,0.049140
r,4,224,10000,1.036435
re,4,224,10000,0.139742
r,4,224,10000,1.026991
re,4,224,10000,0.160053
r,4,224,10000,1.031686
re,4,224,10000,0.209283
r,4,224,10000,1.041419
re,4,240,10000,0.098550
r,4,240,10000,0.966770
re,4,240,10000,0.099810
r,4,240,10000,0.963580
re,4,240,10000,0.048030
r,4,240,10000,0.950643
re,4,240,10000,0.080548
r,4,240,10000,0.959368
re,4,256,10000,0.042432
r,4,256,10000,0.923219
re,4,256,10000,0.053732
r,4,256,10000,0.919599
re,4,256,10000,0.051809
r,4,256,10000,0.926566
re,4,256,10000,0.077273
r,4,256,10000,0.929116
