mode,size,nthreads,k,time
re,4,1,10000,0.448528
r,4,1,10000,41.941617
re,4,1,10000,0.271373
re,4,1,10000,0.149030
r,4,1,10000,41.959758
re,4,1,10000,0.120830
r,4,1,10000,41.923041
re,4,1,10000,0.127739
r,4,1,10000,41.917055
re,4,1,10000,0.352229
r,4,1,10000,41.975160
re,4,1,10000,0.118261
r,4,1,10000,41.912293
re,4,16,10000,0.131967
r,4,16,10000,2.754631
re,4,16,10000,0.085120
r,4,16,10000,2.733999
re,4,16,10000,0.276487
r,4,16,10000,2.705237
re,4,16,10000,0.086186
r,4,16,10000,2.722842
re,4,16,10000,0.069870
r,4,16,10000,2.765370
re,4,32,10000,0.161321
r,4,32,10000,1.510468
re,4,32,10000,0.079255
r,4,32,10000,1.483614
re,4,32,10000,0.097206
r,4,32,10000,1.468834
re,4,32,10000,0.135451
r,4,32,10000,1.504216
re,4,32,10000,0.095697
r,4,32,10000,1.495663
re,4,48,10000,0.098022
r,4,48,10000,1.069050
re,4,48,10000,0.082305
r,4,48,10000,1.059133
re,4,48,10000,0.215673
r,4,48,10000,1.052974
re,4,48,10000,0.102587
r,4,48,10000,1.071994
re,4,48,10000,0.090556
r,4,48,10000,1.067349
re,4,64,10000,0.091076
r,4,64,10000,0.865191
re,4,64,10000,0.067883
r,4,64,10000,0.863644
re,4,64,10000,0.066490
r,4,64,10000,0.839047
re,4,64,10000,0.130686
r,4,64,10000,0.847059
re,4,64,10000,0.062577
r,4,64,10000,0.829639
re,4,80,10000,0.056881
r,4,80,10000,1.258269
re,4,80,10000,0.065627
r,4,80,10000,1.346531
re,4,80,10000,0.229169
r,4,80,10000,1.281773
re,4,80,10000,0.057153
r,4,80,10000,1.268826
re,4,80,10000,0.053125
r,4,80,10000,1.331641
re,4,96,10000,0.045045
r,4,96,10000,1.129649
re,4,96,10000,0.056149
r,4,96,10000,1.146163
re,4,96,10000,0.046039
r,4,96,10000,1.178467
re,4,96,10000,0.058270
r,4,96,10000,1.152091
re,4,96,10000,0.055162
r,4,96,10000,1.150267
re,4,112,10000,0.072329
r,4,112,10000,1.075655
re,4,112,10000,0.063176
r,4,112,10000,1.035734
re,4,112,10000,0.047577
r,4,112,10000,1.026635
re,4,112,10000,0.043794
r,4,112,10000,1.029684
re,4,112,10000,0.054143
r,4,112,10000,1.019967
re,4,128,10000,0.174038
r,4,128,10000,0.962041
re,4,128,10000,0.240397
r,4,128,10000,0.969306
re,4,128,10000,0.215212
r,4,128,10000,0.963312
re,4,128,10000,0.104847
r,4,128,10000,0.986355
re,4,128,10000,0.059578
r,4,128,10000,1.010163
re,4,144,10000,0.108398
r,4,144,10000,1.225142
re,4,144,10000,0.115726
r,4,144,10000,1.214044
re,4,144,10000,0.062625
r,4,144,10000,1.237096
re,4,144,10000,0.053661
r,4,144,10000,1.218782
re,4,144,10000,0.074438
r,4,144,10000,1.200999
re,4,160,10000,0.084153
r,4,160,10000,1.142063
re,4,160,10000,0.154000
r,4,160,10000,1.156170
re,4,160,10000,0.056058
r,4,160,10000,1.132100
re,4,160,10000,0.201932
r,4,160,10000,1.156541
re,4,160,10000,0.067257
r,4,160,10000,1.181159
re,4,176,10000,0.057455
r,4,176,10000,1.113745
re,4,176,10000,0.063908
r,4,176,10000,1.073441
re,4,176,10000,0.062623
r,4,176,10000,1.058958
re,4,176,10000,0.241688
r,4,176,10000,1.081291
re,4,176,10000,0.244934
r,4,176,10000,1.373800
re,4,192,10000,0.064812
r,4,192,10000,0.987457
re,4,192,10000,0.197171
r,4,192,10000,0.997277
re,4,192,10000,0.052596
r,4,192,10000,0.967132
re,4,192,10000,0.048188
r,4,192,10000,0.987519
re,4,192,10000,0.051123
r,4,192,10000,0.976927
re,4,208,10000,0.200758
r,4,208,10000,1.206835
re,4,208,10000,0.078793
r,4,208,10000,1.165222
re,4,208,10000,0.274709
r,4,208,10000,1.162993
re,4,208,10000,0.355079
r,4,208,10000,1.183781
re,4,208,10000,0.063691
r,4,208,10000,1.154506
re,4,224,10000,0.065583
r,4,224,10000,1.106495
re,4,224,10000,0.045407
r,4,224,10000,1.113385
re,4,224,10000,0.170789
r,4,224,10000,1.132566
re,4,224,10000,0.063320
r,4,224,10000,1.177107
re,4,224,10000,0.061145
r,4,224,10000,1.121658
re,4,240,10000,0.067589
r,4,240,10000,1.205881
re,4,240,10000,0.131921
r,4,240,10000,1.505047
re,4,240,10000,0.045139
r,4,240,10000,1.082771
re,4,240,10000,0.309351
r,4,240,10000,1.078807
re,4,240,10000,0.075053
r,4,240,10000,1.055146
re,4,256,10000,0.085479
r,4,256,10000,1.205868
re,4,256,10000,0.072709
r,4,256,10000,1.055905
re,4,256,10000,0.052305
r,4,256,10000,1.019509
re,4,256,10000,0.211974
r,4,256,10000,1.031443
re,4,256,10000,0.156015
r,4,256,10000,1.458603
