mode,size,nthreads,k,time
re,1,16,10000,0.158030
r,1,16,10000,16.216990
re,1,16,10000,0.058879
r,1,16,10000,16.186817
re,1,16,10000,0.045476
r,1,16,10000,16.194567
re,1,16,10000,0.035227
r,1,16,10000,16.185061
re,1,16,10000,0.038968
r,1,16,10000,16.196863
re,2,16,10000,0.062406
r,2,16,10000,5.814092
re,2,16,10000,0.036284
r,2,16,10000,5.891091
re,2,16,10000,0.091580
r,2,16,10000,5.910224
re,2,16,10000,0.051414
r,2,16,10000,5.877121
re,2,16,10000,0.036345
r,2,16,10000,5.819379
re,4,16,10000,0.045202
r,4,16,10000,3.327823
re,4,16,10000,0.033289
r,4,16,10000,3.318543
re,4,16,10000,0.024399
r,4,16,10000,3.306833
re,4,16,10000,0.033788
r,4,16,10000,3.332200
re,4,16,10000,0.023154
r,4,16,10000,3.331695
re,6,16,10000,0.021404
r,6,16,10000,2.149157
re,6,16,10000,0.024104
r,6,16,10000,2.203378
re,6,16,10000,0.028778
r,6,16,10000,2.170669
re,6,16,10000,0.021850
r,6,16,10000,2.182459
re,6,16,10000,0.025354
r,6,16,10000,2.252364
re,8,16,10000,0.023191
r,8,16,10000,1.677100
re,8,16,10000,0.023740
r,8,16,10000,1.660361
re,8,16,10000,0.024194
r,8,16,10000,1.675731
re,8,16,10000,0.032253
r,8,16,10000,1.667847
re,8,16,10000,0.022626
r,8,16,10000,1.704085
re,10,16,10000,0.066637
r,10,16,10000,1.400940
re,10,16,10000,0.060615
r,10,16,10000,1.409598
re,10,16,10000,0.077162
r,10,16,10000,1.394845
re,10,16,10000,0.061269
r,10,16,10000,1.433743
re,10,16,10000,0.066331
r,10,16,10000,1.459729
re,12,16,10000,0.081019
r,12,16,10000,1.157275
re,12,16,10000,0.075876
r,12,16,10000,1.226396
re,12,16,10000,0.073702
r,12,16,10000,1.157876
re,12,16,10000,0.080806
r,12,16,10000,1.184926
re,12,16,10000,0.149404
r,12,16,10000,1.185779
re,14,16,10000,0.080874
r,14,16,10000,1.010364
re,14,16,10000,0.077345
r,14,16,10000,1.030943
re,14,16,10000,0.073052
r,14,16,10000,1.033642
re,14,16,10000,0.105058
r,14,16,10000,1.052666
re,14,16,10000,0.102056
r,14,16,10000,1.033381
re,16,16,10000,0.057412
r,16,16,10000,0.926266
re,16,16,10000,0.044620
r,16,16,10000,0.927422
re,16,16,10000,0.242080
r,16,16,10000,0.911470
re,16,16,10000,0.062588
r,16,16,10000,0.924272
re,16,16,10000,0.057298
r,16,16,10000,0.928569
re,1,16,20000,0.715150
r,1,16,20000,64.640233
re,1,16,20000,0.440163
r,1,16,20000,64.582662
re,1,16,20000,0.393864
r,1,16,20000,64.597432
re,1,16,20000,0.524325
r,1,16,20000,64.609654
re,1,16,20000,0.478663
r,1,16,20000,64.580067
re,2,16,20000,0.275283
r,2,16,20000,23.239207
re,2,16,20000,0.113549
r,2,16,20000,22.923853
re,2,16,20000,0.194230
r,2,16,20000,22.728723
re,2,16,20000,0.127108
r,2,16,20000,23.767258
re,2,16,20000,0.117864
r,2,16,20000,22.829027
re,4,16,20000,0.065075
r,4,16,20000,13.067295
re,4,16,20000,0.084676
r,4,16,20000,13.050260
re,4,16,20000,0.176090
r,4,16,20000,13.015945
re,4,16,20000,0.064533
r,4,16,20000,13.313715
re,4,16,20000,0.076943
r,4,16,20000,13.824039
re,6,16,20000,0.050331
r,6,16,20000,8.754096
re,6,16,20000,0.055283
r,6,16,20000,8.908990
re,6,16,20000,0.057703
r,6,16,20000,8.762490
re,6,16,20000,0.057633
r,6,16,20000,8.739540
re,6,16,20000,0.062514
r,6,16,20000,8.922342
re,8,16,20000,0.044795
r,8,16,20000,6.554091
re,8,16,20000,0.044792
r,8,16,20000,6.726820
re,8,16,20000,0.045644
r,8,16,20000,6.683724
re,8,16,20000,0.043547
r,8,16,20000,6.698997
re,8,16,20000,0.044382
r,8,16,20000,6.698893
re,10,16,20000,0.279564
r,10,16,20000,5.303067
re,10,16,20000,0.112699
r,10,16,20000,5.518037
re,10,16,20000,0.089802
r,10,16,20000,5.473680
re,10,16,20000,0.086345
r,10,16,20000,5.376221
re,10,16,20000,0.184798
r,10,16,20000,5.315884
re,12,16,20000,0.158763
r,12,16,20000,4.393702
re,12,16,20000,0.093904
r,12,16,20000,4.412802
re,12,16,20000,0.106842
r,12,16,20000,4.431882
re,12,16,20000,0.114609
r,12,16,20000,4.414783
re,12,16,20000,0.092039
r,12,16,20000,4.489135
re,14,16,20000,0.134566
r,14,16,20000,3.855116
re,14,16,20000,0.100449
r,14,16,20000,3.965101
re,14,16,20000,0.079894
r,14,16,20000,3.935056
re,14,16,20000,0.094342
r,14,16,20000,3.755513
re,14,16,20000,0.091254
r,14,16,20000,3.774892
re,16,16,20000,0.118006
r,16,16,20000,3.306865
re,16,16,20000,0.111384
r,16,16,20000,3.555156
re,16,16,20000,0.103720
r,16,16,20000,3.379034
re,16,16,20000,0.138473
r,16,16,20000,3.546272
re,16,16,20000,0.066521
r,16,16,20000,3.378698
re,18,16,10000,0.462725
r,18,16,10000,0.778583
re,18,16,10000,0.076234
r,18,16,10000,1.411120
re,18,16,10000,0.190831
r,18,16,10000,0.790275
re,18,16,10000,0.100139
r,18,16,10000,0.769549
re,18,16,10000,0.147748
r,18,16,10000,0.756588
re,20,16,10000,0.161419
r,20,16,10000,0.892601
re,20,16,10000,0.213539
r,20,16,10000,0.711776
re,18,16,10000,0.101747
r,18,16,10000,0.763067
re,18,16,10000,0.200242
r,18,16,10000,1.331714
re,18,16,10000,0.070293
r,18,16,10000,0.779439
re,18,16,10000,0.099737
r,18,16,10000,0.779054
re,18,16,10000,0.080535
r,18,16,10000,0.772457
re,20,16,10000,0.094982
r,20,16,10000,1.239265
re,20,16,10000,0.094569
r,20,16,10000,0.728823
re,20,16,10000,0.080380
r,20,16,10000,0.711760
re,20,16,10000,0.144944
r,20,16,10000,1.151103
re,20,16,10000,0.090556
r,20,16,10000,0.711569
re,22,16,10000,0.086243
r,22,16,10000,0.893088
re,22,16,10000,0.081384
r,22,16,10000,0.665900
re,22,16,10000,0.117551
r,22,16,10000,0.644433
re,22,16,10000,0.109468
r,22,16,10000,0.866770
re,22,16,10000,0.088861
r,22,16,10000,0.642955
re,24,16,10000,0.084203
r,24,16,10000,0.968517
re,24,16,10000,0.136118
r,24,16,10000,0.603213
re,24,16,10000,0.086434
r,24,16,10000,0.815502
re,24,16,10000,0.126321
r,24,16,10000,0.637334
