mode,size,nthreads,k,time
re,4,28,10000,0.127108
r,4,28,10000,46.990615
re,4,28,10000,0.164180
r,4,28,10000,47.194436
re,4,28,10000,0.224072
r,4,28,10000,47.342813
re,4,28,10000,0.174945
r,4,28,10000,47.450273
re,4,28,10000,0.112453
r,4,28,10000,47.502757
re,4,32,10000,0.095586
r,4,32,10000,47.886156
re,4,32,10000,0.111825
r,4,32,10000,48.067584
re,4,32,10000,0.112245
r,4,32,10000,48.285383
re,4,32,10000,0.095526
r,4,32,10000,47.932779
re,4,32,10000,0.174573
r,4,32,10000,48.306356
re,4,38,10000,0.226185
r,4,38,10000,49.855309
re,4,38,10000,0.140161
r,4,38,10000,49.816630
re,4,38,10000,0.106367
r,4,38,10000,49.390279
re,4,38,10000,0.139900
r,4,38,10000,49.857804
re,4,38,10000,0.113284
r,4,38,10000,49.569657
re,4,42,10000,0.274526
r,4,42,10000,50.242993
re,4,42,10000,0.094296
r,4,42,10000,50.302122
re,4,42,10000,0.090554
r,4,42,10000,50.184800
re,4,42,10000,0.142081
r,4,42,10000,50.207755
re,4,42,10000,0.098257
r,4,42,10000,50.190770
re,4,48,10000,0.349558
r,4,48,10000,51.087983
re,4,48,10000,0.194325
r,4,48,10000,50.868287
re,4,48,10000,0.391779
r,4,48,10000,51.063191
re,4,48,10000,0.087187
r,4,48,10000,50.934896
re,4,48,10000,0.114039
r,4,48,10000,50.879076
re,4,52,10000,0.440091
r,4,52,10000,51.163693
re,4,52,10000,0.102825
r,4,52,10000,51.243225
re,4,52,10000,0.128973
r,4,52,10000,51.219457
re,4,52,10000,0.141149
r,4,52,10000,51.364359
re,4,52,10000,0.091465
r,4,52,10000,51.384979
re,4,58,10000,0.096259
r,4,58,10000,51.997675
re,4,58,10000,0.102027
r,4,58,10000,52.002691
re,4,58,10000,0.088943
r,4,58,10000,51.858872
re,4,58,10000,0.130664
r,4,58,10000,52.053205
re,4,58,10000,0.134405
r,4,58,10000,52.105761
re,4,62,10000,0.219845
r,4,62,10000,51.954481
re,4,62,10000,0.124803
r,4,62,10000,52.059781
re,4,62,10000,0.107781
r,4,62,10000,52.002247
re,4,62,10000,0.173291
r,4,62,10000,52.299110
re,4,62,10000,0.102983
r,4,62,10000,52.097734
re,4,64,10000,0.128945
r,4,64,10000,52.296432
re,4,64,10000,0.168138
r,4,64,10000,52.329448
re,4,64,10000,0.173239
r,4,64,10000,52.290749
re,4,64,10000,0.196062
r,4,64,10000,52.502618
re,4,64,10000,0.335216
r,4,64,10000,52.382692
re,4,28,20000,0.312743
r,4,28,20000,187.954913
re,4,28,20000,0.293385
r,4,28,20000,188.333439
re,4,28,20000,0.326025
r,4,28,20000,188.500884
re,4,28,20000,0.319515
r,4,28,20000,189.115428
re,4,28,20000,0.436474
r,4,28,20000,188.994665
re,4,32,20000,0.341017
r,4,32,20000,190.935602
re,4,32,20000,0.662071
r,4,32,20000,190.430002
re,4,32,20000,0.402123
r,4,32,20000,190.150944
re,4,32,20000,0.429045
r,4,32,20000,190.308995
re,4,32,20000,0.285404
r,4,32,20000,190.295462
re,4,38,20000,0.296054
r,4,38,20000,196.888380
re,4,38,20000,0.287488
r,4,38,20000,196.113657
re,4,38,20000,0.535735
r,4,38,20000,194.460232
re,4,38,20000,0.248287
r,4,38,20000,195.427447
re,4,38,20000,0.404915
r,4,38,20000,195.143679
re,4,42,20000,0.308114
r,4,42,20000,197.738465
re,4,42,20000,0.261538
r,4,42,20000,197.049523
re,4,42,20000,0.253299
r,4,42,20000,198.903908
re,4,42,20000,0.388341
r,4,42,20000,197.966236
re,4,42,20000,0.259977
r,4,42,20000,198.307328
re,4,48,20000,0.336339
r,4,48,20000,201.777813
re,4,48,20000,0.294316
r,4,48,20000,200.359101
re,4,48,20000,0.326466
r,4,48,20000,200.767585
re,4,48,20000,0.343580
r,4,48,20000,4.285733
re,4,48,20000,0.116521
r,4,48,20000,4.305672
re,4,52,20000,0.109319
r,4,52,20000,4.033734
re,4,52,20000,0.146327
r,4,52,20000,4.207701
re,4,52,20000,0.121210
r,4,52,20000,4.211386
re,4,52,20000,0.099148
r,4,52,20000,4.167579
re,4,52,20000,0.126667
r,4,52,20000,4.028899
re,4,58,20000,0.165948
r,4,58,20000,3.849458
re,4,58,20000,0.097196
r,4,58,20000,3.836788
re,4,58,20000,0.111487
r,4,58,20000,3.874257
re,4,58,20000,0.119070
r,4,58,20000,3.824374
re,4,58,20000,0.094148
r,4,58,20000,3.648792
re,4,62,20000,0.100819
r,4,62,20000,3.607190
re,4,62,20000,0.105836
r,4,62,20000,3.603386
re,4,62,20000,0.138953
r,4,62,20000,3.515556
re,4,62,20000,0.152414
r,4,62,20000,3.620102
re,4,62,20000,0.165263
r,4,62,20000,3.557737
re,4,64,20000,0.192979
r,4,64,20000,3.522785
re,4,64,20000,0.119004
r,4,64,20000,3.563324
re,4,64,20000,0.125956
r,4,64,20000,3.492186
re,4,64,20000,0.106157
r,4,64,20000,3.548388
re,4,64,20000,0.109538
r,4,64,20000,3.531196
