mode,size,nthreads,k,time
re,2,16,3000,0.070356
og,2,16,3000,0.028561
r,2,16,3000,142.597392
ig,2,16,3000,104.112124
re,2,16,3000,0.022212
og,2,16,3000,0.027783
r,2,16,3000,153.463368
ig,2,16,3000,114.620032
re,3,16,3000,0.029506
og,3,16,3000,0.059015
r,3,16,3000,255.332304
ig,3,16,3000,215.771822
re,3,16,3000,0.073745
og,3,16,3000,0.062369
r,3,16,3000,261.191107
ig,3,16,3000,221.035088
re,4,16,3000,0.058360
og,4,16,3000,0.030948
r,4,16,3000,335.265684
ig,4,16,3000,297.081011
re,4,16,3000,0.056796
og,4,16,3000,0.032816
r,4,16,3000,342.650196
ig,4,16,3000,304.365507
re,5,16,3000,0.073760
og,5,16,3000,0.106844
r,5,16,3000,392.992464
ig,5,16,3000,354.679728
re,5,16,3000,0.042044
og,5,16,3000,0.074114
r,5,16,3000,407.069768
ig,5,16,3000,368.724358
re,6,16,3000,0.034202
og,6,16,3000,0.104148
r,6,16,3000,491.785628
ig,6,16,3000,451.609924
re,6,16,3000,0.025751
og,6,16,3000,0.089138
r,6,16,3000,504.629742
ig,6,16,3000,465.665103
re,7,16,3000,0.304564
og,7,16,3000,0.230233
r,7,16,3000,485.456007
ig,7,16,3000,446.259317
re,7,16,3000,0.029942
og,7,16,3000,0.225155
r,7,16,3000,497.004357
ig,7,16,3000,458.027250
re,8,16,3000,0.026917
og,8,16,3000,0.054608
re,2,16,5000,0.309188
og,2,16,5000,0.025062
r,2,16,5000,804.640738
ig,2,16,5000,692.899701
re,2,16,5000,0.024143
og,2,16,5000,0.014738
r,2,16,5000,801.293063
ig,2,16,5000,690.413516
re,3,16,5000,0.030022
og,3,16,5000,0.020496
r,3,16,5000,1101.491846
ig,3,16,5000,990.654640
re,3,16,5000,0.028889
og,3,16,5000,0.016314
r,3,16,5000,1054.723734
ig,3,16,5000,944.114564
re,4,16,5000,0.096232
og,4,16,5000,0.024284
r,4,16,5000,1457.597860
ig,4,16,5000,1346.080985
re,4,16,5000,0.116573
og,4,16,5000,0.024695
r,4,16,5000,1529.697545
ig,4,16,5000,1416.573479
re,5,16,5000,0.356186
og,5,16,5000,0.046653
r,5,16,5000,1906.045641
ig,5,16,5000,1794.801570
re,5,16,5000,0.063411
og,5,16,5000,0.042657
r,5,16,5000,1967.000472
ig,5,16,5000,1854.921988
re,6,16,5000,0.041519
og,6,16,5000,0.061839
r,6,16,5000,2297.068095
ig,6,16,5000,2183.012576
re,6,16,5000,0.018859
og,6,16,5000,0.068708
r,6,16,5000,2278.338114
ig,6,16,5000,2164.198136
re,7,16,5000,0.170899
og,7,16,5000,0.025635
r,7,16,5000,2185.961401
ig,7,16,5000,2072.338517
re,7,16,5000,0.099729
og,7,16,5000,0.025971
r,7,16,5000,2002.357976
ig,7,16,5000,1889.754153


