mode,size,nthreads,k,time
re,1,1,3000,0.013637
og,1,1,3000,0.004332
r,1,1,3000,69.828730
re,1,1,3000,0.013272
og,1,1,3000,0.004333
r,1,1,3000,69.799494
re,1,2,3000,0.013619
og,1,2,3000,0.004347
r,1,2,3000,71.889170
re,1,2,3000,0.013162
og,1,2,3000,0.004348
r,1,2,3000,72.029193
re,1,4,3000,0.013766
og,1,4,3000,0.004408
r,1,4,3000,76.211760
re,1,4,3000,0.013538
og,1,4,3000,0.004397
r,1,4,3000,76.253204
re,1,8,3000,0.013090
og,1,8,3000,0.004440
r,1,8,3000,84.534627
re,1,8,3000,0.014478
og,1,8,3000,0.004342
r,1,8,3000,84.252274
re,1,16,3000,0.014632
og,1,16,3000,0.004361
r,1,16,3000,101.016203
re,1,16,3000,0.013780
og,1,16,3000,0.004356
r,1,16,3000,100.718153
re,1,32,3000,0.013275
og,1,32,3000,0.004314
r,1,32,3000,133.550332
re,1,32,3000,0.013415
og,1,32,3000,0.004373
r,1,32,3000,133.392375
re,1,48,3000,0.013567
og,1,48,3000,0.004457
r,1,48,3000,166.635950
re,1,48,3000,0.013616
og,1,48,3000,0.004465
r,1,48,3000,166.728767
re,1,64,3000,0.013664
og,1,64,3000,0.004363
r,1,64,3000,200.041267
re,1,64,3000,0.012835
og,1,64,3000,0.004387
r,1,64,3000,200.673384
re,1,80,3000,0.013877
og,1,80,3000,0.004374
r,1,80,3000,233.292852
re,1,80,3000,0.013986
og,1,80,3000,0.004353
r,1,80,3000,234.677713
re,1,96,3000,0.013797
og,1,96,3000,0.004388
r,1,96,3000,267.894982
re,1,96,3000,0.013506
og,1,96,3000,0.004403
r,1,96,3000,265.990081
re,1,112,3000,0.013079
og,1,112,3000,0.004362
r,1,112,3000,300.415617
re,1,112,3000,0.041708
og,1,112,3000,0.004327
r,1,112,3000,300.194108
re,1,128,3000,0.059490
og,1,128,3000,0.004286
r,1,128,3000,333.494628
re,1,128,3000,0.042036
og,1,128,3000,0.004350
r,1,128,3000,333.853143
re,1,144,3000,0.013942
og,1,144,3000,0.004287
r,1,144,3000,368.562219
re,1,144,3000,0.032018
og,1,144,3000,0.004334
r,1,144,3000,368.128596
re,1,160,3000,0.014114
og,1,160,3000,0.004254
r,1,160,3000,404.301400
re,1,160,3000,0.044150
og,1,160,3000,0.004282
r,1,160,3000,401.956552
re,1,176,3000,0.013342
og,1,176,3000,0.004332
r,1,176,3000,435.015163
re,1,176,3000,0.013318
og,1,176,3000,0.004270
r,1,176,3000,436.750510
re,1,192,3000,0.013171
og,1,192,3000,0.004278
r,1,192,3000,469.350289
re,1,192,3000,0.013508
og,1,192,3000,0.004310
