mode,size,nthreads,k,time
re,1,1,3000,0.020162
og,1,1,3000,0.004460
r,1,1,3000,69.099380
re,1,1,3000,0.019171
og,1,1,3000,0.004398
r,1,1,3000,68.651274
re,1,1,3000,0.019109
og,1,1,3000,0.004388
r,1,1,3000,70.006833
re,1,2,3000,0.015821
og,1,2,3000,0.004463
r,1,2,3000,71.590911
re,1,2,3000,0.019252
og,1,2,3000,0.004445
r,1,2,3000,71.588560
re,1,2,3000,0.018895
og,1,2,3000,0.004528
r,1,2,3000,72.937810
re,1,4,3000,0.019730
og,1,4,3000,0.004586
r,1,4,3000,75.835018
re,1,4,3000,0.018903
og,1,4,3000,0.004524
r,1,4,3000,77.092891
re,1,4,3000,0.019520
og,1,4,3000,0.004567
r,1,4,3000,75.617728
re,1,8,3000,0.019241
og,1,8,3000,0.004511
r,1,8,3000,87.092769
re,1,8,3000,0.022114
og,1,8,3000,0.004599
r,1,8,3000,84.134818
re,1,8,3000,0.018927
og,1,8,3000,0.004547
r,1,8,3000,84.378933
re,1,16,3000,0.019445
og,1,16,3000,0.004528
r,1,16,3000,101.751581
re,1,16,3000,0.018944
og,1,16,3000,0.004545
r,1,16,3000,101.536097
re,1,16,3000,0.020257
og,1,16,3000,0.004504
r,1,16,3000,101.751176
re,1,24,3000,0.018635
og,1,24,3000,0.004447
r,1,24,3000,118.982608
re,1,24,3000,0.019273
og,1,24,3000,0.004524
r,1,24,3000,118.954842
re,1,24,3000,0.024153
og,1,24,3000,0.004422
r,1,24,3000,119.284463
re,1,32,3000,0.018923
og,1,32,3000,0.004484
r,1,32,3000,136.341926
re,1,32,3000,0.018338
og,1,32,3000,0.004506
r,1,32,3000,137.167734
re,1,32,3000,0.017201
og,1,32,3000,0.004435
r,1,32,3000,135.836716
re,1,40,3000,0.047771
og,1,40,3000,0.006770
r,1,40,3000,152.887593
re,1,40,3000,0.038027
og,1,40,3000,0.004368
r,1,40,3000,153.759795
re,1,40,3000,0.019887
og,1,40,3000,0.004464
r,1,40,3000,153.739295
re,1,48,3000,0.018939
og,1,48,3000,0.004533
r,1,48,3000,171.688384
re,1,48,3000,0.019934
og,1,48,3000,0.004363
r,1,48,3000,170.709622
re,1,48,3000,0.018765
og,1,48,3000,0.004373
r,1,48,3000,171.159446
re,1,56,3000,0.019442
og,1,56,3000,0.004324
r,1,56,3000,188.763467
re,1,56,3000,0.019318
og,1,56,3000,0.004385
r,1,56,3000,188.453816
re,1,56,3000,0.018173
og,1,56,3000,0.004382
r,1,56,3000,189.014146
re,1,64,3000,0.019268
og,1,64,3000,0.004367
r,1,64,3000,206.546613
re,1,64,3000,0.018932
og,1,64,3000,0.004339
r,1,64,3000,206.119655
re,1,64,3000,0.018709
og,1,64,3000,0.004373
r,1,64,3000,206.074424
re,1,80,3000,0.018805
og,1,80,3000,0.004349
r,1,80,3000,240.205355
re,1,80,3000,0.018462
og,1,80,3000,0.004379
r,1,80,3000,240.525850
re,1,80,3000,0.018443
og,1,80,3000,0.004456
r,1,80,3000,241.070402
re,1,96,3000,0.018552
og,1,96,3000,0.004354
r,1,96,3000,275.776583
re,1,96,3000,0.018699
og,1,96,3000,0.004398
r,1,96,3000,275.022682
re,1,96,3000,0.019384
og,1,96,3000,0.004356
r,1,96,3000,276.173275
re,1,112,3000,0.018415
og,1,112,3000,0.004446
r,1,112,3000,309.669538
re,1,112,3000,0.019885
og,1,112,3000,0.004360
r,1,112,3000,311.022410
re,1,112,3000,0.017957
og,1,112,3000,0.004476
r,1,112,3000,311.707371
re,1,128,3000,0.045713
og,1,128,3000,0.006738
r,1,128,3000,346.793123
re,1,128,3000,0.019059
og,1,128,3000,0.004431
