mode,size,nthreads,k,time
re,1,1,3000,0.013481
og,1,1,3000,0.004236
r,1,1,3000,70.474305
re,1,1,3000,0.013301
og,1,1,3000,0.004171
r,1,1,3000,70.186736
re,1,1,3000,0.014404
og,1,1,3000,0.004188
r,1,1,3000,71.283398
re,1,2,3000,0.014375
og,1,2,3000,0.004258
r,1,2,3000,52.244860
re,1,2,3000,0.013172
og,1,2,3000,0.004256
r,1,2,3000,52.206026
re,1,2,3000,0.013253
og,1,2,3000,0.004264
r,1,2,3000,52.205371
re,1,4,3000,0.013549
og,1,4,3000,0.004215
r,1,4,3000,43.846134
re,1,4,3000,0.013652
og,1,4,3000,0.004293
r,1,4,3000,43.794946
re,1,4,3000,0.012968
og,1,4,3000,0.004301
r,1,4,3000,43.631677
re,1,8,3000,0.013198
og,1,8,3000,0.004479
r,1,8,3000,39.921739
re,1,8,3000,0.013261
og,1,8,3000,0.004204
r,1,8,3000,39.777447
re,1,8,3000,0.013258
og,1,8,3000,0.004300
r,1,8,3000,39.941156
re,1,16,3000,0.012896
og,1,16,3000,0.004276
r,1,16,3000,37.727525
re,1,16,3000,0.013609
og,1,16,3000,0.004250
r,1,16,3000,37.859834
re,1,16,3000,0.014158
og,1,16,3000,0.004326
r,1,16,3000,37.971991
re,1,24,3000,0.013401
og,1,24,3000,0.004276
r,1,24,3000,37.386936
re,1,24,3000,0.013246
og,1,24,3000,0.004321
r,1,24,3000,37.251453
re,1,24,3000,0.013849
og,1,24,3000,0.004348
r,1,24,3000,37.487033
re,1,32,3000,0.013443
og,1,32,3000,0.004256
r,1,32,3000,37.385978
re,1,32,3000,0.014545
og,1,32,3000,0.004322
r,1,32,3000,37.926402
re,1,32,3000,0.013354
og,1,32,3000,0.004340
r,1,32,3000,37.330654
re,1,40,3000,0.013760
og,1,40,3000,0.004303
r,1,40,3000,37.480721
re,1,40,3000,0.013507
og,1,40,3000,0.004281
r,1,40,3000,37.479863
re,1,40,3000,0.013290
og,1,40,3000,0.004337
r,1,40,3000,37.396598
re,1,48,3000,0.013377
og,1,48,3000,0.004510
r,1,48,3000,37.794878
re,1,48,3000,0.013546
og,1,48,3000,0.004413
r,1,48,3000,37.549368
re,1,48,3000,0.013826
og,1,48,3000,0.004439
r,1,48,3000,37.646562
re,1,56,3000,0.013287
og,1,56,3000,0.004378
r,1,56,3000,37.861089
re,1,56,3000,0.013571
og,1,56,3000,0.004358
r,1,56,3000,37.856851
re,1,56,3000,0.013528
og,1,56,3000,0.004421
r,1,56,3000,37.962044
re,1,64,3000,0.013958
og,1,64,3000,0.004350
r,1,64,3000,38.234558
re,1,64,3000,0.013183
og,1,64,3000,0.004408
r,1,64,3000,38.249207
re,1,64,3000,0.013129
og,1,64,3000,0.004368
r,1,64,3000,38.447188
