mode,size,nthreads,k,time
re,1,1,3000,0.045011
og,1,1,3000,0.004445
r,1,1,3000,69.368416
re,1,1,3000,0.014455
og,1,1,3000,0.004553
r,1,1,3000,69.694924
re,1,1,3000,0.015508
og,1,1,3000,0.004364
r,1,1,3000,69.954281
re,1,2,3000,0.014036
og,1,2,3000,0.004433
r,1,2,3000,53.498675
re,1,2,3000,0.013577
og,1,2,3000,0.004486
r,1,2,3000,53.481853
re,1,2,3000,0.013825
og,1,2,3000,0.004492
r,1,2,3000,53.169677
re,1,4,3000,0.014205
og,1,4,3000,0.004451
r,1,4,3000,44.910557
re,1,4,3000,0.013072
og,1,4,3000,0.004406
r,1,4,3000,45.157312
re,1,4,3000,0.014293
og,1,4,3000,0.004458
r,1,4,3000,45.021146
re,1,8,3000,0.013595
og,1,8,3000,0.004583
r,1,8,3000,40.389591
re,1,8,3000,0.013447
og,1,8,3000,0.004417
r,1,8,3000,40.445133
re,1,8,3000,0.014791
og,1,8,3000,0.004595
r,1,8,3000,40.516221
re,1,16,3000,0.013973
og,1,16,3000,0.004542
r,1,16,3000,38.723853
re,1,16,3000,0.017854
og,1,16,3000,0.004940
r,1,16,3000,38.637684
re,1,16,3000,0.013739
og,1,16,3000,0.005216
r,1,16,3000,38.650748
re,1,24,3000,0.014111
og,1,24,3000,0.005207
r,1,24,3000,38.007583
re,1,24,3000,0.013009
og,1,24,3000,0.005158
r,1,24,3000,38.051488
re,1,24,3000,0.013479
og,1,24,3000,0.005035
r,1,24,3000,38.009357
re,1,32,3000,0.013237
og,1,32,3000,0.004631
r,1,32,3000,37.768063
re,1,32,3000,0.013430
og,1,32,3000,0.004418
r,1,32,3000,37.893961
re,1,32,3000,0.014410
og,1,32,3000,0.004506
r,1,32,3000,37.996706
re,1,40,3000,0.012778
og,1,40,3000,0.004985
r,1,40,3000,37.927489
re,1,40,3000,0.013340
og,1,40,3000,0.005433
r,1,40,3000,37.780305
re,1,40,3000,0.012879
og,1,40,3000,0.005051
r,1,40,3000,37.836623
re,1,48,3000,0.013361
og,1,48,3000,0.005041
r,1,48,3000,37.771941
re,1,48,3000,0.014683
og,1,48,3000,0.004934
r,1,48,3000,37.784975
re,1,48,3000,0.013132
og,1,48,3000,0.005137
r,1,48,3000,37.898797
re,1,56,3000,0.013187
og,1,56,3000,0.005297
r,1,56,3000,38.158928
re,1,56,3000,0.013356
og,1,56,3000,0.004520
r,1,56,3000,37.956305
re,1,56,3000,0.013916
og,1,56,3000,0.004558
r,1,56,3000,37.838094
re,1,64,3000,0.013318
og,1,64,3000,0.004480
r,1,64,3000,38.167963
re,1,64,3000,0.014482
og,1,64,3000,0.004423
r,1,64,3000,38.206056
re,1,64,3000,0.013262
og,1,64,3000,0.004651
r,1,64,3000,38.173787
