mode,size,nthreads,k,time
re,1,1,3000,0.046753
og,1,1,3000,0.004584
r,1,1,3000,70.112703
re,1,1,3000,0.014733
og,1,1,3000,0.004504
r,1,1,3000,70.248321
re,1,1,3000,0.013989
og,1,1,3000,0.004468
r,1,1,3000,70.394599
re,1,2,3000,0.013723
og,1,2,3000,0.004482
r,1,2,3000,53.243519
re,1,2,3000,0.014085
og,1,2,3000,0.004602
r,1,2,3000,53.390936
re,1,2,3000,0.012795
og,1,2,3000,0.004581
r,1,2,3000,53.118345
re,1,4,3000,0.012998
og,1,4,3000,0.004417
r,1,4,3000,44.595452
re,1,4,3000,0.013057
og,1,4,3000,0.004505
r,1,4,3000,44.412401
re,1,4,3000,0.012777
og,1,4,3000,0.004463
r,1,4,3000,44.707738
re,1,8,3000,0.013054
og,1,8,3000,0.004578
r,1,8,3000,40.615851
re,1,8,3000,0.013106
og,1,8,3000,0.004520
r,1,8,3000,40.589692
re,1,8,3000,0.013445
og,1,8,3000,0.004549
r,1,8,3000,40.526862
re,1,16,3000,0.012983
og,1,16,3000,0.004751
r,1,16,3000,38.459258
re,1,16,3000,0.012847
og,1,16,3000,0.005304
r,1,16,3000,38.655540
re,1,16,3000,0.012882
og,1,16,3000,0.004488
r,1,16,3000,38.603020
re,1,24,3000,0.012179
og,1,24,3000,0.004616
r,1,24,3000,37.864513
re,1,24,3000,0.012796
og,1,24,3000,0.004536
r,1,24,3000,37.977995
re,1,24,3000,0.032309
og,1,24,3000,0.004514
r,1,24,3000,38.093475
re,1,32,3000,0.016625
og,1,32,3000,0.004690
r,1,32,3000,37.769328
re,1,32,3000,0.014064
og,1,32,3000,0.004947
r,1,32,3000,37.867824
re,1,32,3000,0.013935
og,1,32,3000,0.004808
r,1,32,3000,37.717366
re,1,40,3000,0.013586
og,1,40,3000,0.005104
r,1,40,3000,37.541957
re,1,40,3000,0.013479
og,1,40,3000,0.004719
r,1,40,3000,37.773417
re,1,40,3000,0.013951
og,1,40,3000,0.005041
r,1,40,3000,37.612624
re,1,48,3000,0.013655
og,1,48,3000,0.004782
r,1,48,3000,37.547160
re,1,48,3000,0.013992
og,1,48,3000,0.005252
r,1,48,3000,37.572491
re,1,48,3000,0.013389
og,1,48,3000,0.005179
r,1,48,3000,37.812793
re,1,56,3000,0.013424
og,1,56,3000,0.005361
r,1,56,3000,38.131257
re,1,56,3000,0.013341
og,1,56,3000,0.005404
r,1,56,3000,37.807087
re,1,56,3000,0.013704
og,1,56,3000,0.005490
r,1,56,3000,37.852394
re,1,64,3000,0.013296
og,1,64,3000,0.005291
r,1,64,3000,38.718372
re,1,64,3000,0.013600
og,1,64,3000,0.004960
r,1,64,3000,40.377147
re,1,64,3000,0.013324
og,1,64,3000,0.004851
r,1,64,3000,41.829978
re,1,72,3000,0.013180
og,1,72,3000,0.004701
r,1,72,3000,64.912043
re,1,72,3000,0.013930
og,1,72,3000,0.004873
r,1,72,3000,66.110685
re,1,72,3000,0.013213
og,1,72,3000,0.005111
r,1,72,3000,65.000659
re,1,80,3000,0.013059
og,1,80,3000,0.004536
r,1,80,3000,69.216971
re,1,80,3000,0.013316
og,1,80,3000,0.004620
r,1,80,3000,68.223923
re,1,80,3000,0.013057
og,1,80,3000,0.004885
r,1,80,3000,68.255077
re,1,88,3000,0.013134
og,1,88,3000,0.004840
r,1,88,3000,72.570476
re,1,88,3000,0.013230
og,1,88,3000,0.004792
r,1,88,3000,72.295787
re,1,88,3000,0.013103
og,1,88,3000,0.004502
r,1,88,3000,71.913464
re,1,96,3000,0.013406
og,1,96,3000,0.004658
r,1,96,3000,75.210450
re,1,96,3000,0.013182
og,1,96,3000,0.004700
r,1,96,3000,74.626782
re,1,96,3000,0.012855
og,1,96,3000,0.004671
r,1,96,3000,74.123782
re,1,104,3000,0.013652
og,1,104,3000,0.004997
r,1,104,3000,77.824776
re,1,104,3000,0.061392
og,1,104,3000,0.004972
r,1,104,3000,77.869253
re,1,104,3000,0.013398
og,1,104,3000,0.004817
r,1,104,3000,78.140237
re,1,112,3000,0.013225
og,1,112,3000,0.004921
r,1,112,3000,81.212460
re,1,112,3000,0.012696
og,1,112,3000,0.004487
r,1,112,3000,80.129873
re,1,112,3000,0.013321
og,1,112,3000,0.004529
r,1,112,3000,80.593337
re,1,120,3000,0.013452
og,1,120,3000,0.004495
r,1,120,3000,83.640812
re,1,120,3000,0.013724
og,1,120,3000,0.004493
r,1,120,3000,83.475844
re,1,120,3000,0.012730
og,1,120,3000,0.004564
r,1,120,3000,83.913265
re,1,128,3000,0.013819
og,1,128,3000,0.004509
r,1,128,3000,86.616180
re,1,128,3000,0.012772
og,1,128,3000,0.004570
r,1,128,3000,87.607240
re,1,128,3000,0.013644
og,1,128,3000,0.004416
r,1,128,3000,87.754653

