mode,size,nthreads,k,time
re,1,1,3000,0.015044
og,1,1,3000,0.004564
r,1,1,3000,69.351822
re,1,1,3000,0.013525
og,1,1,3000,0.004604
r,1,1,3000,69.733935
re,1,1,3000,0.014148
og,1,1,3000,0.005103
r,1,1,3000,69.481995
re,1,2,3000,0.013256
og,1,2,3000,0.004434
r,1,2,3000,52.644987
re,1,2,3000,0.014080
og,1,2,3000,0.004515
r,1,2,3000,53.119000
re,1,2,3000,0.014829
og,1,2,3000,0.004533
r,1,2,3000,52.899458
re,1,4,3000,0.013246
og,1,4,3000,0.004550
r,1,4,3000,45.533998
re,1,4,3000,0.013239
og,1,4,3000,0.004533
r,1,4,3000,44.305061
re,1,4,3000,0.013443
og,1,4,3000,0.004586
r,1,4,3000,43.966491
re,1,8,3000,0.014251
og,1,8,3000,0.004573
r,1,8,3000,40.057388
re,1,8,3000,0.013061
og,1,8,3000,0.004582
r,1,8,3000,40.123203
re,1,8,3000,0.013682
og,1,8,3000,0.004511
r,1,8,3000,40.087114
re,1,16,3000,0.013051
og,1,16,3000,0.004569
r,1,16,3000,37.850601
re,1,16,3000,0.013763
og,1,16,3000,0.004510
r,1,16,3000,37.895432
re,1,16,3000,0.015532
og,1,16,3000,0.004407
r,1,16,3000,37.676364
re,1,24,3000,0.013929
og,1,24,3000,0.004645
r,1,24,3000,37.158678
re,1,24,3000,0.015170
og,1,24,3000,0.004675
r,1,24,3000,37.325852
re,1,24,3000,0.014830
og,1,24,3000,0.004733
r,1,24,3000,37.543470
re,1,32,3000,0.014754
og,1,32,3000,0.004452
r,1,32,3000,37.248470
re,1,32,3000,0.013448
og,1,32,3000,0.004701
r,1,32,3000,37.245059
re,1,32,3000,0.013083
og,1,32,3000,0.004506
r,1,32,3000,37.240315
re,1,40,3000,0.014442
og,1,40,3000,0.004817
r,1,40,3000,37.680195
re,1,40,3000,0.013701
og,1,40,3000,0.004688
r,1,40,3000,37.584859
re,1,40,3000,0.013233
og,1,40,3000,0.004870
r,1,40,3000,37.431517
re,1,48,3000,0.013953
og,1,48,3000,0.004390
r,1,48,3000,37.417228
re,1,48,3000,0.014616
og,1,48,3000,0.004726
r,1,48,3000,37.516139
re,1,48,3000,0.015001
og,1,48,3000,0.004567
r,1,48,3000,37.656067
re,1,56,3000,0.013864
og,1,56,3000,0.004642
r,1,56,3000,37.899437
re,1,56,3000,0.013592
og,1,56,3000,0.004451
r,1,56,3000,38.000479
re,1,56,3000,0.013797
og,1,56,3000,0.005250
r,1,56,3000,37.808205
re,1,64,3000,0.013651
og,1,64,3000,0.005270
r,1,64,3000,38.128346
re,1,64,3000,0.013811
og,1,64,3000,0.004813
r,1,64,3000,38.324567
re,1,64,3000,0.014356
og,1,64,3000,0.004764
r,1,64,3000,38.117429
re,1,72,3000,0.015185
og,1,72,3000,0.004766
r,1,72,3000,66.560404
re,1,72,3000,0.013510
og,1,72,3000,0.004805
r,1,72,3000,66.217596
re,1,72,3000,0.015021
og,1,72,3000,0.004532
r,1,72,3000,66.216937
re,1,80,3000,0.013064
og,1,80,3000,0.005103
r,1,80,3000,68.070367
re,1,80,3000,0.013297
og,1,80,3000,0.005445
r,1,80,3000,69.336997
re,1,80,3000,0.013169
og,1,80,3000,0.005043
r,1,80,3000,69.045216
re,1,88,3000,0.050690
og,1,88,3000,0.004439
r,1,88,3000,70.843564
re,1,88,3000,0.014004
og,1,88,3000,0.004461
r,1,88,3000,70.535720
re,1,88,3000,0.013805
og,1,88,3000,0.004711
r,1,88,3000,71.406960
re,1,96,3000,0.013098
og,1,96,3000,0.004761
r,1,96,3000,73.904595
re,1,96,3000,0.014491
og,1,96,3000,0.004547
r,1,96,3000,74.392125
re,1,96,3000,0.013904
og,1,96,3000,0.004448
r,1,96,3000,74.495901
re,1,104,3000,0.013064
og,1,104,3000,0.004792
r,1,104,3000,78.402279
re,1,104,3000,0.022926
og,1,104,3000,0.004812
r,1,104,3000,76.948763
re,1,104,3000,0.031424
og,1,104,3000,0.004706
r,1,104,3000,77.275706
re,1,112,3000,0.013080
og,1,112,3000,0.005227
r,1,112,3000,80.762817
re,1,112,3000,0.035977
og,1,112,3000,0.004699
r,1,112,3000,80.179400
re,1,112,3000,0.015407
og,1,112,3000,0.004520
r,1,112,3000,78.693393
re,1,120,3000,0.015358
og,1,120,3000,0.004504
r,1,120,3000,82.267405
re,1,120,3000,0.016765
og,1,120,3000,0.004771
r,1,120,3000,82.937585
re,1,120,3000,0.029080
og,1,120,3000,0.005245
r,1,120,3000,83.595127
re,1,128,3000,0.014836
og,1,128,3000,0.005052
r,1,128,3000,86.353782
re,1,128,3000,0.013811
og,1,128,3000,0.005000
r,1,128,3000,85.642889
re,1,128,3000,0.014321
og,1,128,3000,0.005129
r,1,128,3000,85.915682
