library,precision,k,policy,iteration,time,GFLOPS
mkl,f,2000,false,1,0.028508,561.247679
mkl,f,2000,false,2,0.028824,555.090552
mkl,f,2000,false,3,0.028366,564.064587
mkl,f,2000,false,4,0.029255,546.906140
mkl,f,2000,false,5,0.028572,559.989506
mkl,f,2000,close,1,0.018882,847.352695
mkl,f,2000,close,2,0.019634,814.915397
mkl,f,2000,close,3,0.018761,852.833914
mkl,f,2000,close,4,0.018579,861.204652
mkl,f,2000,close,5,0.019108,837.353459
mkl,f,2000,spread,1,0.018775,852.184543
mkl,f,2000,spread,2,0.018870,847.901608
mkl,f,2000,spread,3,0.019015,841.456633
mkl,f,2000,spread,4,0.018556,862.238765
mkl,f,2000,spread,5,0.018715,854.931805
mkl,f,3000,false,1,0.050326,1072.994931
mkl,f,3000,false,2,0.050003,1079.928746
mkl,f,3000,false,3,0.049263,1096.152932
mkl,f,3000,false,4,0.050966,1059.523688
mkl,f,3000,false,5,0.049624,1088.190439
mkl,f,3000,close,1,0.035244,1532.166169
mkl,f,3000,close,2,0.035813,1507.816858
mkl,f,3000,close,3,0.034880,1548.147561
mkl,f,3000,close,4,0.036569,1476.641662
mkl,f,3000,close,5,0.035431,1524.089075
mkl,f,3000,spread,1,0.035099,1538.491958
mkl,f,3000,spread,2,0.035503,1521.017333
mkl,f,3000,spread,3,0.035076,1539.530350
mkl,f,3000,spread,4,0.035466,1522.564576
mkl,f,3000,spread,5,0.035128,1537.230396
mkl,f,4000,false,1,0.083147,1539.434398
mkl,f,4000,false,2,0.080197,1596.065320
mkl,f,4000,false,3,0.080675,1586.612029
mkl,f,4000,false,4,0.087758,1458.552745
mkl,f,4000,false,5,0.081972,1561.501683
mkl,f,4000,close,1,0.060033,2132.154501
mkl,f,4000,close,2,0.060036,2132.038866
mkl,f,4000,close,3,0.062291,2054.858097
mkl,f,4000,close,4,0.061316,2087.554175
mkl,f,4000,close,5,0.058965,2170.772796
mkl,f,4000,spread,1,0.060215,2125.727304
mkl,f,4000,spread,2,0.062183,2058.440013
mkl,f,4000,spread,3,0.059926,2135.965840
mkl,f,4000,spread,4,0.064057,1998.227073
mkl,f,4000,spread,5,0.065752,1946.718408
mkl,f,5000,false,1,0.159367,1568.702975
mkl,f,5000,false,2,0.175865,1421.542478
mkl,f,5000,false,3,0.161495,1548.039051
mkl,f,5000,false,4,0.169475,1475.146803
mkl,f,5000,false,5,0.159827,1564.190391
mkl,f,5000,close,1,0.118922,2102.220789
mkl,f,5000,close,2,0.109148,2290.471514
mkl,f,5000,close,3,0.116515,2145.653242
mkl,f,5000,close,4,0.109151,2290.403189
mkl,f,5000,close,5,0.115168,2170.746151
mkl,f,5000,spread,1,0.108198,2310.576661
mkl,f,5000,spread,2,0.113137,2209.714316
mkl,f,5000,spread,3,0.111176,2248.694210
mkl,f,5000,spread,4,0.113730,2198.184982
mkl,f,5000,spread,5,0.109475,2283.625836
mkl,f,6000,false,1,0.519571,831.455493
mkl,f,6000,false,2,0.329267,1312.005537
mkl,f,6000,false,3,0.325645,1326.599380
mkl,f,6000,false,4,0.320036,1349.847552
mkl,f,6000,false,5,0.325700,1326.374815
mkl,f,6000,close,1,0.220882,1955.791736
mkl,f,6000,close,2,0.218342,1978.545677
mkl,f,6000,close,3,0.213252,2025.770160
mkl,f,6000,close,4,0.233445,1850.539633
mkl,f,6000,close,5,0.226809,1904.690193
mkl,f,6000,spread,1,0.218403,1977.996202
mkl,f,6000,spread,2,0.207398,2082.954442
mkl,f,6000,spread,3,0.226761,1905.091608
mkl,f,6000,spread,4,0.225698,1914.063833
mkl,f,6000,spread,5,0.223968,1928.846616
mkl,f,7000,false,1,0.609497,1125.517991
mkl,f,7000,false,2,0.612002,1120.910855
mkl,f,7000,false,3,0.607026,1130.099957
mkl,f,7000,false,4,0.597868,1147.410498
mkl,f,7000,false,5,0.601085,1141.269465
mkl,f,7000,close,1,0.469559,1460.944769
mkl,f,7000,close,2,0.460309,1490.303444
mkl,f,7000,close,3,0.472619,1451.487032
mkl,f,7000,close,4,0.457959,1497.950441
mkl,f,7000,close,5,0.450872,1521.497304
mkl,f,7000,spread,1,0.469853,1460.031815
mkl,f,7000,spread,2,0.463948,1478.612453
mkl,f,7000,spread,3,0.457279,1500.176617
mkl,f,7000,spread,4,0.462597,1482.932607
mkl,f,7000,spread,5,0.465377,1474.074551
mkl,f,8000,false,1,1.014316,1009.547806
mkl,f,8000,false,2,1.010113,1013.748423
mkl,f,8000,false,3,0.977389,1047.689247
mkl,f,8000,false,4,0.976903,1048.210671
mkl,f,8000,false,5,0.969734,1055.959258
mkl,f,8000,close,1,0.785194,1304.136512
mkl,f,8000,close,2,0.793243,1290.903904
mkl,f,8000,close,3,0.800383,1279.386921
mkl,f,8000,close,4,0.789125,1297.638985
mkl,f,8000,close,5,0.806576,1269.564428
mkl,f,8000,spread,1,0.781499,1310.303170
mkl,f,8000,spread,2,0.786723,1301.601515
mkl,f,8000,spread,3,0.792706,1291.778389
mkl,f,8000,spread,4,0.784611,1305.104782
mkl,f,8000,spread,5,0.762727,1342.551164
mkl,f,9000,false,1,1.374352,1060.863931
mkl,f,9000,false,2,1.369315,1064.766226
mkl,f,9000,false,3,1.461363,997.698660
mkl,f,9000,false,4,1.341385,1086.936521
mkl,f,9000,false,5,1.355495,1075.621479
mkl,f,9000,close,1,1.086978,1341.332971
mkl,f,9000,close,2,1.121434,1300.121548
mkl,f,9000,close,3,1.088839,1339.041029
mkl,f,9000,close,4,1.122410,1298.990977
mkl,f,9000,close,5,1.098851,1326.840837
mkl,f,9000,spread,1,1.130754,1289.404946
mkl,f,9000,spread,2,1.114263,1308.488154
mkl,f,9000,spread,3,1.151468,1266.209729
mkl,f,9000,spread,4,1.113995,1308.802924
mkl,f,9000,spread,5,1.092290,1334.810199
mkl,f,10000,false,1,1.715270,1165.997490
mkl,f,10000,false,2,1.722969,1160.786750
