library,precision,k,policy,iteration,time,GFLOPS
blis,f,2000,false,1,0.018791,851.469682
blis,f,2000,false,2,0.018642,858.281199
blis,f,2000,false,3,0.018645,858.142823
blis,f,2000,false,4,0.019412,824.227975
blis,f,2000,false,5,0.019298,829.102321
blis,f,2000,close,1,0.019183,834.083400
blis,f,2000,close,2,0.015820,1011.348276
blis,f,2000,close,3,0.015804,1012.395197
blis,f,2000,close,4,0.015632,1023.539358
blis,f,2000,close,5,0.015613,1024.803052
blis,f,2000,spread,1,0.016103,993.607687
blis,f,2000,spread,2,0.015800,1012.670662
blis,f,2000,spread,3,0.016840,950.119385
blis,f,2000,spread,4,0.022053,725.538065
blis,f,2000,spread,5,0.015550,1028.941090
blis,f,3000,false,1,0.033879,1593.885101
blis,f,3000,false,2,0.033972,1589.522574
blis,f,3000,false,3,0.034571,1562.009703
blis,f,3000,false,4,0.034298,1574.434175
blis,f,3000,false,5,0.034468,1566.691716
blis,f,3000,close,1,0.032027,1686.058631
blis,f,3000,close,2,0.032702,1651.274040
blis,f,3000,close,3,0.033043,1634.232102
blis,f,3000,close,4,0.031642,1706.586463
blis,f,3000,close,5,0.031356,1722.151518
blis,f,3000,spread,1,0.031828,1696.641664
blis,f,3000,spread,2,0.031617,1707.964348
blis,f,3000,spread,3,0.031080,1737.460794
blis,f,3000,spread,4,0.031219,1729.720366
blis,f,3000,spread,5,0.032123,1681.017262
blis,f,4000,false,1,0.061954,2066.047337
blis,f,4000,false,2,0.062349,2052.961927
blis,f,4000,false,3,0.060512,2115.300328
blis,f,4000,false,4,0.062299,2054.606431
blis,f,4000,false,5,0.064380,1988.180207
blis,f,4000,close,1,0.062159,2059.226375
blis,f,4000,close,2,0.058822,2176.047958
blis,f,4000,close,3,0.059201,2162.130972
blis,f,4000,close,4,0.059580,2148.367069
blis,f,4000,close,5,0.063319,2021.506587
blis,f,4000,spread,1,0.060108,2129.517416
blis,f,4000,spread,2,0.058544,2186.378558
blis,f,4000,spread,3,0.060771,2106.283493
blis,f,4000,spread,4,0.058634,2183.044234
blis,f,4000,spread,5,0.059135,2164.524529
blis,f,5000,false,1,0.102233,2445.391976
blis,f,5000,false,2,0.103391,2418.005599
blis,f,5000,false,3,0.151573,1649.375646
blis,f,5000,false,4,0.252409,990.457520
blis,f,5000,false,5,0.104943,2382.234795
blis,f,5000,close,1,0.102167,2446.978718
blis,f,5000,close,2,0.103222,2421.969073
blis,f,5000,close,3,0.100844,2479.085837
blis,f,5000,close,4,0.102297,2443.857960
blis,f,5000,close,5,0.102480,2439.503652
blis,f,5000,spread,1,0.101556,2461.705755
blis,f,5000,spread,2,0.102842,2430.924242
blis,f,5000,spread,3,0.102543,2437.991110
blis,f,5000,spread,4,0.101999,2451.008963
blis,f,5000,spread,5,0.104402,2394.582091
blis,f,6000,false,1,0.149929,2881.361328
blis,f,6000,false,2,0.151876,2844.433132
blis,f,6000,false,3,0.151637,2848.917456
blis,f,6000,false,4,0.149979,2880.396016
blis,f,6000,false,5,0.148837,2902.507748
blis,f,6000,close,1,0.149248,2894.520226
blis,f,6000,close,2,0.149895,2882.020142
blis,f,6000,close,3,0.151526,2850.997769
blis,f,6000,close,4,0.148597,2907.198744
blis,f,6000,close,5,0.147922,2920.457586
blis,f,6000,spread,1,0.148961,2900.088059
blis,f,6000,spread,2,0.148960,2900.113018
blis,f,6000,spread,3,0.148260,2913.798509
blis,f,6000,spread,4,0.147760,2923.654825
blis,f,6000,spread,5,0.148738,2904.443272
blis,f,7000,false,1,0.222128,3088.303673
blis,f,7000,false,2,0.230312,2978.564207
blis,f,7000,false,3,0.220632,3109.252370
blis,f,7000,false,4,0.222181,3087.568270
blis,f,7000,false,5,0.225464,3042.615840
blis,f,7000,close,1,0.216658,3166.282616
blis,f,7000,close,2,0.213302,3216.097832
blis,f,7000,close,3,0.218833,3134.814775
blis,f,7000,close,4,0.214677,3195.504799
blis,f,7000,close,5,0.219598,3123.886105
blis,f,7000,spread,1,0.214937,3191.635110
blis,f,7000,spread,2,0.218087,3145.537081
blis,f,7000,spread,3,0.218651,3137.418472
blis,f,7000,spread,4,0.217738,3150.575375
blis,f,7000,spread,5,0.217008,3161.174277
blis,f,8000,false,1,0.346893,2951.919981
blis,f,8000,false,2,0.425434,2406.955860
blis,f,8000,false,3,0.326595,3135.382481
blis,f,8000,false,4,0.315632,3244.286179
blis,f,8000,false,5,0.316529,3235.086413
blis,f,8000,close,1,0.310806,3294.656797
blis,f,8000,close,2,0.309372,3309.927620
blis,f,8000,close,3,0.307330,3331.920825
blis,f,8000,close,4,0.313204,3269.430307
blis,f,8000,close,5,0.310525,3297.644554
blis,f,8000,spread,1,0.312374,3278.126650
