library,precision,k,policy,iteration,time,GFLOPS
oblas,f,2000,false,1,0.013934,1148.291102
oblas,f,2000,false,2,0.016653,960.773596
oblas,f,2000,false,3,0.013511,1184.197740
oblas,f,2000,false,4,0.013793,1159.987171
oblas,f,2000,false,5,0.013546,1181.199555
oblas,f,2000,close,1,0.012803,1249.753955
oblas,f,2000,close,2,0.014413,1110.124488
oblas,f,2000,close,3,0.011653,1373.041228
oblas,f,2000,close,4,0.011551,1385.131120
oblas,f,2000,close,5,0.011981,1335.443445
oblas,f,2000,spread,1,0.011528,1387.878099
oblas,f,2000,spread,2,0.012090,1323.440286
oblas,f,2000,spread,3,0.011892,1345.484064
oblas,f,2000,spread,4,0.011746,1362.207826
oblas,f,2000,spread,5,0.011688,1368.908997
oblas,f,3000,false,1,0.035311,1529.249748
oblas,f,3000,false,2,0.035866,1505.597771
oblas,f,3000,false,3,0.037231,1450.415141
oblas,f,3000,false,4,0.036557,1477.137280
oblas,f,3000,false,5,0.035474,1522.261510
oblas,f,3000,close,1,0.035286,1530.355667
oblas,f,3000,close,2,0.030667,1760.872532
oblas,f,3000,close,3,0.032967,1638.009638
oblas,f,3000,close,4,0.032196,1677.228964
oblas,f,3000,close,5,0.032487,1662.178221
oblas,f,3000,spread,1,0.033139,1629.508295
oblas,f,3000,spread,2,0.030769,1754.996679
oblas,f,3000,spread,3,0.033439,1614.864215
oblas,f,3000,spread,4,0.039265,1375.281665
oblas,f,3000,spread,5,0.031711,1702.886484
oblas,f,4000,false,1,0.074512,1717.838596
oblas,f,4000,false,2,0.073866,1732.858077
oblas,f,4000,false,3,0.074159,1726.014926
oblas,f,4000,false,4,0.075023,1706.141539
oblas,f,4000,false,5,0.074283,1723.136683
oblas,f,4000,close,1,0.062529,2047.046797
oblas,f,4000,close,2,0.068275,1874.771338
oblas,f,4000,close,3,0.065419,1956.623462
oblas,f,4000,close,4,0.065933,1941.359831
oblas,f,4000,close,5,0.064199,1993.805961
oblas,f,4000,spread,1,0.075334,1699.096467
oblas,f,4000,spread,2,0.067661,1891.774647
oblas,f,4000,spread,3,0.063460,2017.033565
oblas,f,4000,spread,4,0.072748,1759.500768
oblas,f,4000,spread,5,0.066801,1916.129141
oblas,f,5000,false,1,0.132897,1881.152913
oblas,f,5000,false,2,0.133750,1869.158431
oblas,f,5000,false,3,0.130931,1909.398054
oblas,f,5000,false,4,0.129135,1935.962691
oblas,f,5000,false,5,0.131340,1903.457489
oblas,f,5000,close,1,0.109626,2280.481095
oblas,f,5000,close,2,0.107540,2324.707132
oblas,f,5000,close,3,0.107394,2327.881494
oblas,f,5000,close,4,0.109297,2287.343753
oblas,f,5000,close,5,0.109427,2284.629403
oblas,f,5000,spread,1,0.108190,2310.738949
oblas,f,5000,spread,2,0.108200,2310.529702
oblas,f,5000,spread,3,0.108792,2297.954510
oblas,f,5000,spread,4,0.108954,2294.550934
oblas,f,5000,spread,5,0.107153,2333.113075
oblas,f,6000,false,1,0.204312,2114.416624
oblas,f,6000,false,2,0.208483,2072.111256
oblas,f,6000,false,3,0.208288,2074.051921
oblas,f,6000,false,4,0.208632,2070.627632
oblas,f,6000,false,5,0.207736,2079.560900
oblas,f,6000,close,1,0.167798,2574.526953
oblas,f,6000,close,2,0.164915,2619.529955
oblas,f,6000,close,3,0.170137,2539.131275
oblas,f,6000,close,4,0.166095,2600.913424
oblas,f,6000,close,5,0.169593,2547.280954
oblas,f,6000,spread,1,0.165727,2606.690484
oblas,f,6000,spread,2,0.166325,2597.330668
oblas,f,6000,spread,3,0.165731,2606.628482
oblas,f,6000,spread,4,0.167009,2586.686511
oblas,f,6000,spread,5,0.166102,2600.816122
oblas,f,7000,false,1,0.300553,2282.456136
oblas,f,7000,false,2,0.297578,2305.278695
oblas,f,7000,false,3,0.297755,2303.907382
