library,precision,n_threads,iteration,time,GFLOPS
blis,f,1,1,33.912379,58.975515
blis,f,1,2,31.127360,64.252156
blis,f,1,3,31.077435,64.355375
blis,f,1,4,30.852202,64.825195
blis,f,1,5,30.797260,64.940843
blis,f,2,1,10.469787,191.025853
blis,f,2,2,10.503598,190.410935
blis,f,2,3,10.477894,190.878044
blis,f,2,4,10.501789,190.443744
blis,f,2,5,10.502659,190.427962
blis,f,4,1,5.465587,365.925947
blis,f,4,2,5.430189,368.311289
blis,f,4,3,5.474498,365.330324
blis,f,4,4,5.458051,366.431173
blis,f,4,5,5.475940,365.234112
blis,f,8,1,2.812302,711.161058
blis,f,8,2,2.798867,714.574854
blis,f,8,3,2.739390,730.089644
blis,f,8,4,2.837372,704.877609
blis,f,8,5,2.793911,715.842344
blis,f,12,1,1.978831,1010.697649
blis,f,12,2,1.974212,1013.062305
blis,f,12,3,1.969906,1015.276678
blis,f,12,4,1.978510,1010.861946
blis,f,12,5,1.987953,1006.059952
blis,f,16,1,1.555658,1285.629884
blis,f,16,2,1.583948,1262.667911
blis,f,16,3,1.549073,1291.094782
blis,f,16,4,1.528833,1308.187347
blis,f,16,5,1.536727,1301.467101
blis,f,20,1,1.199660,1667.138618
blis,f,20,2,1.164779,1717.064285
blis,f,20,3,1.226741,1630.335689
blis,f,20,4,1.191507,1678.547094
blis,f,20,5,1.840012,1086.949245
blis,f,24,1,1.086345,1841.035041
blis,f,24,2,1.071138,1867.172432
blis,f,24,3,1.048268,1907.908143
blis,f,24,4,1.063454,1880.663486
blis,f,24,5,1.073878,1862.409321
blis,f,28,1,0.925053,2162.039157
blis,f,28,2,0.910799,2195.874153
blis,f,28,3,0.926409,2158.874721
blis,f,28,4,0.916018,2183.363204
blis,f,28,5,0.921272,2170.911730
blis,f,32,1,0.846355,2363.075063
blis,f,32,2,0.835122,2394.858440
blis,f,32,3,0.897518,2228.366577
blis,f,32,4,0.837045,2389.358505
blis,f,32,5,0.840258,2380.220888
blis,f,36,1,1.126293,1775.737646
blis,f,36,2,0.834382,2396.983205
blis,f,36,3,0.823874,2427.556380
blis,f,36,4,0.891699,2242.908578
blis,f,36,5,0.757049,2641.837086
blis,f,40,1,1.037571,1927.579157
blis,f,40,2,0.768655,2601.946962
blis,f,40,3,0.776461,2575.788862
blis,f,40,4,1.270624,1574.029944
blis,f,40,5,0.795729,2513.417111
blis,f,44,1,0.744143,2687.656548
blis,f,44,2,0.728841,2744.082770
blis,f,44,3,0.771615,2591.967229
blis,f,44,4,0.749524,2668.359146
blis,f,44,5,0.731768,2733.107448
blis,f,48,1,0.651464,3070.006447
blis,f,48,2,0.725744,2755.792547
blis,f,48,3,0.652533,3064.979620
blis,f,48,4,0.656035,3048.617099
blis,f,48,5,0.650411,3074.977732
blis,f,52,1,0.787889,2538.429706
blis,f,52,2,0.784943,2547.957003
blis,f,52,3,0.620472,3223.350305
blis,f,52,4,0.963987,2074.716164
blis,f,52,5,0.709692,2818.122306
