library,precision,n_threads,iteration,time,GFLOPS
mkl,f,1,1,44.609534,44.833465
mkl,f,1,2,43.782126,45.680742
mkl,f,1,3,43.514642,45.961541
mkl,f,1,4,44.014646,45.439420
mkl,f,1,5,43.464643,46.014412
mkl,f,2,1,16.582357,120.610116
mkl,f,2,2,16.403583,121.924585
mkl,f,2,3,16.640506,120.188656
mkl,f,2,4,16.239739,123.154690
mkl,f,2,5,16.230483,123.224924
mkl,f,4,1,10.923383,183.093465
mkl,f,4,2,10.901117,183.467445
mkl,f,4,3,10.888910,183.673115
mkl,f,4,4,11.038851,181.178277
mkl,f,4,5,11.030168,181.320898
mkl,f,8,1,4.326327,462.285956
mkl,f,8,2,4.341996,460.617687
mkl,f,8,3,4.360096,458.705452
mkl,f,8,4,4.359387,458.780102
mkl,f,8,5,4.372983,457.353729
mkl,f,12,1,3.138687,637.209186
mkl,f,12,2,3.139251,637.094719
mkl,f,12,3,3.124740,640.053305
mkl,f,12,4,3.157755,633.361300
mkl,f,12,5,3.128490,639.286076
mkl,f,16,1,2.627504,761.178701
mkl,f,16,2,2.622615,762.597497
mkl,f,16,3,2.623704,762.281249
mkl,f,16,4,2.634786,759.074865
mkl,f,16,5,2.630045,760.443181
mkl,f,20,1,2.174136,919.905495
mkl,f,20,2,2.186234,914.815288
mkl,f,20,3,2.190222,913.149609
mkl,f,20,4,2.136921,935.926003
mkl,f,20,5,2.198115,909.870626
mkl,f,24,1,1.906907,1048.818765
mkl,f,24,2,1.933306,1034.497649
mkl,f,24,3,1.900305,1052.462828
mkl,f,24,4,2.035280,982.665879
mkl,f,24,5,1.893379,1056.312573
mkl,f,28,1,1.744637,1146.370196
mkl,f,28,2,1.745147,1146.034941
mkl,f,28,3,1.733621,1153.654741
mkl,f,28,4,1.835927,1089.367831
mkl,f,28,5,1.751687,1141.756170
mkl,f,32,1,1.603605,1247.189708
mkl,f,32,2,1.623959,1231.557966
mkl,f,32,3,1.608857,1243.118413
mkl,f,32,4,1.611676,1240.944338
mkl,f,32,5,1.612569,1240.257213
mkl,f,36,1,1.623468,1231.930407
mkl,f,36,2,1.587225,1260.060711
mkl,f,36,3,1.636585,1222.056659
mkl,f,36,4,1.724818,1159.542824
mkl,f,36,5,1.644058,1216.502368
mkl,f,40,1,1.724304,1159.888198
mkl,f,40,2,1.618584,1235.648259
mkl,f,40,3,1.616335,1237.367121
mkl,f,40,4,1.582994,1263.428858
mkl,f,40,5,1.647828,1213.718751
mkl,f,44,1,1.619707,1234.791360
mkl,f,44,2,1.630257,1226.800449
mkl,f,44,3,1.870113,1069.454026
mkl,f,44,4,1.604411,1246.563290
mkl,f,44,5,1.614448,1238.813407
mkl,f,48,1,1.546693,1293.081453
mkl,f,48,2,1.555137,1286.060649
mkl,f,48,3,1.563519,1279.165559
mkl,f,48,4,1.567187,1276.172215
mkl,f,48,5,1.557198,1284.357962
mkl,f,52,1,1.806649,1107.022085
mkl,f,52,2,1.838645,1087.757562
mkl,f,52,3,1.709268,1170.091816
mkl,f,52,4,1.812990,1103.149950
