library,precision,n_threads,iteration,time,GFLOPS
oblas,f,1,1,35.210721,56.800881
oblas,f,1,2,34.588036,57.823463
oblas,f,1,3,34.110069,58.633712
oblas,f,1,4,34.013671,58.799886
oblas,f,1,5,33.817007,59.141839
oblas,f,2,1,10.542229,189.713205
oblas,f,2,2,10.383380,192.615514
oblas,f,2,3,10.473287,190.962009
oblas,f,2,4,10.448515,191.414755
oblas,f,2,5,10.659335,187.628966
oblas,f,4,1,5.262377,380.056406
oblas,f,4,2,5.253554,380.694675
oblas,f,4,3,5.284194,378.487219
oblas,f,4,4,5.396523,370.608983
oblas,f,4,5,5.284993,378.429992
oblas,f,8,1,2.821477,708.848532
oblas,f,8,2,2.793555,715.933730
oblas,f,8,3,2.813561,710.843021
oblas,f,8,4,2.747166,728.022900
oblas,f,8,5,2.842248,703.668352
oblas,f,12,1,1.965905,1017.343298
oblas,f,12,2,2.008216,995.909048
oblas,f,12,3,1.996201,1001.902964
oblas,f,12,4,1.975662,1012.319072
oblas,f,12,5,1.971469,1014.472007
oblas,f,16,1,1.548527,1291.549624
oblas,f,16,2,1.548994,1291.160464
oblas,f,16,3,1.542099,1296.933326
oblas,f,16,4,1.552161,1288.525755
oblas,f,16,5,1.546788,1293.001782
oblas,f,20,1,1.413718,1414.709353
oblas,f,20,2,1.660010,1204.812191
oblas,f,20,3,1.310458,1526.184433
oblas,f,20,4,1.478969,1352.293336
oblas,f,20,5,1.309177,1527.677791
oblas,f,24,1,1.142658,1750.305629
oblas,f,24,2,1.120467,1784.969321
oblas,f,24,3,1.544477,1294.936747
oblas,f,24,4,1.619844,1234.686678
oblas,f,24,5,1.965166,1017.725787
oblas,f,28,1,1.140576,1753.499313
oblas,f,28,2,1.080635,1850.764269
oblas,f,28,3,1.064930,1878.056937
oblas,f,28,4,1.554302,1286.751458
oblas,f,28,5,1.190614,1679.805948
oblas,f,32,1,0.872236,2292.956467
oblas,f,32,2,0.875814,2283.589642
oblas,f,32,3,0.870834,2296.647923
oblas,f,32,4,0.880361,2271.794110
oblas,f,32,5,0.885723,2258.042361
oblas,f,36,1,0.977319,2046.414021
oblas,f,36,2,0.862685,2318.343704
oblas,f,36,3,0.882813,2265.486141
oblas,f,36,4,1.047203,1909.849868
oblas,f,36,5,0.873733,2289.029488
oblas,f,40,1,0.813569,2458.304718
oblas,f,40,2,0.771081,2593.762107
oblas,f,40,3,1.058440,1889.573993
oblas,f,40,4,1.229000,1627.339931
oblas,f,40,5,0.782316,2556.511884
oblas,f,44,1,1.212516,1649.463375
oblas,f,44,2,0.798058,2506.082626
oblas,f,44,3,0.967046,2068.153483
oblas,f,44,4,1.366645,1463.437887
oblas,f,44,5,0.913241,2190.002406
oblas,f,48,1,0.738580,2707.898718
oblas,f,48,2,0.750345,2665.439225
oblas,f,48,3,0.749846,2667.214932
oblas,f,48,4,0.754502,2650.756301
oblas,f,48,5,0.754832,2649.595549
oblas,f,52,1,0.694773,2878.636857
oblas,f,52,2,0.759168,2634.463532
oblas,f,52,3,0.707550,2826.657002
oblas,f,52,4,0.763860,2618.280881
oblas,f,52,5,0.692065,2889.901079
oblas,f,56,1,0.839287,2382.974837
oblas,f,56,2,0.900541,2220.887913
oblas,f,56,3,0.794144,2518.433672
oblas,f,56,4,0.703685,2842.181023
oblas,f,56,5,0.818386,2443.835584
oblas,f,60,1,0.727973,2747.354067
oblas,f,60,2,0.784384,2549.770198
oblas,f,60,3,0.768600,2602.135337
oblas,f,60,4,0.759768,2632.381363
oblas,f,60,5,0.744746,2685.478717
oblas,f,64,1,0.747333,2676.183704
oblas,f,64,2,0.735998,2717.399789
oblas,f,64,3,0.741305,2697.944080
oblas,f,64,4,0.743688,2689.300899
oblas,f,64,5,0.744940,2684.780181
oblas,f,68,1,0.770688,2595.084206
oblas,f,68,2,0.768995,2600.796938
oblas,f,68,3,0.775829,2577.887869
oblas,f,68,4,0.802321,2492.766599
oblas,f,68,5,0.784118,2550.637279
oblas,f,72,1,0.889246,2249.096818
oblas,f,72,2,0.896506,2230.882687
oblas,f,72,3,0.860241,2324.931004
oblas,f,72,4,0.865997,2309.478081
oblas,f,72,5,0.854932,2339.367254
oblas,f,76,1,1.065706,1876.690023
oblas,f,76,2,1.110517,1800.962508
oblas,f,76,3,1.057237,1891.723136
oblas,f,76,4,1.095668,1825.370279
oblas,f,76,5,1.084422,1844.300213
oblas,f,80,1,1.236037,1618.074929
oblas,f,80,2,1.116220,1791.761173
oblas,f,80,3,1.155358,1731.064561
oblas,f,80,4,1.195871,1672.420684
oblas,f,80,5,1.169669,1709.884957
oblas,f,84,1,1.184117,1689.022866
oblas,f,84,2,1.426092,1402.434271
oblas,f,84,3,1.138258,1757.071286
oblas,f,84,4,1.120166,1785.450079
oblas,f,84,5,1.126537,1775.352063
oblas,f,88,1,1.166100,1715.118562
oblas,f,88,2,1.088131,1838.013516
oblas,f,88,3,1.143062,1749.686851
oblas,f,88,4,1.092194,1831.176149
oblas,f,88,5,1.088059,1838.136265
oblas,f,92,1,1.079607,1852.526434
oblas,f,92,2,1.090172,1834.572686
oblas,f,92,3,1.066910,1874.571950
oblas,f,92,4,1.155989,1730.119534
oblas,f,92,5,1.070127,1868.937078
oblas,f,96,1,1.112665,1797.486753
oblas,f,96,2,1.101321,1816.000519
oblas,f,96,3,1.110003,1801.796680
oblas,f,96,4,1.122477,1781.773386
oblas,f,96,5,1.085512,1842.448822
oblas,f,100,1,1.026733,1947.926282
oblas,f,100,2,1.010543,1979.133652
oblas,f,100,3,1.047600,1909.125520
oblas,f,100,4,1.085620,1842.265103
oblas,f,100,5,1.050637,1903.607115
oblas,f,104,1,1.091735,1831.946776
oblas,f,104,2,1.087909,1838.389587
oblas,f,104,3,1.115370,1793.127216
oblas,f,104,4,1.072213,1865.300611
oblas,f,104,5,1.108952,1803.504424
oblas,f,108,1,1.101948,1814.967558
oblas,f,108,2,1.064007,1879.687523
oblas,f,108,3,1.068972,1870.956863
oblas,f,108,4,1.071553,1866.450577
oblas,f,108,5,1.097877,1821.697730
oblas,f,112,1,1.120011,1785.696416
oblas,f,112,2,1.062582,1882.208473
oblas,f,112,3,1.077548,1856.066217
oblas,f,112,4,1.021607,1957.700325
oblas,f,112,5,1.052915,1899.488397
oblas,f,116,1,1.078326,1854.726269
oblas,f,116,2,1.119782,1786.062603
oblas,f,116,3,1.041676,1919.983046
oblas,f,116,4,1.050872,1903.182037
oblas,f,116,5,1.015112,1970.225676
oblas,f,120,1,1.007477,1985.156755
oblas,f,120,2,1.019795,1961.179132
oblas,f,120,3,1.085132,1843.093251
oblas,f,120,4,1.045851,1912.319018
oblas,f,120,5,1.075243,1860.044722
oblas,f,124,1,1.025267,1950.711568
oblas,f,124,2,1.084619,1843.965313
oblas,f,124,3,1.060943,1885.115003
oblas,f,124,4,1.069643,1869.782757
oblas,f,124,5,1.055188,1895.396555
oblas,f,128,1,0.983669,2033.204160
oblas,f,128,2,0.996203,2007.623789
oblas,f,128,3,0.965652,2071.140360
oblas,f,128,4,0.939977,2127.712263
oblas,f,128,5,1.022376,1956.228206
oblas,d,1,1,oblas,d,1,2,oblas,d,1,3,oblas,d,1,4,oblas,d,1,5,oblas,d,2,1,35.076970,57.017467
oblas,d,2,2,35.065321,57.036410
oblas,d,2,3,35.391565,56.510640
oblas,d,2,4,34.713029,57.615255
oblas,d,2,5,36.568732,54.691533
oblas,d,4,1,10.976143,182.213363
oblas,d,4,2,10.932552,182.939910
oblas,d,4,3,11.015931,181.555244
oblas,d,4,4,11.072510,180.627514
oblas,d,4,5,10.946415,182.708213
oblas,d,8,1,5.753546,347.611738
oblas,d,8,2,5.784934,345.725659
oblas,d,8,3,5.766707,346.818411
oblas,d,8,4,5.740694,348.389948
oblas,d,8,5,5.771312,346.541642
oblas,d,12,1,4.077115,490.542954
oblas,d,12,2,4.076968,490.560665
oblas,d,12,3,4.079431,490.264490
oblas,d,12,4,4.073160,491.019260
oblas,d,12,5,4.079735,490.227899
oblas,d,16,1,3.288569,608.167191
oblas,d,16,2,3.297583,606.504779
oblas,d,16,3,3.288322,608.212878
oblas,d,16,4,3.287310,608.400117
oblas,d,16,5,3.285228,608.785671
oblas,d,20,1,2.977422,671.721944
oblas,d,20,2,2.691184,743.167216
oblas,d,20,3,2.616893,764.265173
oblas,d,20,4,2.655516,753.149285
oblas,d,20,5,2.650057,754.700758
oblas,d,24,1,3.909252,511.606800
oblas,d,24,2,3.165140,631.883529
oblas,d,24,3,2.312670,864.801239
oblas,d,24,4,2.827607,707.311852
oblas,d,24,5,2.286151,874.832838
oblas,d,28,1,2.156111,927.596079
oblas,d,28,2,2.186946,914.517205
oblas,d,28,3,2.159979,925.935044
oblas,d,28,4,2.338494,855.251346
oblas,d,28,5,2.691899,742.970053
oblas,d,32,1,1.954575,1023.240465
oblas,d,32,2,1.973423,1013.467610
oblas,d,32,3,1.958134,1021.380509
oblas,d,32,4,1.964283,1018.183235
oblas,d,32,5,1.962415,1019.152356
oblas,d,36,1,1.926988,1037.888954
oblas,d,36,2,2.073235,964.676189
oblas,d,36,3,1.890881,1057.707833
oblas,d,36,4,2.204115,907.393655
oblas,d,36,5,1.941755,1029.996126
oblas,d,40,1,1.849648,1081.286801
oblas,d,40,2,1.717397,1164.553180
oblas,d,40,3,1.876997,1065.531749
oblas,d,40,4,2.011560,994.253020
oblas,d,40,5,2.375075,842.078627
oblas,d,44,1,1.715538,1165.814817
oblas,d,44,2,2.099476,952.618603
oblas,d,44,3,2.034408,983.086855
oblas,d,44,4,1.914804,1044.493183
oblas,d,44,5,1.866067,1071.772831
oblas,d,48,1,1.659680,1205.051642
oblas,d,48,2,1.669004,1198.319205
oblas,d,48,3,1.676496,1192.964580
oblas,d,48,4,1.639190,1220.114732
oblas,d,48,5,1.882137,1062.621782
oblas,d,52,1,1.676251,1193.138679
oblas,d,52,2,1.662543,1202.976708
oblas,d,52,3,1.602072,1248.383545
oblas,d,52,4,1.791091,1116.637613
oblas,d,52,5,1.666562,1200.075344
oblas,d,56,1,1.707534,1171.279777
oblas,d,56,2,1.646675,1214.569112
oblas,d,56,3,1.699244,1176.994113
oblas,d,56,4,1.732521,1154.386833
oblas,d,56,5,1.742654,1147.674816
oblas,d,60,1,1.869714,1069.682085
oblas,d,60,2,1.667219,1199.602390
oblas,d,60,3,1.654220,1209.029005
oblas,d,60,4,1.598281,1251.344384
oblas,d,60,5,1.678068,1191.846782
oblas,d,64,1,1.658680,1205.778262
oblas,d,64,2,1.659427,1205.235136
oblas,d,64,3,1.641735,1218.223382
oblas,d,64,4,1.653948,1209.227828
oblas,d,64,5,1.649443,1212.530670
oblas,d,68,1,1.751798,1141.684037
oblas,d,68,2,1.732619,1154.322059
oblas,d,68,3,1.702424,1174.795799
oblas,d,68,4,1.740702,1148.961522
oblas,d,68,5,1.787899,1118.631549
oblas,d,72,1,2.072583,964.979418
oblas,d,72,2,1.994101,1002.958384
oblas,d,72,3,2.100181,952.299044
oblas,d,72,4,2.005990,997.013873
oblas,d,72,5,2.093858,955.174491
oblas,d,76,1,2.385004,838.572893
oblas,d,76,2,2.449239,816.580131
oblas,d,76,3,2.341585,854.122332
oblas,d,76,4,2.326657,859.602559
oblas,d,76,5,2.416033,827.803371
oblas,d,80,1,2.557580,781.989204
oblas,d,80,2,2.662519,751.168380
oblas,d,80,3,2.546947,785.253766
oblas,d,80,4,2.585288,773.608216
oblas,d,80,5,2.559015,781.550618
oblas,d,84,1,2.497336,800.853533
oblas,d,84,2,2.555597,782.595882
oblas,d,84,3,2.541516,786.931744
oblas,d,84,4,2.533448,789.437802
oblas,d,84,5,2.320358,861.935976
oblas,d,88,1,2.364592,845.811851
oblas,d,88,2,2.326141,859.793088
oblas,d,88,3,2.410078,829.848787
oblas,d,88,4,2.464154,811.637624
oblas,d,88,5,2.347947,851.808048
oblas,d,92,1,2.420803,826.172159
oblas,d,92,2,2.431129,822.663048
oblas,d,92,3,2.474733,808.167998
oblas,d,92,4,2.403323,832.181221
oblas,d,92,5,2.402391,832.504026
oblas,d,96,1,2.438575,820.151031
oblas,d,96,2,2.369274,844.140304
oblas,d,96,3,2.474031,808.397348
oblas,d,96,4,2.525982,791.771164
oblas,d,96,5,2.470066,809.694817
oblas,d,100,1,2.492082,802.541960
oblas,d,100,2,2.371740,843.262753
oblas,d,100,3,2.390972,836.479907
oblas,d,100,4,2.509651,796.923533
oblas,d,100,5,2.411019,829.524657
oblas,d,104,1,2.490277,803.123591
oblas,d,104,2,2.456593,814.135663
oblas,d,104,3,2.344436,853.083567
oblas,d,104,4,2.415567,827.962909
oblas,d,104,5,2.392594,835.912844
oblas,d,108,1,2.456402,814.198983
oblas,d,108,2,2.454961,814.676736
oblas,d,108,3,2.500783,799.749608
oblas,d,108,4,2.451076,815.968331
oblas,d,108,5,2.441742,819.087210
oblas,d,112,1,2.484655,804.940843
oblas,d,112,2,2.500044,799.985855
oblas,d,112,3,2.319745,862.163897
oblas,d,112,4,2.396554,834.531596
oblas,d,112,5,2.481200,806.061727
oblas,d,116,1,2.475324,807.974916
oblas,d,116,2,2.401393,832.849781
oblas,d,116,3,2.381873,839.675418
oblas,d,116,4,2.417075,827.446243
oblas,d,116,5,2.453890,815.032480
oblas,d,120,1,2.471279,809.297540
oblas,d,120,2,2.540921,787.116204
oblas,d,120,3,2.496916,800.988039
oblas,d,120,4,2.481787,805.871002
oblas,d,120,5,2.360295,847.351646
oblas,d,124,1,2.445913,817.690444
oblas,d,124,2,2.448354,816.875461
oblas,d,124,3,2.479268,806.689776
oblas,d,124,4,2.459921,813.034346
oblas,d,124,5,2.529169,790.773547
oblas,d,128,1,2.465219,811.287024
oblas,d,128,2,2.505426,798.267474
oblas,d,128,3,2.390727,836.565656
oblas,d,128,4,2.468441,810.227941
oblas,d,128,5,2.567352,779.012815
mkl,f,1,1,48.205673,41.488893
mkl,f,1,2,48.498510,41.238380
mkl,f,1,3,47.633125,41.987587
mkl,f,1,4,47.344427,42.243620
mkl,f,1,5,48.380340,41.339106
mkl,f,2,1,17.007991,117.591785
mkl,f,2,2,17.055810,117.262091
mkl,f,2,3,17.164917,116.516729
mkl,f,2,4,17.083102,117.074757
mkl,f,2,5,17.189516,116.349991
mkl,f,4,1,11.328914,176.539430
mkl,f,4,2,11.499806,173.915977
mkl,f,4,3,11.641947,171.792576
mkl,f,4,4,11.531664,173.435514
mkl,f,4,5,11.473488,174.314909
mkl,f,8,1,4.626357,432.305616
mkl,f,8,2,4.574165,437.238317
mkl,f,8,3,4.570740,437.565885
mkl,f,8,4,4.610370,433.804708
mkl,f,8,5,4.616771,433.203196
mkl,f,12,1,3.356727,595.818513
mkl,f,12,2,3.382490,591.280440
mkl,f,12,3,3.373754,592.811461
mkl,f,12,4,3.367820,593.856018
mkl,f,12,5,3.378643,591.953599
mkl,f,16,1,2.804232,713.207855
mkl,f,16,2,2.800023,714.279876
mkl,f,16,3,2.778739,719.750993
mkl,f,16,4,2.754307,726.135342
mkl,f,16,5,2.783975,718.397280
mkl,f,20,1,2.381896,839.667228
mkl,f,20,2,3.093163,646.587273
mkl,f,20,3,2.311976,865.060889
mkl,f,20,4,2.349289,851.321349
mkl,f,20,5,2.346531,852.322130
mkl,f,24,1,2.026778,986.787696
mkl,f,24,2,1.988767,1005.648235
mkl,f,24,3,1.955698,1022.652933
mkl,f,24,4,1.941067,1030.361315
mkl,f,24,5,2.319915,862.100518
mkl,f,28,1,1.767670,1131.432716
mkl,f,28,2,1.774497,1127.079769
mkl,f,28,3,1.790554,1116.972961
mkl,f,28,4,1.743964,1146.812786
mkl,f,28,5,1.787377,1118.958359
mkl,f,32,1,1.666951,1199.795072
mkl,f,32,2,1.698948,1177.198781
mkl,f,32,3,1.646270,1214.867253
mkl,f,32,4,1.691087,1182.671077
mkl,f,32,5,1.669805,1197.744996
mkl,f,36,1,1.618778,1235.499938
mkl,f,36,2,1.730073,1156.020466
mkl,f,36,3,1.815772,1101.459747
mkl,f,36,4,1.640821,1218.901780
mkl,f,36,5,1.665387,1200.921732
mkl,f,40,1,1.871573,1068.620055
mkl,f,40,2,1.816081,1101.272700
mkl,f,40,3,1.752848,1141.000088
mkl,f,40,4,1.587688,1259.693244
mkl,f,40,5,1.789000,1117.943156
mkl,f,44,1,1.676120,1193.232299
mkl,f,44,2,1.652173,1210.527177
mkl,f,44,3,1.647150,1214.218701
mkl,f,44,4,1.656703,1207.217059
mkl,f,44,5,1.653841,1209.306299
mkl,f,48,1,1.591992,1256.288036
mkl,f,48,2,1.578228,1267.244007
mkl,f,48,3,1.582625,1263.723192
mkl,f,48,4,1.589005,1258.649210
mkl,f,48,5,1.590285,1257.636200
mkl,f,52,1,1.825941,1095.325878
mkl,f,52,2,1.836849,1088.820940
mkl,f,52,3,1.809626,1105.200639
mkl,f,52,4,1.893514,1056.237480
mkl,f,52,5,1.765966,1132.524566
mkl,f,56,1,1.717825,1164.262828
mkl,f,56,2,1.784561,1120.723788
mkl,f,56,3,1.774636,1126.991850
mkl,f,56,4,1.768329,1131.011066
mkl,f,56,5,1.717460,1164.510303
mkl,f,60,1,1.839940,1086.991829
mkl,f,60,2,1.720078,1162.737743
mkl,f,60,3,1.846615,1083.062519
mkl,f,60,4,1.824584,1096.140494
mkl,f,60,5,1.816235,1101.179045
mkl,f,64,1,1.832807,1091.222110
mkl,f,64,2,1.864950,1072.414652
mkl,f,64,3,1.800864,1110.577970
mkl,f,64,4,1.840226,1086.822975
mkl,f,64,5,1.813585,1102.788293
mkl,f,68,1,1.875343,1066.471643
mkl,f,68,2,1.830119,1092.825299
mkl,f,68,3,1.896470,1054.590940
mkl,f,68,4,1.885919,1060.490717
mkl,f,68,5,1.896584,1054.527598
mkl,f,72,1,1.754390,1139.997442
mkl,f,72,2,1.771907,1128.727381
mkl,f,72,3,1.739043,1150.058017
mkl,f,72,4,1.737098,1151.345313
mkl,f,72,5,1.734785,1152.880608
mkl,f,76,1,1.881226,1063.136210
mkl,f,76,2,1.953137,1023.993516
mkl,f,76,3,1.975396,1012.455137
mkl,f,76,4,1.987812,1006.131279
mkl,f,76,5,1.964471,1018.085917
mkl,f,80,1,1.875848,1066.184480
mkl,f,80,2,1.863452,1073.277006
mkl,f,80,3,1.886574,1060.122522
mkl,f,80,4,1.818704,1099.684322
mkl,f,80,5,1.934027,1034.111766
mkl,f,84,1,1.990134,1004.957498
mkl,f,84,2,1.971677,1014.364736
mkl,f,84,3,2.055309,973.089580
mkl,f,84,4,1.985118,1007.496610
mkl,f,84,5,1.978553,1010.839788
mkl,f,88,1,2.077273,962.800528
mkl,f,88,2,2.032281,984.116101
mkl,f,88,3,2.013637,993.227796
mkl,f,88,4,1.996819,1001.593218
mkl,f,88,5,2.025942,987.195113
mkl,f,92,1,2.151485,929.590603
mkl,f,92,2,2.079607,961.720178
mkl,f,92,3,2.112537,946.728859
mkl,f,92,4,2.054980,973.245585
mkl,f,92,5,2.117560,944.483251
mkl,f,96,1,2.105186,950.034880
mkl,f,96,2,2.050194,975.517660
mkl,f,96,3,2.120674,943.096243
mkl,f,96,4,2.099271,952.711540
mkl,f,96,5,2.121890,942.556133
mkl,f,100,1,1.948932,1026.203287
mkl,f,100,2,2.017704,991.225762
mkl,f,100,3,2.021141,989.539872
mkl,f,100,4,1.904906,1049.920419
mkl,f,100,5,2.012503,993.787412
mkl,f,104,1,2.133066,937.617530
mkl,f,104,2,2.080852,961.144790
mkl,f,104,3,2.100218,952.282137
mkl,f,104,4,2.024962,987.673044
mkl,f,104,5,2.070146,966.115425
mkl,f,108,1,2.037281,981.700766
mkl,f,108,2,2.074962,963.873278
mkl,f,108,3,2.054907,973.279967
mkl,f,108,4,2.109061,948.289117
mkl,f,108,5,2.052482,974.430084
mkl,f,112,1,2.143555,933.029652
mkl,f,112,2,2.121243,942.843200
mkl,f,112,3,2.148664,930.810973
mkl,f,112,4,2.134100,937.163344
mkl,f,112,5,2.167475,922.732875
mkl,f,116,1,2.483564,805.294201
mkl,f,116,2,2.439170,819.951073
mkl,f,116,3,2.464868,811.402416
mkl,f,116,4,2.515901,794.943699
mkl,f,116,5,2.497779,800.711287
mkl,f,120,1,1.972657,1013.861061
mkl,f,120,2,2.092021,956.013448
mkl,f,120,3,1.995869,1002.069813
mkl,f,120,4,2.051579,974.858952
mkl,f,120,5,2.038208,981.254284
mkl,f,124,1,2.742876,729.161558
mkl,f,124,2,2.685687,744.688469
mkl,f,124,3,2.686753,744.392910
mkl,f,124,4,2.858138,699.756314
mkl,f,124,5,2.729553,732.720772
mkl,f,128,1,2.011195,994.433527
mkl,f,128,2,2.047933,976.594643
mkl,f,128,3,2.111457,947.213449
mkl,f,128,4,2.139313,934.879706
mkl,f,128,5,2.115822,945.259211
mkl,d,1,1,mkl,d,1,2,mkl,d,1,3,mkl,d,1,4,mkl,d,1,5,mkl,d,2,1,43.696192,45.770579
mkl,d,2,2,45.968658,43.507905
mkl,d,2,3,45.201380,44.246436
mkl,d,2,4,45.838586,43.631364
mkl,d,2,5,45.718052,43.746396
mkl,d,4,1,11.524410,173.544680
mkl,d,4,2,11.461128,174.502893
mkl,d,4,3,11.564787,172.938767
mkl,d,4,4,11.534965,173.385873
mkl,d,4,5,11.544843,173.237524
mkl,d,8,1,5.995250,333.597423
mkl,d,8,2,6.007943,332.892666
mkl,d,8,3,6.011378,332.702399
mkl,d,8,4,5.982187,334.325897
mkl,d,8,5,6.008210,332.877839
mkl,d,12,1,4.390471,455.532035
mkl,d,12,2,4.378433,456.784391
mkl,d,12,3,4.404531,454.077887
mkl,d,12,4,4.375088,457.133617
mkl,d,12,5,4.374518,457.193263
mkl,d,16,1,3.975282,503.108962
mkl,d,16,2,3.983409,502.082474
mkl,d,16,3,3.951390,506.150968
mkl,d,16,4,3.991073,501.118359
mkl,d,16,5,3.941148,507.466326
mkl,d,20,1,3.656940,546.905363
mkl,d,20,2,3.658075,546.735638
mkl,d,20,3,3.717219,538.036673
mkl,d,20,4,3.728137,536.460964
mkl,d,20,5,3.609611,554.076346
mkl,d,24,1,3.411905,586.182859
mkl,d,24,2,3.761402,531.716611
mkl,d,24,3,3.448557,579.952756
mkl,d,24,4,3.504464,570.700764
mkl,d,24,5,3.407892,586.873106
mkl,d,28,1,3.389482,590.060589
mkl,d,28,2,3.376962,592.248260
mkl,d,28,3,3.388665,590.202991
mkl,d,28,4,3.333504,599.969334
mkl,d,28,5,3.332477,600.154234
mkl,d,32,1,3.203178,624.379989
mkl,d,32,2,3.220250,621.069703
mkl,d,32,3,3.240170,617.251485
mkl,d,32,4,3.207000,623.635774
mkl,d,32,5,3.157364,633.439738
mkl,d,36,1,3.045677,656.668373
mkl,d,36,2,3.209272,623.194293
mkl,d,36,3,2.973426,672.624888
mkl,d,36,4,2.991951,668.460207
mkl,d,36,5,2.952939,677.291436
mkl,d,40,1,3.127205,639.548777
mkl,d,40,2,3.115609,641.929001
mkl,d,40,3,3.225383,620.081311
mkl,d,40,4,3.102547,644.631688
mkl,d,40,5,3.191793,626.607007
mkl,d,44,1,3.156533,633.606509
mkl,d,44,2,3.135959,637.763507
mkl,d,44,3,3.158953,633.121178
mkl,d,44,4,3.180663,628.799788
mkl,d,44,5,3.126956,639.599724
mkl,d,48,1,3.058000,654.022312
mkl,d,48,2,2.855581,700.382921
mkl,d,48,3,3.076531,650.082753
mkl,d,48,4,3.114523,642.153007
mkl,d,48,5,3.082484,648.827347
mkl,d,52,1,3.205083,624.008810
mkl,d,52,2,2.940330,680.195741
mkl,d,52,3,2.925283,683.694647
mkl,d,52,4,2.983350,670.387230
mkl,d,52,5,3.049662,655.810435
mkl,d,56,1,2.976748,671.874040
mkl,d,56,2,3.214314,622.216782
mkl,d,56,3,3.292040,607.525969
mkl,d,56,4,2.887159,692.722559
mkl,d,56,5,2.884975,693.246921
mkl,d,60,1,2.909565,687.387894
mkl,d,60,2,3.230931,619.016623
mkl,d,60,3,3.243218,616.671486
mkl,d,60,4,3.265550,612.454315
mkl,d,60,5,3.183920,628.156478
mkl,d,64,1,3.141907,636.556090
mkl,d,64,2,3.123759,640.254199
mkl,d,64,3,3.153942,634.127036
mkl,d,64,4,3.148742,635.174378
mkl,d,64,5,3.128692,639.244743
mkl,d,68,1,3.064569,652.620365
mkl,d,68,2,3.265120,612.534826
mkl,d,68,3,2.914199,686.294885
mkl,d,68,4,3.236891,617.876866
mkl,d,68,5,2.795001,715.563268
mkl,d,72,1,3.345587,597.802350
mkl,d,72,2,3.347332,597.490818
mkl,d,72,3,3.426471,583.690874
mkl,d,72,4,3.361246,595.017437
mkl,d,72,5,3.294802,607.016803
mkl,d,76,1,3.198377,625.317210
mkl,d,76,2,3.361419,594.986781
mkl,d,76,3,3.306886,604.798663
mkl,d,76,4,3.337780,599.200643
mkl,d,76,5,3.263572,612.825409
mkl,d,80,1,3.279531,609.843275
mkl,d,80,2,3.207737,623.492454
mkl,d,80,3,3.241986,616.905881
mkl,d,80,4,3.246643,616.020934
mkl,d,80,5,3.284843,608.857019
mkl,d,84,1,3.234219,618.387387
mkl,d,84,2,3.214706,622.140951
mkl,d,84,3,2.870974,696.627720
mkl,d,84,4,3.204933,624.038005
mkl,d,84,5,3.244226,616.479923
mkl,d,88,1,3.283248,609.152838
mkl,d,88,2,3.301242,605.832525
mkl,d,88,3,3.275630,610.569589
mkl,d,88,4,3.260346,613.431768
mkl,d,88,5,3.207857,623.469229
mkl,d,92,1,3.268137,611.969403
mkl,d,92,2,2.781173,719.121133
mkl,d,92,3,3.201452,624.716452
mkl,d,92,4,2.832410,706.112350
mkl,d,92,5,3.228484,619.485797
mkl,d,96,1,3.168650,631.183711
mkl,d,96,2,3.176115,629.700143
mkl,d,96,3,3.328712,600.833072
mkl,d,96,4,2.813949,710.745057
mkl,d,96,5,3.271864,611.272348
mkl,d,100,1,3.329576,600.677065
mkl,d,100,2,2.452341,815.547276
mkl,d,100,3,3.260478,613.407052
mkl,d,100,4,3.302006,605.692414
mkl,d,100,5,3.321382,602.158941
mkl,d,104,1,3.284718,608.880249
