library,precision,n_threads,iteration,time,GFLOPS
mkl,f,2,1,44.824884,44.618075
mkl,f,2,2,45.202308,44.245529
mkl,f,2,3,45.299845,44.150262
mkl,f,2,4,44.774760,44.668023
mkl,f,2,5,44.785071,44.657739
mkl,f,4,1,16.946701,118.017070
mkl,f,4,2,17.062661,117.215013
mkl,f,4,3,16.744041,119.445479
mkl,f,4,4,16.791716,119.106348
mkl,f,4,5,16.989285,117.721261
mkl,f,8,1,8.675751,230.527605
mkl,f,8,2,8.586139,232.933576
mkl,f,8,3,8.599942,232.559715
mkl,f,8,4,8.606502,232.382460
mkl,f,8,5,8.579362,233.117555
mkl,f,16,1,4.674699,427.835002
mkl,f,16,2,4.580370,436.645950
mkl,f,16,3,4.680887,427.269473
mkl,f,16,4,4.624531,432.476324
mkl,f,16,5,4.663194,428.890546
mkl,f,24,1,3.344860,597.932337
mkl,f,24,2,3.399365,588.345146
mkl,f,24,3,3.353485,596.394513
mkl,f,24,4,3.213477,622.378780
mkl,f,24,5,3.351696,596.712797
mkl,f,32,1,2.616674,764.329164
mkl,f,32,2,2.617136,764.194230
mkl,f,32,3,2.652760,753.931652
mkl,f,32,4,2.695780,741.900335
mkl,f,32,5,2.587216,773.031667
mkl,f,40,1,2.837042,704.959619
mkl,f,40,2,2.736975,730.733699
mkl,f,40,3,2.922053,684.450217
mkl,f,40,4,2.780693,719.245215
mkl,f,40,5,2.708156,738.509942
mkl,f,48,1,2.164337,924.070675
mkl,f,48,2,2.091498,956.252515
mkl,f,48,3,2.147749,931.207554
mkl,f,48,4,2.213612,903.500715
mkl,f,48,5,2.146316,931.829159
mkl,f,56,1,1.910912,1046.620821
mkl,f,56,2,1.908820,1047.767780
mkl,f,56,3,1.884644,1061.208120
mkl,f,56,4,1.923836,1039.589445
mkl,f,56,5,1.910061,1047.087207
mkl,f,64,1,1.751993,1141.557375
mkl,f,64,2,1.809493,1105.281689
mkl,f,64,3,1.719388,1163.204567
mkl,f,64,4,1.858562,1076.100904
mkl,f,64,5,1.811657,1103.961815
mkl,f,72,1,1.984461,1007.830338
