library,precision,n_threads,iteration,time,GFLOPS
blis,f,2,1,10.571952,189.179822
blis,f,2,2,10.544672,189.669243
blis,f,2,3,10.561343,189.369864
blis,f,2,4,10.567619,189.257395
blis,f,2,5,10.578307,189.066167
blis,f,4,1,5.666069,352.978434
blis,f,4,2,5.804372,344.567867
blis,f,4,3,5.538102,361.134554
blis,f,4,4,5.678389,352.212568
blis,f,4,5,5.680464,352.083900
blis,f,8,1,2.825658,707.799705
blis,f,8,2,2.821750,708.779951
blis,f,8,3,2.873944,695.907898
blis,f,8,4,2.836366,705.127677
blis,f,8,5,2.931103,682.337018
blis,f,16,1,1.469138,1361.342397
blis,f,16,2,1.462441,1367.576275
blis,f,16,3,1.518463,1317.121719
blis,f,16,4,1.458358,1371.405412
blis,f,16,5,1.462097,1367.898105
blis,f,24,1,0.978849,2043.216171
blis,f,24,2,0.974288,2052.780130
blis,f,24,3,0.979439,2041.985353
blis,f,24,4,0.984291,2031.919761
blis,f,24,5,0.982192,2036.262620
blis,f,32,1,0.752056,2659.377621
blis,f,32,2,0.745597,2682.413658
blis,f,32,3,0.739234,2705.504498
blis,f,32,4,0.735229,2720.241796
blis,f,32,5,0.737864,2710.525778
blis,f,40,1,0.602355,3320.299035
blis,f,40,2,0.602332,3320.425671
blis,f,40,3,0.610213,3277.542121
blis,f,40,4,0.599796,3334.465646
blis,f,40,5,0.600858,3328.570931
blis,f,48,1,0.529568,3776.666430
blis,f,48,2,0.528157,3786.753168
blis,f,48,3,0.527949,3788.241620
blis,f,48,4,0.533949,3745.678891
blis,f,48,5,0.532823,3753.591577
blis,f,56,1,0.504982,3960.536297
blis,f,56,2,0.509502,3925.400858
blis,f,56,3,0.503609,3971.332436
blis,f,56,4,0.510767,3915.679377
blis,f,56,5,0.504698,3962.761958
blis,f,64,1,0.460171,4346.207011
blis,f,64,2,0.461605,4332.705454
blis,f,64,3,0.460370,4344.334328
blis,f,64,4,0.466221,4289.810209
blis,f,64,5,0.468855,4265.707799
blis,f,72,1,0.466363,4288.505512
blis,f,72,2,0.439954,4545.932974
blis,f,72,3,0.434030,4607.976004
blis,f,72,4,0.446615,4478.132911
blis,f,72,5,0.451921,4425.556416
blis,f,80,1,0.422769,4730.712841
blis,f,80,2,0.418121,4783.301392
blis,f,80,3,0.431985,4629.787450
blis,f,80,4,0.429659,4654.850818
blis,f,80,5,0.420079,4761.012401
blis,f,88,1,0.445290,4491.458547
blis,f,88,2,0.446491,4479.377507
blis,f,88,3,0.451430,4430.368484
blis,f,88,4,0.440251,4542.866691
blis,f,88,5,0.458663,4360.500146
blis,f,96,1,0.411690,4858.023817
blis,f,96,2,0.420210,4759.530006
blis,f,96,3,0.406773,4916.745680
blis,f,96,4,0.408124,4900.470008
blis,f,96,5,0.426922,4684.697753
blis,f,104,1,0.448920,4455.139968
blis,f,104,2,0.429419,4657.457073
blis,f,104,3,0.451841,4426.332404
blis,f,104,4,0.444124,4503.250359
blis,f,104,5,0.456333,4382.760845
blis,f,112,1,0.476786,4194.756988
blis,f,112,2,0.463580,4314.248041
blis,f,112,3,0.464634,4304.460491
blis,f,112,4,0.457674,4369.922133
blis,f,112,5,0.477851,4185.404864
blis,f,120,1,0.398478,5019.095828
blis,f,120,2,0.429799,4653.338584
blis,f,120,3,0.411305,4862.574597
blis,f,120,4,0.440917,4536.003226
blis,f,120,5,0.418568,4778.191021
blis,f,128,1,0.451068,4433.918666
blis,f,128,2,0.488744,4092.122182
blis,f,128,3,0.453148,4413.566204
blis,f,128,4,0.474465,4215.272651
blis,f,128,5,0.442842,4516.279105
blis,f,136,1,1.309728,1527.034460
blis,f,136,2,1.652874,1210.013564
blis,f,136,3,1.635710,1222.710455
blis,f,136,4,1.289933,1550.468232
blis,f,136,5,1.506360,1327.703877
blis,f,144,1,1.550595,1289.827454
blis,f,144,2,1.434104,1394.599058
blis,f,144,3,1.599354,1250.505095
blis,f,144,4,1.560812,1281.384525
blis,f,144,5,1.486721,1345.242183
blis,f,152,1,1.515024,1320.111361
blis,f,152,2,1.617431,1236.528464
blis,f,152,3,1.615222,1238.219814
blis,f,152,4,1.656251,1207.546492
blis,f,152,5,1.751978,1141.566928
blis,f,160,1,1.782604,1121.954376
blis,f,160,2,1.736218,1151.929209
blis,f,160,3,1.585822,1261.175554
blis,f,160,4,1.716812,1164.949668
blis,f,160,5,1.701253,1175.603824
blis,f,168,1,1.835442,1089.655917
blis,f,168,2,1.840217,1086.828358
blis,f,168,3,1.843552,1084.862261
blis,f,168,4,1.813146,1103.055054
blis,f,168,5,1.891693,1057.254034
blis,f,176,1,2.076112,963.339002
blis,f,176,2,1.956868,1022.041278
blis,f,176,3,1.798716,1111.903974
blis,f,176,4,1.818221,1099.976018
blis,f,176,5,1.749844,1142.959011
blis,f,184,1,2.152580,929.117425
blis,f,184,2,1.963023,1018.836824
blis,f,184,3,2.008549,995.743606
blis,f,184,4,1.999978,1000.011094
blis,f,184,5,2.056306,972.617932
blis,f,192,1,2.429563,823.193264
blis,f,192,2,2.352473,850.169150
blis,f,192,3,2.273323,879.769316
blis,f,192,4,1.834887,1089.985657
blis,f,192,5,2.170850,921.298083
blis,f,200,1,2.417063,827.450539
blis,f,200,2,1.988199,1005.935771
blis,f,200,3,2.345956,852.530802
blis,f,200,4,2.237494,893.857113
blis,f,200,5,2.288310,874.007365
blis,f,208,1,2.334498,856.715181
blis,f,208,2,2.299001,869.942934
blis,f,208,3,2.259038,885.332508
blis,f,208,4,2.465326,811.251829
blis,f,208,5,2.537615,788.141619
blis,f,216,1,2.327149,859.420754
blis,f,216,2,2.341842,854.028721
blis,f,216,3,2.625013,761.900999
blis,f,216,4,2.442146,818.951825
blis,f,216,5,2.188323,913.941745
blis,f,224,1,3.491722,572.783297
blis,f,224,2,2.815452,710.365484
blis,f,224,3,2.376339,841.630590
blis,f,224,4,2.831236,706.405237
blis,f,224,5,2.407972,830.574534
blis,f,232,1,2.712356,737.366212
