library,precision,n_threads,iteration,time,GFLOPS
oblas,f,2,1,oblas,f,2,2,oblas,f,2,3,oblas,f,2,4,oblas,f,2,5,oblas,f,4,1,10.650243,187.789146
oblas,f,4,2,10.442986,191.516114
oblas,f,4,3,10.553561,189.509494
oblas,f,4,4,10.540634,189.741912
oblas,f,4,5,10.583090,188.980720
oblas,f,8,1,5.444463,367.345672
oblas,f,8,2,5.479364,365.005851
oblas,f,8,3,5.459413,366.339771
oblas,f,8,4,5.406433,369.929656
oblas,f,8,5,5.420055,368.999953
oblas,f,16,1,2.794072,715.801071
oblas,f,16,2,3.555611,562.491170
oblas,f,16,3,2.869293,697.035737
oblas,f,16,4,2.842032,703.721831
oblas,f,16,5,2.809231,711.938648
oblas,f,24,1,2.872437,696.272984
oblas,f,24,2,2.606479,767.318730
oblas,f,24,3,2.635597,758.841285
oblas,f,24,4,2.673204,748.165817
oblas,f,24,5,2.583925,774.016200
oblas,f,32,1,2.183219,916.078306
oblas,f,32,2,2.029494,985.467214
oblas,f,32,3,2.068097,967.072415
oblas,f,32,4,2.138938,935.043283
oblas,f,32,5,2.045322,977.841040
oblas,f,40,1,1.914643,1044.581324
oblas,f,40,2,1.885943,1060.477249
oblas,f,40,3,1.769007,1130.577847
oblas,f,40,4,1.944195,1028.703456
oblas,f,40,5,2.192565,912.173514
oblas,f,48,1,1.605358,1245.827650
oblas,f,48,2,1.649815,1212.257270
oblas,f,48,3,1.657010,1206.993041
oblas,f,48,4,1.648015,1213.581468
oblas,f,48,5,1.576697,1268.474279
oblas,f,56,1,1.612994,1239.930195
oblas,f,56,2,1.562975,1279.611109
oblas,f,56,3,1.611207,1241.305229
oblas,f,56,4,1.585616,1261.339744
oblas,f,56,5,1.562150,1280.286540
oblas,f,64,1,1.360215,1470.355486
oblas,f,64,2,1.508115,1326.158460
oblas,f,64,3,1.716027,1165.482817
oblas,f,64,4,1.477455,1353.679563
oblas,f,64,5,1.348907,1482.681912
oblas,f,72,1,1.718625,1163.721169
oblas,f,72,2,1.649918,1212.181347
oblas,f,72,3,1.609556,1242.578513
oblas,f,72,4,1.601264,1249.013443
oblas,f,72,5,1.519684,1316.062886
oblas,f,80,1,1.377314,1452.101324
oblas,f,80,2,1.374075,1455.525060
oblas,f,80,3,1.497897,1335.204947
oblas,f,80,4,1.457251,1372.446740
oblas,f,80,5,1.344146,1487.934060
oblas,f,88,1,1.470414,1360.160846
oblas,f,88,2,1.219212,1640.403716
oblas,f,88,3,1.356142,1474.771819
oblas,f,88,4,1.534158,1303.646388
oblas,f,88,5,1.407108,1421.354585
oblas,f,96,1,1.384678,1444.379043
oblas,f,96,2,1.229861,1626.199690
oblas,f,96,3,1.362833,1467.531435
oblas,f,96,4,1.302309,1535.733801
oblas,f,96,5,1.358962,1471.711708
oblas,f,104,1,1.162477,1720.463500
oblas,f,104,2,1.794769,1114.349474
oblas,f,104,3,1.232292,1622.991903
oblas,f,104,4,1.346792,1485.009830
oblas,f,104,5,1.655992,1207.735449
oblas,f,112,1,1.516408,1318.906324
oblas,f,112,2,1.414515,1413.912427
oblas,f,112,3,1.358337,1472.388406
oblas,f,112,4,1.382792,1446.349245
oblas,f,112,5,1.352889,1478.318350
oblas,f,120,1,2.235832,894.521675
oblas,f,120,2,1.188244,1683.156407
oblas,f,120,3,1.299554,1538.988963
oblas,f,120,4,1.407711,1420.745972
oblas,f,120,5,1.254893,1593.760996
oblas,f,128,1,1.603279,1247.443391
oblas,f,128,2,1.481330,1350.138185
oblas,f,128,3,1.548438,1291.624064
oblas,f,128,4,1.272117,1572.182020
oblas,f,128,5,1.869436,1069.841448
oblas,f,136,1,1.336227,1496.752118
oblas,f,136,2,1.665381,1200.926125
oblas,f,136,3,1.559529,1282.438823
oblas,f,136,4,1.997458,1001.272771
oblas,f,136,5,1.409844,1418.596702
oblas,f,144,1,1.630112,1226.909891
oblas,f,144,2,2.005427,997.293988
oblas,f,144,3,2.247008,890.072591
oblas,f,144,4,1.981703,1009.232886
oblas,f,144,5,1.484954,1346.843202
oblas,f,152,1,1.618159,1235.972221
oblas,f,152,2,1.538155,1300.258956
oblas,f,152,3,1.369960,1459.896306
oblas,f,152,4,1.489543,1342.693382
oblas,f,152,5,1.420828,1407.630276
oblas,f,160,1,1.614198,1239.005332
oblas,f,160,2,1.664291,1201.713040
oblas,f,160,3,1.588570,1258.993765
oblas,f,160,4,1.428341,1400.225380
oblas,f,160,5,1.387907,1441.019240
oblas,f,168,1,1.562825,1279.733754
oblas,f,168,2,1.370095,1459.752452
oblas,f,168,3,1.661937,1203.415368
oblas,f,168,4,1.537218,1301.051434
oblas,f,168,5,2.804779,713.068712
oblas,f,176,1,1.768810,1130.703694
oblas,f,176,2,1.442144,1386.823854
oblas,f,176,3,1.557973,1283.719174
oblas,f,176,4,1.708948,1170.310901
oblas,f,176,5,1.544005,1295.332260
oblas,f,184,1,1.618542,1235.680237
oblas,f,184,2,1.476741,1354.334086
oblas,f,184,3,1.380819,1448.416075
oblas,f,184,4,1.474043,1356.812640
oblas,f,184,5,1.550232,1290.129786
oblas,f,192,1,1.691784,1182.183677
oblas,f,192,2,1.465805,1364.437922
oblas,f,192,3,1.413417,1415.011049
oblas,f,192,4,2.412530,829.005165
oblas,f,192,5,1.287441,1553.469763
oblas,f,200,1,1.464991,1365.196421
oblas,f,200,2,1.599553,1250.349617
oblas,f,200,3,2.042165,979.352777
oblas,f,200,4,1.454436,1375.103874
oblas,f,200,5,1.352588,1478.646819
oblas,f,208,1,1.923075,1040.000925
oblas,f,208,2,1.481604,1349.888402
oblas,f,208,3,1.635263,1223.044729
oblas,f,208,4,1.402751,1425.769765
oblas,f,208,5,1.556075,1285.285405
oblas,f,216,1,1.362260,1468.148127
oblas,f,216,2,1.601713,1248.663531
oblas,f,216,3,1.416340,1412.090008
oblas,f,216,4,2.371735,843.264638
oblas,f,216,5,1.927332,1037.703978
