library,precision,n_threads,iteration,time,GFLOPS
oblas,f,2,1,10.591807,188.825190
oblas,f,2,2,10.304603,194.088023
oblas,f,2,3,10.658663,187.640800
oblas,f,2,4,10.386266,192.561993
oblas,f,2,5,10.446671,191.448552
oblas,f,4,1,5.647875,354.115490
oblas,f,4,2,5.550929,360.300042
oblas,f,4,3,5.586380,358.013574
oblas,f,4,4,5.562938,359.522239
oblas,f,4,5,5.571875,358.945572
oblas,f,8,1,2.797569,714.906444
oblas,f,8,2,2.802352,713.686095
oblas,f,8,3,2.855679,700.358901
oblas,f,8,4,2.772960,721.250854
oblas,f,8,5,2.881098,694.179673
oblas,f,16,1,1.455940,1373.683006
oblas,f,16,2,1.455648,1373.958187
oblas,f,16,3,1.461663,1368.304897
oblas,f,16,4,1.454228,1375.300308
oblas,f,16,5,1.479596,1351.720501
oblas,f,24,1,1.118139,1788.687170
oblas,f,24,2,1.132075,1766.667446
oblas,f,24,3,1.132189,1766.489706
oblas,f,24,4,1.150087,1738.999214
oblas,f,24,5,1.153914,1733.230849
oblas,f,32,1,0.804146,2487.110673
oblas,f,32,2,0.804723,2485.326341
oblas,f,32,3,0.800821,2497.436996
oblas,f,32,4,0.804749,2485.246079
oblas,f,32,5,0.804448,2486.176032
oblas,f,40,1,0.805303,2483.538720
oblas,f,40,2,0.749219,2669.446411
oblas,f,40,3,0.764634,2615.630115
oblas,f,40,4,0.740766,2699.906891
oblas,f,40,5,0.743304,2690.687340
oblas,f,48,1,0.780841,2561.340575
oblas,f,48,2,0.776598,2575.334420
oblas,f,48,3,0.801445,2495.492448
oblas,f,48,4,0.803467,2489.211719
oblas,f,48,5,0.761225,2627.344046
oblas,f,56,1,0.915714,2184.088066
oblas,f,56,2,0.829408,2411.357477
oblas,f,56,3,0.855366,2338.180059
oblas,f,56,4,0.812869,2460.420289
oblas,f,56,5,0.829509,2411.064301
oblas,f,64,1,0.835085,2394.964841
oblas,f,64,2,0.854340,2340.989324
oblas,f,64,3,0.928975,2152.910260
oblas,f,64,4,0.870081,2298.636025
oblas,f,64,5,0.861524,2321.467137
oblas,f,72,1,0.881044,2270.034756
oblas,f,72,2,0.924293,2163.815666
oblas,f,72,3,0.892148,2241.781240
oblas,f,72,4,0.993307,2013.475229
oblas,f,72,5,0.877079,2280.295855
oblas,f,80,1,1.048757,1907.018834
oblas,f,80,2,1.073241,1863.514110
oblas,f,80,3,1.062732,1881.941427
oblas,f,80,4,0.935235,2138.500340
oblas,f,80,5,1.052777,1899.736714
oblas,f,88,1,0.977824,2045.357858
oblas,f,88,2,1.044888,1914.080890
oblas,f,88,3,1.030615,1940.589233
oblas,f,88,4,1.002434,1995.143872
oblas,f,88,5,1.112184,1798.264316
oblas,f,96,1,1.063365,1880.820986
oblas,f,96,2,1.077579,1856.011640
