library,precision,n_threads,iteration,time,GFLOPS
mkl,f,2,1,mkl,f,2,2,mkl,f,2,3,mkl,f,2,4,mkl,f,2,5,mkl,f,4,1,6.613514,302.411101
mkl,f,4,2,6.634537,301.452836
mkl,f,4,3,6.787324,294.666943
mkl,f,4,4,6.674651,299.641139
mkl,f,4,5,6.691187,298.900629
mkl,f,8,1,3.294425,607.086253
mkl,f,8,2,3.289615,607.973850
mkl,f,8,3,3.279143,609.915427
mkl,f,8,4,3.296214,606.756661
mkl,f,8,5,3.281014,609.567593
mkl,f,12,1,2.190613,912.986606
mkl,f,12,2,2.207703,905.918841
mkl,f,12,3,2.190979,912.834055
mkl,f,12,4,2.194071,911.547479
mkl,f,12,5,2.213460,903.562673
mkl,f,16,1,1.701614,1175.354720
mkl,f,16,2,1.662067,1203.320630
mkl,f,16,3,1.645927,1215.120603
mkl,f,16,4,1.688498,1184.484723
mkl,f,16,5,1.670927,1196.940532
mkl,f,20,1,1.793684,1115.023673
mkl,f,20,2,1.892249,1056.943557
mkl,f,20,3,2.010243,994.904457
mkl,f,20,4,1.778320,1124.657234
mkl,f,20,5,1.977252,1011.505049
mkl,f,24,1,1.779879,1123.671706
mkl,f,24,2,1.691933,1182.079702
mkl,f,24,3,1.606905,1244.629018
mkl,f,24,4,1.670331,1197.367445
mkl,f,24,5,1.689972,1183.451622
mkl,f,28,1,10.630226,188.142751
mkl,f,28,2,14.083948,142.005633
mkl,f,28,3,10.508181,190.327901
mkl,f,28,4,9.208330,217.194645
mkl,f,28,5,10.072074,198.568838
mkl,f,32,1,10.688034,187.125152
mkl,f,32,2,10.246161,195.195065
mkl,f,32,3,10.130121,197.431012
mkl,f,32,4,9.928359,201.443158
mkl,f,32,5,10.298036,194.211785
mkl,f,36,1,9.545778,209.516715
mkl,f,36,2,9.647635,207.304686
mkl,f,36,3,12.011333,166.509406
mkl,f,36,4,12.200749,163.924364
mkl,f,36,5,9.862244,202.793595
mkl,f,40,1,13.350750,149.804319
mkl,f,40,2,11.118926,179.873493
mkl,f,40,3,9.590600,208.537535
mkl,f,40,4,9.048839,221.022819
mkl,f,40,5,10.977353,182.193292
mkl,f,44,1,8.577445,233.169677
mkl,f,44,2,7.213313,277.265116
mkl,f,44,3,7.985236,250.462216
mkl,f,44,4,7.901207,253.125876
mkl,f,44,5,7.446442,268.584652
mkl,f,48,1,6.921566,288.951938
mkl,f,48,2,6.519720,306.761656
mkl,f,48,3,5.964001,335.345333
mkl,f,48,4,6.714431,297.865874
mkl,f,48,5,6.710373,298.046019
mkl,d,2,1,mkl,d,2,2,mkl,d,2,3,mkl,d,2,4,mkl,d,2,5,mkl,d,4,1,mkl,d,4,2,mkl,d,4,3,mkl,d,4,4,mkl,d,4,5,mkl,d,8,1,6.364208,314.257489
mkl,d,8,2,6.398311,312.582506
mkl,d,8,3,6.525389,306.495159
mkl,d,8,4,6.502143,307.590901
mkl,d,8,5,6.504824,307.464131
mkl,d,12,1,4.414483,453.054161
mkl,d,12,2,4.451621,449.274564
mkl,d,12,3,4.316889,463.296632
mkl,d,12,4,4.389805,455.601058
mkl,d,12,5,4.361664,458.540594
mkl,d,16,1,3.399514,588.319380
mkl,d,16,2,3.363248,594.663181
mkl,d,16,3,3.365581,594.251010
mkl,d,16,4,3.371155,593.268494
mkl,d,16,5,3.397624,588.646660
mkl,d,20,1,3.497026,571.914504
mkl,d,20,2,3.927491,509.230906
mkl,d,20,3,3.462847,577.559400
mkl,d,20,4,3.290941,607.728827
mkl,d,20,5,3.954986,505.690772
mkl,d,24,1,3.030027,660.060162
mkl,d,24,2,3.096296,645.933049
mkl,d,24,3,3.028942,660.296477
mkl,d,24,4,3.004141,665.747739
mkl,d,24,5,3.018645,662.548929
mkl,d,28,1,2.657801,752.501827
mkl,d,28,2,2.549909,784.341786
mkl,d,28,3,2.628992,760.747958
mkl,d,28,4,2.590281,772.116940
mkl,d,28,5,2.628585,760.865716
mkl,d,32,1,2.459506,813.171462
mkl,d,32,2,2.341237,854.249134
mkl,d,32,3,2.528085,791.112539
mkl,d,32,4,2.383924,838.952918
mkl,d,32,5,2.408404,830.425595
mkl,d,36,1,2.201271,908.566136
mkl,d,36,2,2.555191,782.720495
mkl,d,36,3,2.242897,891.703821
mkl,d,36,4,2.149983,930.240103
mkl,d,36,5,2.186913,914.530945
mkl,d,40,1,3.068986,651.681030
mkl,d,40,2,2.707960,738.563321
mkl,d,40,3,2.561734,780.721240
mkl,d,40,4,2.614066,765.091763
mkl,d,40,5,2.889322,692.203894
mkl,d,44,1,2.387325,837.757655
mkl,d,44,2,2.640336,757.479406
mkl,d,44,3,2.560654,781.050523
mkl,d,44,4,2.655041,753.284153
mkl,d,44,5,2.487985,803.863498
mkl,d,48,1,2.275121,879.074016
mkl,d,48,2,2.189190,913.579765
mkl,d,48,3,2.192315,912.277516
mkl,d,48,4,2.268648,881.582189
mkl,d,48,5,2.218093,901.675341
oblas,f,2,1,oblas,f,2,2,oblas,f,2,3,oblas,f,2,4,oblas,f,2,5,oblas,f,4,1,10.459966,191.205203
oblas,f,4,2,10.436453,191.635996
oblas,f,4,3,6.637234,301.330345
oblas,f,4,4,6.620306,302.100830
oblas,f,4,5,6.622877,301.983544
oblas,f,8,1,4.941715,404.717814
oblas,f,8,2,4.972747,402.192217
oblas,f,8,3,3.298621,606.313913
oblas,f,8,4,3.262298,613.064750
oblas,f,8,5,4.944701,404.473404
oblas,f,12,1,2.407520,830.730474
oblas,f,12,2,2.507859,797.493026
oblas,f,12,3,2.206247,906.516911
oblas,f,12,4,2.385680,838.335539
oblas,f,12,5,2.225566,898.647801
oblas,f,16,1,1.773692,1127.591242
oblas,f,16,2,1.772443,1128.385858
oblas,f,16,3,1.775861,1126.214376
oblas,f,16,4,1.814383,1102.303270
oblas,f,16,5,1.808175,1106.087799
oblas,f,20,1,7.905149,252.999668
oblas,f,20,2,8.745446,228.690463
oblas,f,20,3,7.658195,261.158145
oblas,f,20,4,7.076970,282.606833
oblas,f,20,5,7.972960,250.847857
oblas,f,24,1,4.077558,490.489625
oblas,f,24,2,4.226509,473.203805
oblas,f,24,3,4.272211,468.141699
oblas,f,24,4,3.121832,640.649547
oblas,f,24,5,3.483247,574.176898
oblas,f,28,1,2.051854,974.728343
oblas,f,28,2,2.091781,956.123181
oblas,f,28,3,1.860064,1075.232052
oblas,f,28,4,2.280859,876.862598
oblas,f,28,5,2.131686,938.224603
oblas,f,32,1,1.432303,1396.352505
oblas,f,32,2,1.338370,1494.354942
oblas,f,32,3,1.222038,1636.610460
oblas,f,32,4,1.431012,1397.612502
oblas,f,32,5,1.220852,1638.200107
oblas,f,36,1,1.230427,1625.451354
oblas,f,36,2,1.175921,1700.794691
oblas,f,36,3,1.167063,1713.703063
oblas,f,36,4,1.236828,1617.039455
oblas,f,36,5,1.135996,1760.570030
oblas,f,40,1,2.112167,946.894607
oblas,f,40,2,1.905210,1049.753291
oblas,f,40,3,2.116389,945.006037
oblas,f,40,4,2.121447,942.752719
oblas,f,40,5,1.908751,1047.805524
oblas,f,44,1,1.417357,1411.076600
oblas,f,44,2,1.178245,1697.440244
oblas,f,44,3,1.111412,1799.512674
oblas,f,44,4,1.157973,1727.156016
oblas,f,44,5,1.142647,1750.321928
oblas,f,48,1,0.617465,3239.050265
oblas,f,48,2,0.603421,3314.432841
oblas,f,48,3,0.606654,3296.770239
oblas,f,48,4,0.611976,3268.104586
oblas,f,48,5,0.600576,3330.138216
oblas,d,2,1,oblas,d,2,2,oblas,d,2,3,oblas,d,2,4,oblas,d,2,5,oblas,d,4,1,oblas,d,4,2,oblas,d,4,3,oblas,d,4,4,oblas,d,4,5,oblas,d,8,1,6.736573,296.886867
oblas,d,8,2,6.749221,296.330476
oblas,d,8,3,10.635078,188.056914
oblas,d,8,4,10.382095,192.639340
oblas,d,8,5,6.784927,294.771026
oblas,d,12,1,5.454431,366.674330
oblas,d,12,2,4.687775,426.641621
oblas,d,12,3,4.738830,422.045069
oblas,d,12,4,4.573467,437.304973
oblas,d,12,5,4.552263,439.341882
oblas,d,16,1,4.610947,433.750356
oblas,d,16,2,3.501760,571.141302
oblas,d,16,3,3.584779,557.914470
oblas,d,16,4,3.551001,563.221540
oblas,d,16,5,3.732544,535.827552
oblas,d,20,1,18.391774,108.744267
oblas,d,20,2,19.872103,100.643599
oblas,d,20,3,19.410003,103.039652
oblas,d,20,4,18.287551,109.364018
oblas,d,20,5,19.139321,104.496916
oblas,d,24,1,11.207420,178.453196
oblas,d,24,2,8.317728,240.450269
oblas,d,24,3,7.974271,250.806639
oblas,d,24,4,8.173826,244.683467
oblas,d,24,5,9.063828,220.657328
oblas,d,28,1,4.989300,400.857814
oblas,d,28,2,6.366684,314.135283
oblas,d,28,3,5.338851,374.612447
oblas,d,28,4,4.699822,425.547990
oblas,d,28,5,5.115993,390.930970
oblas,d,32,1,2.974501,672.381611
oblas,d,32,2,3.000542,666.546351
oblas,d,32,3,2.754984,725.956906
oblas,d,32,4,3.155618,633.790372
oblas,d,32,5,3.006978,665.119541
oblas,d,36,1,2.642236,756.934547
oblas,d,36,2,2.721138,734.986594
oblas,d,36,3,2.731226,732.271994
oblas,d,36,4,2.600900,768.964556
oblas,d,36,5,2.566763,779.191629
oblas,d,40,1,5.293028,377.855578
oblas,d,40,2,4.894203,408.646704
oblas,d,40,3,5.421873,368.876238
oblas,d,40,4,5.091714,392.795071
oblas,d,40,5,4.302195,464.878959
oblas,d,44,1,2.935813,681.242380
oblas,d,44,2,3.100559,645.044941
oblas,d,44,3,2.747680,727.886707
oblas,d,44,4,3.516727,568.710597
oblas,d,44,5,2.646679,755.663959
oblas,d,48,1,1.326004,1508.290922
oblas,d,48,2,1.386907,1442.058203
oblas,d,48,3,1.296733,1542.337015
oblas,d,48,4,1.416352,1412.078360
oblas,d,48,5,1.495355,1337.474902
blis,f,2,1,blis,f,2,2,blis,f,2,3,blis,f,2,4,blis,f,2,5,blis,f,4,1,11.949970,167.364434
blis,f,4,2,11.731601,170.479715
blis,f,4,3,11.819347,169.214082
blis,f,4,4,12.466079,160.435370
blis,f,4,5,18.472255,108.270483
