library,precision,n_threads,iteration,time,GFLOPS
mkl,f,2,1,8.242207,242.653450
mkl,f,2,2,8.083580,247.415137
mkl,f,2,3,7.372164,271.290770
mkl,f,2,4,8.348598,239.561183
mkl,f,2,5,7.491547,266.967546
mkl,f,4,1,3.565909,560.866853
mkl,f,4,2,3.604259,554.899102
mkl,f,4,3,3.537995,565.291952
mkl,f,4,4,3.564456,561.095506
mkl,f,4,5,3.587164,557.543570
mkl,f,8,1,1.691823,1182.156483
mkl,f,8,2,1.701607,1175.359815
mkl,f,8,3,1.706396,1172.060796
mkl,f,8,4,1.714249,1166.691792
mkl,f,8,5,1.704158,1173.599822
mkl,f,12,1,1.168839,1711.099364
mkl,f,12,2,1.166071,1715.162122
mkl,f,12,3,1.167753,1712.691633
mkl,f,12,4,1.164441,1717.563055
mkl,f,12,5,1.166369,1714.722890
mkl,f,16,1,0.923220,2166.331664
mkl,f,16,2,0.933648,2142.134540
mkl,f,16,3,0.933755,2141.889807
mkl,f,16,4,0.937701,2132.876479
mkl,f,16,5,0.926004,2159.818353
mkl,f,20,1,0.877277,2279.780824
mkl,f,20,2,0.880220,2272.158237
mkl,f,20,3,0.881310,2269.348097
mkl,f,20,4,0.878528,2276.536270
mkl,f,20,5,0.873614,2289.339710
mkl,f,24,1,0.910292,2197.097837
mkl,f,24,2,0.912678,2191.352534
mkl,f,24,3,0.916859,2181.360207
mkl,f,24,4,0.907613,2203.581920
mkl,f,24,5,1.086964,1839.988032
mkl,f,28,1,2.238089,893.619376
mkl,f,28,2,1.472984,1357.788093
mkl,f,28,3,1.879177,1064.295509
mkl,f,28,4,1.717483,1164.495074
mkl,f,28,5,2.989685,668.966815
mkl,f,32,1,5.009850,399.213525
mkl,f,32,2,4.628174,432.135905
mkl,f,32,3,4.615375,433.334192
mkl,f,32,4,5.565737,359.341428
mkl,f,32,5,4.168891,479.743893
mkl,f,36,1,6.441135,310.504293
mkl,f,36,2,6.887820,290.367653
mkl,f,36,3,6.918326,289.087285
mkl,f,36,4,6.786880,294.686221
mkl,f,36,5,6.848437,292.037436
mkl,f,40,1,6.765875,295.601073
mkl,f,40,2,7.218288,277.074023
mkl,f,40,3,7.050011,283.687506
mkl,f,40,4,6.739137,296.773923
mkl,f,40,5,6.210647,322.027642
mkl,f,44,1,6.631529,301.589564
mkl,f,44,2,5.987933,334.005059
mkl,f,44,3,6.936530,288.328595
mkl,f,44,4,6.788069,294.634582
mkl,f,44,5,6.947038,287.892479
mkl,f,48,1,6.482406,308.527404
mkl,f,48,2,6.379958,313.481684
mkl,f,48,3,6.912835,289.316902
mkl,f,48,4,6.689999,298.953693
mkl,f,48,5,6.575663,304.151820
mkl,d,2,1,15.133713,132.155275
mkl,d,2,2,15.588048,128.303424
mkl,d,2,3,15.390155,129.953208
mkl,d,2,4,16.578590,120.637521
mkl,d,2,5,15.742176,127.047239
mkl,d,4,1,6.655640,300.497043
mkl,d,4,2,6.634871,301.437660
mkl,d,4,3,6.656615,300.452999
mkl,d,4,4,6.630644,301.629837
mkl,d,4,5,6.633686,301.491509
mkl,d,8,1,3.286521,608.546181
mkl,d,8,2,3.283895,609.032811
mkl,d,8,3,3.284221,608.972485
mkl,d,8,4,3.280046,609.747548
mkl,d,8,5,3.283800,609.050411
mkl,d,12,1,2.278066,877.937755
mkl,d,12,2,2.269837,881.120482
mkl,d,12,3,2.273343,879.761644
mkl,d,12,4,2.272177,880.213209
mkl,d,12,5,2.270928,880.697263
mkl,d,16,1,1.852742,1079.481037
mkl,d,16,2,1.850212,1080.957446
mkl,d,16,3,1.840723,1086.529567
mkl,d,16,4,1.843903,1084.655496
mkl,d,16,5,1.882730,1062.287106
mkl,d,20,1,1.822644,1097.307044
mkl,d,20,2,1.816348,1101.110658
mkl,d,20,3,1.827762,1094.234613
mkl,d,20,4,1.804519,1108.328409
mkl,d,20,5,1.821170,1098.194821
mkl,d,24,1,1.854687,1078.349061
mkl,d,24,2,1.837430,1088.476621
mkl,d,24,3,1.871479,1068.673615
mkl,d,24,4,1.872203,1068.260407
mkl,d,24,5,1.860766,1074.826381
mkl,d,28,1,2.024257,988.016878
mkl,d,28,2,2.074849,963.925395
mkl,d,28,3,2.014206,992.947148
mkl,d,28,4,1.993610,1003.205081
mkl,d,28,5,2.073197,964.693541
mkl,d,32,1,2.160506,925.709072
mkl,d,32,2,2.100169,952.304420
mkl,d,32,3,2.121854,942.571710
mkl,d,32,4,2.157945,926.807708
mkl,d,32,5,2.173343,920.241417
mkl,d,36,1,2.204475,907.245410
mkl,d,36,2,2.275251,879.024032
mkl,d,36,3,2.248732,889.390071
mkl,d,36,4,2.301238,869.097334
mkl,d,36,5,2.139056,934.991876
mkl,d,40,1,2.177282,918.576594
mkl,d,40,2,2.203016,907.846262
mkl,d,40,3,2.286349,874.757142
mkl,d,40,4,2.256042,886.508483
mkl,d,40,5,2.237922,893.686172
mkl,d,44,1,2.375765,841.834212
mkl,d,44,2,2.192170,912.338123
mkl,d,44,3,2.317056,863.164431
mkl,d,44,4,2.225068,898.849059
mkl,d,44,5,2.324901,860.251852
mkl,d,48,1,2.279483,877.391754
