library,precision,k,policy,iteration,time,GFLOPS
blis,f,2000,false,1,0.048747,328.226781
blis,f,2000,false,2,0.048344,330.958664
blis,f,2000,false,3,0.027913,573.209308
blis,f,2000,false,4,0.041365,386.800697
blis,f,2000,false,5,0.049042,326.248634
blis,f,2000,close,1,0.048700,328.544678
blis,f,2000,close,2,0.048316,331.155009
blis,f,2000,close,3,0.044799,357.152950
blis,f,2000,close,4,0.048033,333.102375
blis,f,2000,close,5,0.048300,331.261952
blis,f,2000,spread,1,0.044954,355.920532
blis,f,2000,spread,2,0.048740,328.273429
blis,f,2000,spread,3,0.048406,330.538103
blis,f,2000,spread,4,0.044636,358.454047
blis,f,2000,spread,5,0.049054,326.173565
blis,f,3000,false,1,0.105482,511.937244
blis,f,3000,false,2,0.101715,530.897554
blis,f,3000,false,3,0.104963,514.465905
blis,f,3000,false,4,0.061207,882.258531
blis,f,3000,false,5,0.097937,551.377425
blis,f,3000,close,1,0.091060,593.012651
blis,f,3000,close,2,0.095339,566.397648
blis,f,3000,close,3,0.091272,591.640443
blis,f,3000,close,4,0.097688,552.779245
blis,f,3000,close,5,0.085081,634.690691
blis,f,3000,spread,1,0.104504,516.725179
blis,f,3000,spread,2,0.097078,556.253482
blis,f,3000,spread,3,0.105036,514.111318
blis,f,3000,spread,4,0.094476,571.575602
blis,f,3000,spread,5,0.098187,549.971332
blis,f,4000,false,1,0.163943,780.758104
blis,f,4000,false,2,0.148233,863.503651
blis,f,4000,false,3,0.153002,836.591798
blis,f,4000,false,4,0.158478,807.685588
blis,f,4000,false,5,0.177498,721.132981
blis,f,4000,close,1,0.161564,792.257701
blis,f,4000,close,2,0.157061,814.969803
blis,f,4000,close,3,0.164444,778.381547
blis,f,4000,close,4,0.165369,774.028476
blis,f,4000,close,5,0.157734,811.492293
blis,f,4000,spread,1,0.161282,793.641085
blis,f,4000,spread,2,0.173556,737.515209
blis,f,4000,spread,3,0.171672,745.608868
blis,f,4000,spread,4,0.160832,795.860669
blis,f,4000,spread,5,0.182117,702.845623
blis,f,5000,false,1,0.281847,887.006785
blis,f,5000,false,2,0.284255,879.491940
blis,f,5000,false,3,0.283362,882.264739
blis,f,5000,false,4,0.282822,883.947945
blis,f,5000,false,5,0.268208,932.112853
blis,f,5000,close,1,0.285991,874.153603
blis,f,5000,close,2,0.283408,882.121569
blis,f,5000,close,3,0.284814,877.766213
blis,f,5000,close,4,0.274966,909.203019
blis,f,5000,close,5,0.275745,906.633155
blis,f,5000,spread,1,0.286167,873.616373
blis,f,5000,spread,2,0.274916,909.367512
blis,f,5000,spread,3,0.283322,882.387679
blis,f,5000,spread,4,0.283569,881.620387
blis,f,5000,spread,5,0.275449,907.609163
blis,f,6000,false,1,0.472686,913.925280
blis,f,6000,false,2,0.449583,960.891041
blis,f,6000,false,3,0.463005,933.035230
blis,f,6000,false,4,0.458329,942.553603
blis,f,6000,false,5,0.442125,977.098445
blis,f,6000,close,1,0.466913,925.225482
blis,f,6000,close,2,0.475901,907.752484
blis,f,6000,close,3,0.465022,928.987423
blis,f,6000,close,4,0.463228,932.586786
blis,f,6000,close,5,0.463044,932.957257
blis,f,6000,spread,1,0.457659,943.935103
blis,f,6000,spread,2,0.466790,925.469059
blis,f,6000,spread,3,0.453213,953.194294
blis,f,6000,spread,4,0.460984,937.125032
blis,f,6000,spread,5,0.460715,937.672651
blis,f,7000,false,1,0.719575,953.340430
blis,f,7000,false,2,0.687373,998.002642
blis,f,7000,false,3,0.687346,998.041154
blis,f,7000,false,4,0.701363,978.095882
blis,f,7000,false,5,0.692498,990.617179
blis,f,7000,close,1,0.701292,978.194311
blis,f,7000,close,2,0.700048,979.932989
blis,f,7000,close,3,0.716500,957.432606
blis,f,7000,close,4,0.714197,960.519165
blis,f,7000,close,5,0.713632,961.280422
blis,f,7000,spread,1,0.715715,958.482582
blis,f,7000,spread,2,0.711820,963.727316
blis,f,7000,spread,3,0.708126,968.754649
blis,f,7000,spread,4,0.714834,959.664031
blis,f,7000,spread,5,0.716592,957.309264
blis,f,8000,false,1,1.046471,978.526574
blis,f,8000,false,2,1.038657,985.888460
blis,f,8000,false,3,1.051445,973.897605
blis,f,8000,false,4,1.034158,990.177067
blis,f,8000,false,5,1.045387,979.541758
blis,f,8000,close,1,1.062310,963.937367
blis,f,8000,close,2,1.062235,964.005131
blis,f,8000,close,3,1.065214,961.309150
blis,f,8000,close,4,1.064331,962.107063
blis,f,8000,close,5,1.049092,976.082280
blis,f,8000,spread,1,1.051333,974.001170
blis,f,8000,spread,2,1.063260,963.075858
blis,f,8000,spread,3,1.070424,956.630252
blis,f,8000,spread,4,1.061245,964.904659
blis,f,8000,spread,5,1.046138,978.838789
blis,f,9000,false,1,1.494223,975.757850
blis,f,9000,false,2,1.481685,984.014722
blis,f,9000,false,3,1.497802,973.426555
blis,f,9000,false,4,1.473318,989.603247
blis,f,9000,false,5,1.479781,985.281248
blis,f,9000,close,1,1.483815,982.602598
blis,f,9000,close,2,1.485660,981.382334
blis,f,9000,close,3,1.473501,989.480050
