library,precision,n_threads,iteration,time,GFLOPS
mkl,f,1,1,mkl,f,1,2,mkl,f,1,3,mkl,f,1,4,mkl,f,1,5,mkl,f,2,1,7.148108,279.794316
mkl,f,2,2,6.741059,296.689301
mkl,f,2,3,6.741359,296.676069
mkl,f,2,4,6.745767,296.482221
mkl,f,2,5,6.743946,296.562285
mkl,f,4,1,3.285392,608.755311
mkl,f,4,2,3.275175,610.654380
mkl,f,4,3,3.280096,609.738308
mkl,f,4,4,3.254621,614.510866
mkl,f,4,5,3.270151,611.592594
mkl,f,6,1,2.180008,917.427820
mkl,f,6,2,2.180391,917.266715
mkl,f,6,3,2.183161,916.102703
mkl,f,6,4,2.183006,916.167735
mkl,f,6,5,2.180721,917.127721
mkl,f,8,1,1.631397,1225.943033
mkl,f,8,2,1.632990,1224.747403
mkl,f,8,3,1.629420,1227.430580
mkl,f,8,4,1.629751,1227.181549
mkl,f,8,5,1.630204,1226.840524
mkl,f,10,1,1.381688,1447.505132
mkl,f,10,2,1.359448,1471.185402
mkl,f,10,3,1.351767,1479.544479
mkl,f,10,4,1.344683,1487.339804
mkl,f,10,5,1.346326,1485.524038
mkl,f,12,1,1.225925,1631.421478
mkl,f,12,2,1.194404,1674.474668
mkl,f,12,3,1.131804,1767.091102
mkl,f,12,4,1.133221,1764.880924
mkl,f,12,5,1.152355,1735.576034
mkl,f,14,1,1.116687,1791.011466
mkl,f,14,2,1.062709,1881.982498
mkl,f,14,3,1.065195,1877.589878
mkl,f,14,4,0.961347,2080.414750
mkl,f,14,5,0.958348,2086.925495
mkl,f,16,1,0.859048,2328.158697
mkl,f,16,2,0.832170,2403.355196
mkl,f,16,3,0.869405,2300.424327
mkl,f,16,4,0.846508,2362.646832
mkl,f,16,5,0.895722,2232.835677
mkl,f,18,1,0.747903,2674.144945
mkl,f,18,2,0.746497,2679.181908
mkl,f,18,3,0.746800,2678.091620
mkl,f,18,4,0.745295,2683.500786
mkl,f,18,5,0.747291,2676.331954
mkl,f,20,1,1.046385,1911.342175
mkl,f,20,2,0.964766,2073.040706
mkl,f,20,3,0.930067,2150.382781
mkl,f,20,4,0.990801,2018.568069
mkl,f,20,5,1.134534,1762.837629
mkl,f,22,1,0.924439,2163.473426
mkl,f,22,2,0.965670,2071.100312
mkl,f,22,3,0.943836,2119.011979
mkl,f,22,4,0.916018,2183.363900
mkl,f,22,5,0.993978,2012.116999
mkl,f,24,1,0.895783,2232.683879
mkl,f,24,2,1.102388,1814.244044
mkl,f,24,3,0.906720,2205.752257
mkl,f,24,4,0.897928,2227.349894
mkl,f,24,5,0.886598,2255.813394
mkl,d,1,1,mkl,d,1,2,mkl,d,1,3,mkl,d,1,4,mkl,d,1,5,mkl,d,2,1,mkl,d,2,2,mkl,d,2,3,mkl,d,2,4,mkl,d,2,5,mkl,d,4,1,6.514175,307.022782
mkl,d,4,2,6.367138,314.112872
mkl,d,4,3,6.376286,313.662227
mkl,d,4,4,6.371260,313.909629
mkl,d,4,5,6.406342,312.190658
mkl,d,6,1,4.294498,465.712138
mkl,d,6,2,4.258728,469.623778
mkl,d,6,3,4.266597,468.757614
mkl,d,6,4,4.353463,459.404378
mkl,d,6,5,4.284967,466.748016
mkl,d,8,1,3.217838,621.535349
mkl,d,8,2,3.216709,621.753454
mkl,d,8,3,3.214590,622.163416
mkl,d,8,4,3.290887,607.738829
mkl,d,8,5,3.213911,622.294776
mkl,d,10,1,2.683536,745.285333
mkl,d,10,2,2.659027,752.154710
mkl,d,10,3,2.805974,712.764924
mkl,d,10,4,2.676366,747.281909
mkl,d,10,5,2.639266,757.786441
mkl,d,12,1,2.201347,908.534541
mkl,d,12,2,2.283156,875.980484
mkl,d,12,3,2.225717,898.586703
mkl,d,12,4,2.205361,906.881133
mkl,d,12,5,2.263468,883.599890
mkl,d,14,1,2.009610,995.218139
mkl,d,14,2,1.953408,1023.851740
mkl,d,14,3,1.917001,1043.296534
mkl,d,14,4,1.915568,1044.076541
mkl,d,14,5,1.928037,1037.324477
