library,precision,n_threads,iteration,time,GFLOPS
mkl,f,1,1,mkl,f,1,2,mkl,f,1,3,mkl,f,1,4,mkl,f,1,5,mkl,f,2,1,7.803417,256.297972
mkl,f,2,2,7.711073,259.367282
mkl,f,2,3,7.745243,258.223012
mkl,f,2,4,7.737478,258.482143
mkl,f,2,5,7.721996,259.000396
mkl,f,4,1,3.793230,527.255164
mkl,f,4,2,3.780331,529.054237
mkl,f,4,3,3.788050,527.976170
mkl,f,4,4,3.774854,529.821803
mkl,f,4,5,3.780785,528.990637
mkl,f,6,1,2.501977,799.367810
mkl,f,6,2,2.500556,799.822193
mkl,f,6,3,2.497619,800.762497
mkl,f,6,4,2.505349,798.291953
mkl,f,6,5,2.501216,799.611212
mkl,f,8,1,1.873846,1067.323291
mkl,f,8,2,1.876710,1065.694638
mkl,f,8,3,1.874365,1067.028312
mkl,f,8,4,1.872581,1068.044742
mkl,f,8,5,1.871855,1068.458863
mkl,f,10,1,1.495119,1337.686255
mkl,f,10,2,1.495260,1337.560210
mkl,f,10,3,1.493231,1339.377534
mkl,f,10,4,1.494673,1338.085602
mkl,f,10,5,1.496299,1336.631255
mkl,f,12,1,1.247740,1602.897428
mkl,f,12,2,1.248821,1601.511169
mkl,f,12,3,1.246358,1604.675613
mkl,f,12,4,1.248538,1601.874121
mkl,f,12,5,1.244311,1607.314964
mkl,f,14,1,1.129158,1771.230590
mkl,f,14,2,1.133808,1763.967625
mkl,f,14,3,1.135893,1760.729340
mkl,f,14,4,1.125030,1777.730993
mkl,f,14,5,1.118825,1787.589163
mkl,f,16,1,0.969813,2062.254025
mkl,f,16,2,0.974731,2051.848473
mkl,f,16,3,0.971452,2058.773010
mkl,f,16,4,0.968942,2064.107200
mkl,f,16,5,0.970313,2061.190772
mkl,f,18,1,0.885200,2259.377356
mkl,f,18,2,0.871551,2294.758511
mkl,f,18,3,0.864862,2312.506738
mkl,f,18,4,0.859928,2325.776793
mkl,f,18,5,0.869996,2298.860959
mkl,f,20,1,0.784530,2549.298191
mkl,f,20,2,0.786754,2542.090547
mkl,f,20,3,0.784337,2549.924090
mkl,f,20,4,0.779864,2564.549193
mkl,f,20,5,0.774558,2582.116205
mkl,f,22,1,0.710738,2813.977484
mkl,f,22,2,0.706202,2832.050509
mkl,f,22,3,0.705557,2834.639954
mkl,f,22,4,0.707800,2825.658023
mkl,f,22,5,0.709383,2819.350161
mkl,f,24,1,0.651077,3071.833101
mkl,f,24,2,0.690058,2898.308313
mkl,f,24,3,0.684903,2920.121169
mkl,f,24,4,0.656455,3046.667002
mkl,f,24,5,0.691875,2890.697445
mkl,d,1,1,mkl,d,1,2,mkl,d,1,3,mkl,d,1,4,mkl,d,1,5,mkl,d,2,1,mkl,d,2,2,mkl,d,2,3,mkl,d,2,4,mkl,d,2,5,mkl,d,4,1,7.371218,271.325582
