library,precision,n_threads,iteration,time,GFLOPS
blis,f,1,1,blis,f,1,2,blis,f,1,3,blis,f,1,4,blis,f,1,5,blis,f,2,1,12.663528,157.933872
blis,f,2,2,12.736531,157.028630
blis,f,2,3,13.230132,151.170074
blis,f,2,4,12.696005,157.529871
blis,f,2,5,12.667569,157.883489
blis,f,4,1,6.287339,318.099613
blis,f,4,2,6.304739,317.221694
blis,f,4,3,6.366351,314.151704
blis,f,4,4,6.289557,317.987406
blis,f,4,5,6.368572,314.042135
blis,f,6,1,blis,f,6,2,blis,f,6,3,blis,f,6,4,blis,f,6,5,blis,f,8,1,blis,f,8,2,blis,f,8,3,blis,f,8,4,blis,f,8,5,blis,f,10,1,blis,f,10,2,blis,f,10,3,blis,f,10,4,blis,f,10,5,blis,f,12,1,blis,f,12,2,blis,f,12,3,blis,f,12,4,blis,f,12,5,blis,f,14,1,blis,f,14,2,blis,f,14,3,blis,f,14,4,blis,f,14,5,blis,f,16,1,blis,f,16,2,blis,f,16,3,blis,f,16,4,blis,f,16,5,blis,f,18,1,blis,f,18,2,blis,f,18,3,blis,f,18,4,blis,f,18,5,blis,f,20,1,blis,f,20,2,blis,f,20,3,blis,f,20,4,blis,f,20,5,blis,f,22,1,blis,f,22,2,blis,f,22,3,blis,f,22,4,blis,f,22,5,blis,f,24,1,blis,f,24,2,blis,f,24,3,blis,f,24,4,blis,f,24,5,blis,d,1,1,blis,d,1,2,blis,d,1,3,blis,d,1,4,blis,d,1,5,blis,d,2,1,blis,d,2,2,blis,d,2,3,blis,d,2,4,blis,d,2,5,blis,d,4,1,13.931064,143.564054
blis,d,4,2,13.748479,145.470640
blis,d,4,3,13.739561,145.565058
blis,d,4,4,13.820577,144.711759
blis,d,4,5,13.765140,145.294559
blis,d,6,1,blis,d,6,2,blis,d,6,3,blis,d,6,4,blis,d,6,5,blis,d,8,1,blis,d,8,2,blis,d,8,3,blis,d,8,4,blis,d,8,5,blis,d,10,1,blis,d,10,2,blis,d,10,3,blis,d,10,4,blis,d,10,5,blis,d,12,1,blis,d,12,2,blis,d,12,3,blis,d,12,4,blis,d,12,5,blis,d,14,1,blis,d,14,2,blis,d,14,3,blis,d,14,4,blis,d,14,5,blis,d,16,1,blis,d,16,2,blis,d,16,3,blis,d,16,4,blis,d,16,5,blis,d,18,1,blis,d,18,2,blis,d,18,3,blis,d,18,4,blis,d,18,5,blis,d,20,1,blis,d,20,2,blis,d,20,3,blis,d,20,4,blis,d,20,5,blis,d,22,1,blis,d,22,2,blis,d,22,3,blis,d,22,4,blis,d,22,5,blis,d,24,1,blis,d,24,2,blis,d,24,3,blis,d,24,4,blis,d,24,5,
