library,precision,n_threads,iteration,time,GFLOPS
blis,f,1,1,blis,f,1,2,blis,f,1,3,blis,f,1,4,blis,f,1,5,blis,f,2,1,11.181319,178.869777
blis,f,2,2,11.112006,179.985500
blis,f,2,3,11.179344,178.901367
blis,f,2,4,11.106502,180.074691
blis,f,2,5,11.106414,180.076126
blis,f,3,1,7.355273,271.913753
blis,f,3,2,7.489955,267.024285
blis,f,3,3,7.434908,269.001323
blis,f,3,4,7.458620,268.146136
blis,f,3,5,7.358650,271.788997
blis,f,4,1,5.807691,344.370948
blis,f,4,2,5.771165,346.550464
blis,f,4,3,5.673027,352.545482
blis,f,4,4,5.771916,346.505369
blis,f,4,5,5.805026,344.529049
blis,d,1,1,blis,d,1,2,blis,d,1,3,blis,d,1,4,blis,d,1,5,blis,d,2,1,blis,d,2,2,blis,d,2,3,blis,d,2,4,blis,d,2,5,blis,d,3,1,15.857249,126.125284
blis,d,3,2,15.678895,127.560014
blis,d,3,3,16.040804,124.682031
blis,d,3,4,15.754680,126.946402
blis,d,3,5,15.550583,128.612540
blis,d,4,1,12.836272,155.808472
blis,d,4,2,12.975041,154.142098
blis,d,4,3,12.984144,154.034029
blis,d,4,4,12.998492,153.864006
blis,d,4,5,12.816996,156.042805
