library,precision,k,policy,iteration,time,GFLOPS
oblas,f,2000,false,1,0.013871,1153.459246
oblas,f,2000,false,2,0.014033,1140.190969
oblas,f,2000,false,3,0.015740,1016.536895
oblas,f,2000,false,4,0.013693,1168.474869
oblas,f,2000,false,5,0.013935,1148.224683
oblas,f,2000,close,1,0.012787,1251.244597
oblas,f,2000,close,2,0.016337,979.389363
oblas,f,2000,close,3,0.011663,1371.879253
oblas,f,2000,close,4,0.016195,987.977853
oblas,f,2000,close,5,0.011928,1341.419859
oblas,f,2000,spread,1,0.012091,1323.294381
oblas,f,2000,spread,2,0.012257,1305.327851
oblas,f,2000,spread,3,0.011746,1362.138012
oblas,f,2000,spread,4,0.011351,1409.563589
oblas,f,2000,spread,5,0.011797,1356.290356
oblas,f,3000,false,1,0.035425,1524.361111
oblas,f,3000,false,2,0.035678,1513.540681
oblas,f,3000,false,3,0.035539,1519.457797
oblas,f,3000,false,4,0.035745,1510.687780
oblas,f,3000,false,5,0.035335,1528.236720
oblas,f,3000,close,1,0.031109,1735.839719
oblas,f,3000,close,2,0.030288,1782.911094
oblas,f,3000,close,3,0.030945,1745.049779
oblas,f,3000,close,4,0.029990,1800.617672
oblas,f,3000,close,5,0.030919,1746.505808
oblas,f,3000,spread,1,0.031092,1736.762676
oblas,f,3000,spread,2,0.030592,1765.153747
oblas,f,3000,spread,3,0.031443,1717.409928
oblas,f,3000,spread,4,0.031122,1735.086426
oblas,f,3000,spread,5,0.030345,1779.506374
oblas,f,4000,false,1,0.074439,1719.530497
oblas,f,4000,false,2,0.074407,1720.258405
oblas,f,4000,false,3,0.074671,1714.188342
oblas,f,4000,false,4,0.073979,1730.211032
oblas,f,4000,false,5,0.074038,1728.848881
oblas,f,4000,close,1,0.063096,2028.655134
oblas,f,4000,close,2,0.063692,2009.661637
oblas,f,4000,close,3,0.064656,1979.704043
oblas,f,4000,close,4,0.065366,1958.214607
oblas,f,4000,close,5,0.066187,1933.922638
oblas,f,4000,spread,1,0.062051,2062.820524
oblas,f,4000,spread,2,0.064752,1976.775513
oblas,f,4000,spread,3,0.069098,1852.453283
oblas,f,4000,spread,4,0.065354,1958.570361
oblas,f,4000,spread,5,0.065547,1952.799136
oblas,f,5000,false,1,0.131139,1906.367960
oblas,f,5000,false,2,0.144931,1724.962808
oblas,f,5000,false,3,0.130893,1909.960621
oblas,f,5000,false,4,0.130022,1922.749553
oblas,f,5000,false,5,0.127530,1960.321217
oblas,f,5000,close,1,0.108477,2304.628379
oblas,f,5000,close,2,0.106797,2340.886788
oblas,f,5000,close,3,0.106220,2353.598345
oblas,f,5000,close,4,0.106503,2347.347883
oblas,f,5000,close,5,0.107253,2330.941759
oblas,f,5000,spread,1,0.106532,2346.705720
oblas,f,5000,spread,2,0.106509,2347.217809
oblas,f,5000,spread,3,0.108747,2298.911203
oblas,f,5000,spread,4,0.106723,2342.503949
oblas,f,5000,spread,5,0.107001,2336.436043
oblas,f,6000,false,1,0.203452,2123.350357
oblas,f,6000,false,2,0.205935,2097.750553
oblas,f,6000,false,3,0.204074,2116.877283
oblas,f,6000,false,4,0.202423,2134.141209
oblas,f,6000,false,5,0.201792,2140.821430
oblas,f,6000,close,1,0.161740,2670.957758
oblas,f,6000,close,2,0.161779,2670.306740
oblas,f,6000,close,3,0.162973,2650.745959
oblas,f,6000,close,4,0.161613,2673.057469
oblas,f,6000,close,5,0.162650,2656.007077
oblas,f,6000,spread,1,0.161062,2682.203296
oblas,f,6000,spread,2,0.162596,2656.891961
oblas,f,6000,spread,3,0.161802,2669.936993
oblas,f,6000,spread,4,0.169054,2555.391331
oblas,f,6000,spread,5,0.162369,2660.601432
oblas,f,7000,false,1,0.290886,2358.309191
oblas,f,7000,false,2,0.290717,2359.684492
oblas,f,7000,false,3,0.295805,2319.097827
oblas,f,7000,false,4,0.293768,2335.176280
oblas,f,7000,false,5,0.289815,2367.027119
oblas,f,7000,close,1,0.239806,2860.644531
oblas,f,7000,close,2,0.239737,2861.474219
oblas,f,7000,close,3,0.238717,2873.690587
oblas,f,7000,close,4,0.239396,2865.541938
oblas,f,7000,close,5,0.239744,2861.386087
oblas,f,7000,spread,1,0.240368,2853.953169
oblas,f,7000,spread,2,0.240341,2854.279970
oblas,f,7000,spread,3,0.239771,2861.066868
oblas,f,7000,spread,4,0.239055,2869.629522
oblas,f,7000,spread,5,0.240276,2855.047495
oblas,f,8000,false,1,0.405047,2528.098687
oblas,f,8000,false,2,0.420489,2435.260108
oblas,f,8000,false,3,0.414308,2471.593289
oblas,f,8000,false,4,0.409043,2503.406270
oblas,f,8000,false,5,0.411979,2485.562263
oblas,f,8000,close,1,0.331971,3084.605422
oblas,f,8000,close,2,0.331084,3092.866796
oblas,f,8000,close,3,0.331655,3087.549377
oblas,f,8000,close,4,0.331404,3089.888408
oblas,f,8000,close,5,0.331778,3086.402590
oblas,f,8000,spread,1,0.339408,3017.020969
oblas,f,8000,spread,2,0.330637,3097.055717
oblas,f,8000,spread,3,0.331463,3089.334031
oblas,f,8000,spread,4,0.331049,3093.198992
oblas,f,8000,spread,5,0.331963,3084.682973
oblas,f,9000,false,1,0.567135,2570.816046
oblas,f,9000,false,2,0.571767,2549.991686
oblas,f,9000,false,3,0.578869,2518.706061
oblas,f,9000,false,4,0.571720,2550.200152
oblas,f,9000,false,5,0.574016,2539.996898
oblas,f,9000,close,1,0.475637,3065.363206
oblas,f,9000,close,2,0.493824,2952.470863
oblas,f,9000,close,3,0.480000,3037.501506
oblas,f,9000,close,4,0.478372,3047.835222
oblas,f,9000,close,5,0.474927,3069.946430
oblas,f,9000,spread,1,0.477007,3056.556080
oblas,f,9000,spread,2,0.482546,3021.472930
oblas,f,9000,spread,3,0.478771,3045.295678
oblas,f,9000,spread,4,0.476744,3058.242517
oblas,f,9000,spread,5,0.480365,3035.193278
oblas,f,10000,false,1,0.756274,2644.543806
oblas,f,10000,false,2,0.728006,2747.228781
oblas,f,10000,false,3,0.744858,2685.075386
oblas,f,10000,false,4,0.746146,2680.438991
