library,precision,k,policy,iteration,time,GFLOPS
mkl,f,100,false,1,0.25,150.2
mkl,f,100,false,2,0.28,140.5
mkl,f,100,false,3,0.24,155.0
mkl,f,100,false,4,0.26,148.7
mkl,f,100,false,5,0.27,145.3
mkl,f,200,false,1,0.40,95.6
mkl,f,200,false,2,0.38,100.3
mkl,f,200,false,3,0.39,98.7
mkl,f,200,false,4,0.42,92.4
mkl,f,200,false,5,0.37,103.1
mkl,d,100,false,1,0.21,180.5
mkl,d,100,false,2,0.23,170.8
mkl,d,100,false,3,0.22,175.2
mkl,d,100,false,4,0.25,165.7
mkl,d,100,false,5,0.24,170.1
mkl,d,200,false,1,0.34,110.3
mkl,d,200,false,2,0.36,105.7
mkl,d,200,false,3,0.33,115.2
mkl,d,200,false,4,0.35,112.6
mkl,d,200,false,5,0.31,120.4
blis,f,100,false,1,0.28,140.5
blis,f,100,false,2,0.26,148.7
blis,f,100,false,3,0.27,145.3
blis,f,100,false,4,0.25,150.2
blis,f,100,false,5,0.24,155.0
blis,f,200,false,1,0.38,100.3
blis,f,200,false,2,0.42,92.4
blis,f,200,false,3,0.37,103.1
blis,f,200,false,4,0.40,95.6
blis,f,200,false,5,0.39,98.7
blis,d,100,false,1,0.23,170.8
blis,d,100,false,2,0.25,165.7
blis,d,100,false,3,0.24,170.1
blis,d,100,false,4,0.22,175.2
blis,d,100,false,5,0.21,180.5
blis,d,200,false,1,0.36,105.7
blis,d,200,false,2,0.31,120.4
blis,d,200,false,3,0.34,110.3
blis,d,200,false,4,0.35,112.6
blis,d,200,false,5,0.33,115.2
oblas,f,100,false,1,0.26,148.7
oblas,f,100,false,2,0.25,150.2
oblas,f,100,false,3,0.27,145.3
oblas,f,100,false,4,0.24,155.0
oblas,f,100,false,5,0.28,140.5
oblas,f,200,false,1,0.42,92.4
oblas,f,200,false,2,0.37,103.1
oblas,f,200,false,3,0.38,100.3
oblas,f,200,false,4,0.40,95.6
oblas,f,200,false,5,0.39,98.7
oblas,d,100,false,1,0.25,165.7
oblas,d,100,false,2,0.22,175.2
oblas,d,100,false,3,0.23,170.8
oblas,d,100,false,4,0.21,180.5
oblas,d,100,false,5,0.24,170.1
oblas,d,200,false,1,0.35,112.6
oblas,d,200,false,2,0.33,115.2
oblas,d,200,false,3,0.36,105.7
oblas,d,200,false,4,0.31,120.4
oblas,d,200,false,5,0.34,110.3
mkl,f,100,close,1,0.25,150.2
mkl,f,100,close,2,0.28,140.5
mkl,f,100,close,3,0.24,155.0
mkl,f,100,close,4,0.26,148.7
mkl,f,100,close,5,0.27,145.3
mkl,f,200,close,1,0.40,95.6
mkl,f,200,close,2,0.38,100.3
mkl,f,200,close,3,0.39,98.7
mkl,f,200,close,4,0.42,92.4
mkl,f,200,close,5,0.37,103.1
mkl,d,100,close,1,0.21,180.5
mkl,d,100,close,2,0.23,170.8
mkl,d,100,close,3,0.22,175.2
mkl,d,100,close,4,0.25,165.7
mkl,d,100,close,5,0.24,170.1
mkl,d,200,close,1,0.34,110.3
mkl,d,200,close,2,0.36,105.7
mkl,d,200,close,3,0.33,115.2
mkl,d,200,close,4,0.35,112.6
mkl,d,200,close,5,0.31,120.4
blis,f,100,close,1,0.28,140.5
blis,f,100,close,2,0.26,148.7
blis,f,100,close,3,0.27,145.3
blis,f,100,close,4,0.25,150.2
blis,f,100,close,5,0.24,155.0
blis,f,200,close,1,0.38,100.3
blis,f,200,close,2,0.42,92.4
blis,f,200,close,3,0.37,103.1
blis,f,200,close,4,0.40,95.6
blis,f,200,close,5,0.39,98.7
blis,d,100,close,1,0.23,170.8
blis,d,100,close,2,0.25,165.7
blis,d,100,close,3,0.24,170.1
blis,d,100,close,4,0.22,175.2
blis,d,100,close,5,0.21,180.5
blis,d,200,close,1,0.36,105.7
blis,d,200,close,2,0.31,120.4
blis,d,200,close,3,0.34,110.3
blis,d,200,close,4,0.35,112.6
blis,d,200,close,5,0.33,115.2
oblas,f,100,close,1,0.26,148.7
oblas,f,100,close,2,0.25,150.2
oblas,f,100,close,3,0.27,145.3
oblas,f,100,close,4,0.24,155.0
oblas,f,100,close,5,0.28,140.5
oblas,f,200,close,1,0.42,92.4
oblas,f,200,close,2,0.37,103.1
oblas,f,200,close,3,0.38,100.3
oblas,f,200,close,4,0.40,95.6
oblas,f,200,close,5,0.39,98.7
oblas,d,100,close,1,0.25,165.7
oblas,d,100,close,2,0.22,175.2
oblas,d,100,close,3,0.23,170.8
oblas,d,100,close,4,0.21,180.5
oblas,d,100,close,5,0.24,170.1
oblas,d,200,close,1,0.35,112.6
oblas,d,200,close,2,0.33,115.2
oblas,d,200,close,3,0.36,105.7
oblas,d,200,close,4,0.31,120.4
oblas,d,200,close,5,0.34,110.3
mkl,f,100,spread,1,0.25,150.2
mkl,f,100,spread,2,0.28,140.5
mkl,f,100,spread,3,0.24,155.0
mkl,f,100,spread,4,0.26,148.7
mkl,f,100,spread,5,0.27,145.3
mkl,f,200,spread,1,0.40,95.6
mkl,f,200,spread,2,0.38,100.3
mkl,f,200,spread,3,0.39,98.7
mkl,f,200,spread,4,0.42,92.4
mkl,f,200,spread,5,0.37,103.1
mkl,d,100,spread,1,0.21,180.5
mkl,d,100,spread,2,0.23,170.8
mkl,d,100,spread,3,0.22,175.2
mkl,d,100,spread,4,0.25,165.7
mkl,d,100,spread,5,0.24,170.1
mkl,d,200,spread,1,0.34,110.3
mkl,d,200,spread,2,0.36,105.7
mkl,d,200,spread,3,0.33,115.2
mkl,d,200,spread,4,0.35,112.6
mkl,d,200,spread,5,0.31,120.4
blis,f,100,spread,1,0.28,140.5
blis,f,100,spread,2,0.26,148.7
blis,f,100,spread,3,0.27,145.3
blis,f,100,spread,4,0.25,150.2
blis,f,100,spread,5,0.24,155.0
blis,f,200,spread,1,0.38,100.3
blis,f,200,spread,2,0.42,92.4
blis,f,200,spread,3,0.37,103.1
blis,f,200,spread,4,0.40,95.6
blis,f,200,spread,5,0.39,98.7
blis,d,100,spread,1,0.23,170.8
blis,d,100,spread,2,0.25,165.7
blis,d,100,spread,3,0.24,170.1
blis,d,100,spread,4,0.22,175.2
blis,d,100,spread,5,0.21,180.5
blis,d,200,spread,1,0.36,105.7
blis,d,200,spread,2,0.31,120.4
blis,d,200,spread,3,0.34,110.3
blis,d,200,spread,4,0.35,112.6
blis,d,200,spread,5,0.33,115.2
oblas,f,100,spread,1,0.26,148.7
oblas,f,100,spread,2,0.25,150.2
oblas,f,100,spread,3,0.27,145.3
oblas,f,100,spread,4,0.24,155.0
oblas,f,100,spread,5,0.28,140.5
oblas,f,200,spread,1,0.42,92.4
oblas,f,200,spread,2,0.37,103.1
oblas,f,200,spread,3,0.38,100.3
oblas,f,200,spread,4,0.40,95.6
oblas,f,200,spread,5,0.39,98.7
oblas,d,100,spread,1,0.25,165.7
oblas,d,100,spread,2,0.22,175.2
oblas,d,100,spread,3,0.23,170.8
oblas,d,100,spread,4,0.21,180.5
oblas,d,100,spread,5,0.24,170.1
oblas,d,200,spread,1,0.35,112.6
oblas,d,200,spread,2,0.33,115.2
oblas,d,200,spread,3,0.36,105.7
oblas,d,200,spread,4,0.31,120.4
oblas,d,200,spread,5,0.34,110.3


