mode,size,nthreads,k,time
re,10,16,10000,0.179486
re,10,16,10000,0.080924
re,10,16,10000,0.056654
re,10,16,10000,0.097037
re,10,16,10000,0.208506
re,12,16,10000,0.236658
re,12,16,10000,0.165103
re,12,16,10000,0.081584
re,12,16,10000,0.091991
re,12,16,10000,0.097391
re,14,16,10000,0.145303
re,14,16,10000,0.094088
re,14,16,10000,0.115440
re,14,16,10000,0.088828
re,14,16,10000,0.072093
re,16,16,10000,0.069459
re,16,16,10000,0.117691
re,16,16,10000,0.069040
re,16,16,10000,0.053550
re,16,16,10000,0.176872
re,10,16,20000,0.253724
re,10,16,20000,0.110445
re,10,16,20000,0.092552
re,10,16,20000,0.197600
re,10,16,20000,0.108973
re,12,16,20000,0.159455
re,12,16,20000,0.087960
re,12,16,20000,0.096476
re,12,16,20000,0.102533
re,12,16,20000,0.170569
re,14,16,20000,0.154608
re,14,16,20000,0.097436
re,14,16,20000,0.157850
re,14,16,20000,0.119876
re,14,16,20000,0.090777
re,16,16,20000,0.085082
re,16,16,20000,0.084275
re,16,16,20000,0.191444
re,16,16,20000,0.096930
re,16,16,20000,0.067582
