mode,size,nthreads,k,time
re,2,1,10,0.248252
r,2,1,10,0.474960
re,2,2,10,0.232605
r,2,2,10,0.440964
re,2,4,10,0.211831
r,2,4,10,0.427959
re,2,8,10,0.220992
r,2,8,10,0.496954
re,2,16,10,0.201261
r,2,16,10,0.491534
re,2,32,10,0.177623
r,2,32,10,0.471855
re,2,64,10,0.232961
r,2,64,10,0.492726
re,2,1,20,0.230501
r,2,1,20,0.440968
re,2,2,20,0.242874
r,2,2,20,0.466957
re,2,4,20,0.217724
r,2,4,20,0.453960
re,2,8,20,0.244408
r,2,8,20,0.465954
re,2,16,20,0.239824
r,2,16,20,0.504902
re,2,32,20,0.224087
r,2,32,20,0.492824
re,2,64,20,0.221589
r,2,64,20,0.491779
